sha,message,date,result
3aef6b1624f02f32e0220a7cb40220795baded5e,Create README.md,2013-09-23 16:04:45-07:00,FALSE
00b460c3d5466f34435ad865f11efdc9eb86098b,Update README.md,2013-10-24 14:55:13-07:00,TRUE
4887b46799d3701837405317e00e8085d14a5b30,clean up sample for new api,2013-10-24 15:53:59-07:00,TRUE
d07fc5c456bb95905a4ab5244e7e1601e90b897e,Update README.md,2013-11-14 11:21:20-08:00,TRUE
c319922cda6a7da3390d2ad16507f2348c74a0c9,Update README.md,2013-12-16 11:11:29-08:00,TRUE
c8ae9a46f6b11bc0d903a838a81b77171fd280ee,Update README.md,2013-12-16 11:12:51-08:00,TRUE
ed41726b1fd7b29c99f1311a86056d850f0275b1,"Update README.md

Settings related part is old.",2014-01-27 11:57:08-08:00,FALSE
c197d4816ec48fe67f342662ce9bb73118807c62,ReadMe update for launch,2014-01-28 11:35:22-08:00,TRUE
6b6c05365262a5f36c7f38377936f8cc79ab17a9,Update README.md,2014-01-28 11:35:58-08:00,TRUE
38f796f2f448a62d24d2d1e50d7d34d245c08675,Update README.md,2014-01-28 11:49:12-08:00,TRUE
eeea10c292f8ec5967b43c6ad24df1e5799faab7,Update README.md,2014-01-28 11:51:48-08:00,TRUE
c7591a9c7eb55738ef419cbc9b0e5d6fc843610c,Update README.md,2014-01-28 11:52:45-08:00,TRUE
099f9e7553ce727845c1b4f306187d184c77d9f1,Update README.md,2014-01-28 12:03:54-08:00,TRUE
a5dcd535370a8b636ae0b6ffbcf2496b896bb1e3,"Update README.md

rename ios to android",2014-01-28 12:13:26-08:00,TRUE
55a00e8b4591bd406ee7099092232ea58cdd43f3,"Update README.md

add travis CI icon",2014-01-28 17:18:19-08:00,TRUE
48b68afa1d61fb000f30c0aa140c23b22392e649,"Test Coveralls

Not an actual change.",2014-02-11 13:23:40-08:00,FALSE
0577592a5cdf19670dfca2e7530b446b75ac9f30,update for maven usage,2014-02-25 16:09:28-08:00,TRUE
4ed73e2824109e6dc9c4307abcd2231b23a4df8c,"Update README.md

update readme file to start build for dev branch.",2014-02-27 09:47:02-08:00,TRUE
0a144fbe57541ea2f19e7e3fe3db3df7a43e9840,Update README.md,2014-03-05 17:27:51-08:00,TRUE
5491662c195415da20531a8ed6a00814585334d7,"Update README.md

explained mvn usage to get libraries such as gson and support-v4.",2014-03-07 11:57:05-08:00,TRUE
744973c15f5b61bd7ce5e1414eb63e4443d225c3,travis does not work with latest android sdk using maven-android-sdk-deployer,2014-03-07 14:52:02-08:00,TRUE
2da3ce24c2ebe9fb9d198dafba712d1b84463a8d,"Update README.md

explained mvn usage to get libraries such as gson and support-v4.",2014-03-07 16:18:14-08:00,TRUE
d6ca781d7bf062bb43dfc7d26025cb5d1cebd386,"Update README.md

add reference to android developer site about adding a library project",2014-03-07 17:29:59-08:00,TRUE
0018c519e8893a4c28c3981ac141afc638edd2af,Update README.md,2014-03-07 17:30:22-08:00,TRUE
d911a5c3c9a769ac4355be9ff4f304d1dda15441,maven sample app description,2014-03-07 20:15:21-08:00,TRUE
0e2ba16fbf48dd907aa71e83929ac7c0df15fee6,"Update README.md

Update for authority url info",2014-03-20 11:37:57-07:00,TRUE
629c9d37aa3d6158b98ab7eac63717ed2212c0fc,"Customization of authentication activity

Most users don't know that they can customize resources in android.",2014-04-18 10:15:15-07:00,TRUE
a6daefb647e8e0d6ae492b5abafbc45ffe048f83,"Update README.md

""will"" was missing the ""w"" making it ""ill"".",2014-05-05 10:36:10-04:00,TRUE
6e92b54ddf9d103af6cac4f706618801bf11add7,update README.md,2014-05-05 12:13:56-07:00,TRUE
6d78645b319c93dc8a2c469baa4fadad28d93804,update readme file,2014-05-05 12:15:40-07:00,TRUE
1421d30a53c61437cfa7aa597a0b8782e1d85716,update readme for promptbehavior,2014-05-07 12:09:12-07:00,TRUE
230b7d80cd6adf79c7b2f77105116fd1bc0e5be1,"add SDK usage options

add instructions for maven support issue
add link for wiki page related to Android Studio and Maven usage",2014-05-07 15:56:10-07:00,TRUE
81764d0afea8d50911dc99987e81a34150d0a751,Update README.md,2014-05-08 15:31:46-07:00,TRUE
48857a458739603762eb8f4cf2e77976953ddcfe,"Revert ""Update README.md""

This reverts commit 81764d0afea8d50911dc99987e81a34150d0a751.",2014-05-08 15:36:41-07:00,TRUE
c3a1b1cff4f8bb52a3fedb542be3a1c38cc3b5b8,Use the newer groupId and artifactId for support library which matches Android SDK maven repository,2014-05-10 22:02:07+05:18,TRUE
9a1b62625d89a04da69be88a72edfa8322fe88c6,"Update README.md

update readme for proguard issue",2014-05-14 17:31:32-07:00,TRUE
3936d5729fa253240f34468e85ecc8b21e2b4cc4,remove change from ADAL. Explain issue in Readme. Show usage in sample app,2014-05-19 12:24:27-07:00,TRUE
4067abfe169dbecbe17f1f04e6150e6829c4de65,update readme to describe setup without maven,2014-05-19 13:18:46-07:00,TRUE
