sha,message,date,result
3689e7f256efca07380f7c165840f3f6d6ee0364,Initial setup,2017-09-21 20:42:45+02:00,TRUE
36aa8f246424c321c2da4ccd4bcc82a55f7a0259,Update readme with more info about entitlements/products setup and contribution guidelines,2017-09-22 08:23:24+02:00,TRUE
6eed7bfaf000c5bba297ac46222e5be32943a7c2,Reduce number of transactions,2017-09-22 16:59:30+02:00,TRUE
099a0c62d18e014f246b9fac244a87d0698e815f,Add debit cards to current account arrangements,2017-10-06 11:53:20+02:00,TRUE
c0c7aa58607a2944ec625f1007fbfb641b4838e3,Fixing sys variable that does not work with copy paste from README,2017-10-09 12:54:14+02:00,TRUE
b166c38fb0fb3dbe97e1b6bba0a3db649e0b5835,Update readme with new setup including service agreements support,2017-11-06 16:26:19+01:00,TRUE
ea511d60f108bfed66428f80bd97c8b4e597a0fd,Fix relative links in readme,2017-11-06 16:28:40+01:00,TRUE
101c58b09739b46165f0e35e4963169b637cdd21,Add more information about service agreements in readme,2017-11-06 16:44:16+01:00,TRUE
7a2d22b1ce27794456582818dae7ed5115c44570,Make min max data items configurable and extend default data,2017-11-07 12:54:04+01:00,TRUE
e09534068e1c8012256c75adbe8e60c1c3194c4d,Update readme for new service agreements setup,2017-11-07 15:59:31+01:00,TRUE
4e2a06590c9348bae82bc0b4e5b86a3d1c09362f,Add boolean property for ingesting transactions,2017-11-07 16:24:30+01:00,TRUE
f113524dbbc5876296a71d45031226e54b38665d,Fix function data groups and permissions assignments,2017-11-24 10:34:30+01:00,TRUE
985609b8c69c234347ff554623f79d857db33cc2,Add notifications feature,2017-11-29 11:17:04+01:00,TRUE
5430bc1d6583bf1166e3c7b5c40d8cf4521c510e,Add contacts feature and reduce default number of users,2017-11-29 13:11:39+01:00,TRUE
3d483608f6c1531b635dbac852606912236a963e,Add payments feature and toggle for entitlements ingestion,2017-12-05 09:15:39+01:00,TRUE
bdcb345650e7c8c1d2bcc37a9239543a6245e6b5,Update readme with latest additions,2017-12-05 12:42:38+01:00,TRUE
2a4823aebdc71a1437427d3b7dcb776cf0d9a540,Add feature message center conversations,2018-01-10 20:08:28+01:00,TRUE
d69e134c3c8ff2f3eb29398321ff6de429c9f4ce,Implement ability to restart on environments with existing data and update to latest versions of all specs,2018-02-23 13:46:02+01:00,TRUE
224ec04072920622cce94e1f567414b11ee912ca,Update readme,2018-02-23 13:51:24+01:00,TRUE
c14f69e5d6b4ae87308e73e2cb6728dfb64c75cb,Added legal entities data ingestion from custom provided JSON file. Feature implemented by pre-sales team,2018-03-12 16:53:12+01:00,FALSE
8ea8ad66ae02d32bb1d68be2b547a46b29a13174,Added customizable legal entity time,2018-03-15 16:48:08+01:00,FALSE
dac66fcd194ac0d5892ae6605262c7cca99f9f54,Fixed remarks,2018-03-16 10:44:05+01:00,FALSE
4f9b9c882f60479a8579a78639d26e13d06b80f4,Adjusted README file,2018-03-16 11:23:53+01:00,TRUE
548e46e5a681196210d88754443abd42028e8059,Fix reuse of function groups and update docs,2018-04-12 23:23:17+02:00,TRUE
32f401cc933453db7df0940963b8561598c7c156,Add docs about healthcheck,2018-04-12 23:32:34+02:00,FALSE
19199b1b6a3a6bd518edfb187b7e25c7fc874c3e,Add explanation in readme about transactions ingestion,2018-04-13 09:09:40+02:00,FALSE
16f657294618f0b1dbb00827f9f9ed7e127bebbd,Add new property to toggle pfm categories usage and update readme,2018-05-29 22:03:24+02:00,FALSE
877bd891e5c9786646ac2bf6646db88d2dc3ba53,Add balance history feature and rename entitlements to access control,2018-06-20 22:20:08+02:00,FALSE
7c9bb3b6ad8e87acb700793230176a174723c7b6,Update balance history items to weekly,2018-06-21 07:50:52+02:00,FALSE
ba2a0b70db7ed58d87905258fef770b3b65c1744,Add actions capability,2018-06-21 21:45:20+02:00,FALSE
b2a5929b2d55d7a14e82b1f536344c1d9bb6a2c8,Reduce number of balance history items,2018-06-21 22:15:26+02:00,FALSE
d5bfd79653d719d388f2915cf6517ac33ff7b207,Add performance test data toggle for Jenkins and update readme,2018-06-22 10:37:05+02:00,FALSE
e72b9ba1fc1481efac0e41a303f557c2235acc85,Reduce balance history due to api limitations,2018-06-22 14:42:23+02:00,FALSE
1e74d3c7957ab5d25cb98fe54f1e28885684a252,Switched client classes annotations as Component and configurator classes annotations as Service; bump minor version; added banner; renamed Runner methods; added application properties; commented jms property in application.yml; updated READMe.MD,2018-06-26 14:11:12+02:00,FALSE
a11b4b03d7d86335e9a4d830353cbbe687b72730,Revert changes in Jenkinsfile and update readme,2018-07-05 09:03:08+02:00,FALSE
a92dbb055051995e7f4305b25575e36afdfce9a9,Add number of users check in approvals configurator and update readme,2018-07-17 11:48:45+02:00,FALSE
f37349f50def11ce2a4fc75db460a779f9ca874a,Update readme and fix logging,2018-07-17 15:29:40+02:00,FALSE
22de7fecbb76e9eee039cc7544b7d45ec0cc3ac9,Update readme,2018-07-17 16:00:40+02:00,FALSE
0eae185a5a426f6f0779e307ca45f174dfba1b05,Update readme,2018-07-17 17:56:37+02:00,FALSE
9c545d6e95588edd17ca6ec73433bc20a42f1d59,Include approvals in Jenkinsfile,2018-07-18 08:00:51+02:00,FALSE
6dbf824548a81b08e047886ec089701de777c931,Extend payments function groups with product summary,2018-07-18 10:35:44+02:00,FALSE
ca9e9041a24643de2a4ed11166128377d69487d2,Added server configuration to README for approval service.,2018-07-26 08:52:52+02:00,FALSE
9a9f196b4b9e27ce54fbbfdd11184bde321ae221,Add limits description in README,2018-08-08 09:18:25+02:00,FALSE
3e099ed7766cb5ed739c970fccc8f2eefa872e64,Refactor docs,2018-08-08 09:29:15+02:00,TRUE
70ddabdf0f6edaf755fc486040a088241842b981,Fix approval ingestion,2018-08-23 08:45:07+02:00,TRUE
6497c84917552717390655536f8621cb9572bccb,Update docs and cleanup variable naming,2018-09-07 13:58:51+02:00,TRUE
878d8af58f38de69bcf539c8c7441fce282d1f20,DBSA-3029: fixed Random threading issues in Arrangements- and ProductSummaryGenerator; added util method getRandomFromList in CommonHelper; added roles and isRetail to jobprofiles to differentiate beteween retail and business in one setup; added isRetail and isRoot attributes to LegalEntityWithUsers; added version table in README,2018-09-24 15:34:52+02:00,TRUE
50030dba635b7904d759e5a0a4f7993f7823592c,Update readme,2018-09-26 10:21:39+02:00,TRUE
24912dedc854d1b3948dfe385b917a75182b8c74,Rename to bb-fuel,2018-10-08 11:24:54+02:00,TRUE
d100a91773e2437bbff497d6aae77ddd0565b241,"Update readme, add travis ci and clean up pipeline scripts",2018-10-25 11:09:04+02:00,FALSE
28b114e000b0c5acf2e7f152fa77bcf7c92469c4,Update case-sensitive org name,2018-10-25 12:04:54+02:00,FALSE
e1b2d34db71ae3d2a8e06641db2f5ad6926b74d9,Update links in readme,2018-10-25 12:41:36+02:00,TRUE
d38b9e82b6b9e8aa718b6c5896c9daaed57d6c99,[ci skip] Update CI status url,2018-10-25 14:17:40+02:00,FALSE
8d397b36371bc5bf7be7f28f55a5a67ede5bdc21,[ci skip] Update readme,2018-10-25 18:43:08+02:00,TRUE
6096fcdf53ceb5de397930eb1cea27b9bbfddacf,[ci skip] Update readme,2018-10-26 11:17:48+02:00,TRUE
33620972b3dd322d99c7de84111787677f385cfa,[ci skip] Update readme,2018-10-26 11:18:42+02:00,TRUE
bdd8ba4d59c3a6dfb189fb74d07c0fb028038392,[ci skip] Update readme,2018-10-26 11:24:05+02:00,FALSE
ed223263c3f005908a91f70cf207f384e4098b62,[ci skip] Update readme,2018-11-07 11:10:25+01:00,TRUE
48fec46aaa01316216a8b6cb781a799d2cdb2a26,[ci skip] Update readme,2018-11-07 11:13:39+01:00,TRUE
820841982a94e7f161924fcff80a7b6a9035a097,update year and version table for 2.14.0,2019-01-03 11:48:26+01:00,TRUE
9ebcd7197b89da0c13821fa16dc66c3582b233e7,Update documentation to reflect latest changes for support of PCF,2019-01-31 13:48:09+01:00,TRUE
14bf62df9ae4e2337a8fa9a57b52a091f7f02f46,updates for 2.14.1,2019-02-04 10:33:21+01:00,TRUE
921b5a036c21f4218bb284af668b84a6361cbcfb,Minor update and improvements,2019-02-07 16:13:23+01:00,TRUE
4a59f21240f47e97387b715775bf17fa429698c0,Support Bill Pay data ingestion,2019-02-20 10:17:07+00:00,FALSE
1158d86cdee7276cad219698eeb71675f153d0c5,released 2.14.2,2019-03-07 10:51:42+01:00,TRUE
11aa24397125fa279b0564b2cefc5f05f71a450a,released 2.15.0,2019-04-16 10:09:42+02:00,TRUE
a18c6c2c814bc74d8cb6f6b15e36e681d458f95c,CB-3527: released 2.15.1,2019-05-06 08:21:12+02:00,TRUE
6d8544411d053e4e385774000f4b030b8631fec6,Updated version compatibility matrix since 2.3.2 is not compatible with dbs 2.15.1!,2019-06-11 13:00:01+02:00,TRUE
38c2e6c14d927dedea599afab94174040bebbe2d,CB-3765: exclude interal jwt,2019-06-28 09:24:07+02:00,TRUE
d11744d5a2ac4bf8d4109928c26d64f518a70109,CB-3764: bump usable version in README,2019-07-01 14:31:14+02:00,TRUE
083b2fcd90819c795bceafa3199d09e2880991dd,CB-3819: release 2.16.1,2019-07-15 14:38:33+02:00,TRUE
bc76ab27975d556af9629eb27e009cbc337d9804,CB-3942: upgrade to ssdk 8.3.0 and dbs 2.16.2; bump rest assured version; fix groovy dependency from ssdk comms,2019-08-16 11:47:22+02:00,TRUE
cc1eb5a87e25d56ab8b5e9fd7eb41420fb877ff8,bump release versions,2019-09-10 08:37:20+02:00,TRUE
acf939f9190d414a32cbbf8f4cb050cff3469740,added Kubernetes to 2.16.3 (#75),2019-09-26 11:36:09+02:00,TRUE
5bb59ec4e40173f232cf2d478a440ac15cb2f0df,CB-4155: release 2.16.4,2019-10-09 08:57:32+02:00,TRUE
1cab4657c3cd3f09e829fe7cfafc594247fa6644,CB-4155: replace boot by exec classifier,2019-10-09 11:56:12+02:00,FALSE
133a24cab5ee4a61433e20033e58c42105860e3e,fix boot.jar,2019-10-10 11:01:08+02:00,FALSE
fa3e3ab15d18febca5a8e141cccece1792d3048c,CB-4262: add 2.17.0 version,2019-10-30 13:28:16+01:00,TRUE
a4082939f7329353277f234d6c40c338e1ac66d4,CB-4430: release 2.17.1,2019-12-18 12:59:16+01:00,TRUE
f4dfee766c8508aead94a2e32f3ab4965dfa47e2,CB-4602: released dbs 2.17.2,2020-02-06 08:03:18+01:00,TRUE
36a4bcf4295a56668fb5945e3676c2624262d1c1,Correct bb-fuel version for DBS 2.16.1,2020-02-06 10:29:00+01:00,TRUE
6d43e78fd34905dd8b811067a97589abd602774f,CB-4709: release 2.17.3,2020-03-10 13:47:28+01:00,TRUE
41c0d4f74e0979018c36e8ccc5788cf64f7f6259,CB-4890: release 2.18.0; restructure clients and config for lean services,2020-04-22 10:38:57+02:00,TRUE
07e11b24a1728fb04e578abb629b639cfe85dfc3,"CB-5043: release 2.18.1; migrate notifications and messages specs (#125)

* CB-5043: release 2.18.1; migrate notifications and messages specs

* CB-5043: remove drafts being deprecated API endpoint that was deleted in 2.18.0",2020-06-03 15:16:29+02:00,TRUE
4b8e1f7e46fb50246b0f49700534813b85f6dcc8,Release 2.18.2; updated third-party libraries versions in LICENSE.,2020-06-10 15:48:00+02:00,TRUE
eabd8f33a487287d5e63e6c6d4b6278be647c38c,Adding minimum version for 2.19.0,2020-09-02 11:53:56+02:00,TRUE
f8bc712a6e7cd4392f1ce8831bbc35bffe4a65c2,Updated account statement file,2021-01-06 23:20:27+05:18,FALSE
533b27bfdb028500421ca37dc7036fca47cf0a7c,- Updating readme file with dbs 2.20.0 minimal compatible version,2021-01-29 18:03:42+01:00,TRUE
23b54961428a8372c2e43f3faae98cec7f8e01b8,"parent edff6c289525d65364758bb7368175ac5c507b62
author Maithree <maithree@backbase.com> 1618384669 +0200
committer Maithree <maithree@backbase.com> 1624451888 +0200

Updated positive pay files",2021-06-23 14:46:16+02:00,FALSE
5b6d2332a801c7f5759ff8390a549a66194ad540,"parent edff6c289525d65364758bb7368175ac5c507b62
author Maithree <maithree@backbase.com> 1618384669 +0200
committer Maithree <maithree@backbase.com> 1624451888 +0200",2021-06-24 12:05:24+02:00,FALSE
aa71b4b07e711636aa357b90aa33fd049f49ed45,"parent edff6c289525d65364758bb7368175ac5c507b62
author Maithree <maithree@backbase.com> 1618384669 +0200
committer Maithree <maithree@backbase.com> 1624451888 +0200",2021-06-24 15:22:34+02:00,FALSE
995d16b08349e10e2b093aba226b2bc118532126,DBS compatibility table is updated and card details are added only for credit cards,2021-09-21 15:32:54+02:00,TRUE
2cd6b1ad7b5a402a04a20c67ec4b1ec3e59e0576,PAYM-2967 Added contentservices dependency to ingest payment templates,2022-02-24 15:56:40+01:00,FALSE
78c976429bd6e479267d230e8f3cb5160ffa0c55,Updated release badge in README.md,2023-01-16 13:44:35+01:00,FALSE
