sha,message,date,result
aed7e0052cdfe32a0f3e5a8b5167c831286f1e96,Initial commit,2019-02-27 23:04:05+02:00,FALSE
880036a546fbe951ded11797133517999cab1520,Update README.md,2019-02-27 23:06:32+02:00,FALSE
c22f76fb646bb06bf38d7f17271de8543ac93c1f,hIIII,2019-02-27 23:08:49+02:00,FALSE
f2341ff9eecdcc63e39d5f407a42f8ae1ac96f99,done with games now to work,2019-02-27 23:09:20+02:00,FALSE
14e6eae07b99ffece1499948613e897913edc7e9,Update README.md,2019-02-27 23:22:58+02:00,FALSE
a8a40a65bf10fd32cd254575bbbc0341872823a1,Update README.md,2019-03-23 19:04:32+00:00,FALSE
c7b2459c6c44fa75940ed2bd1682f8c54f74d6a5,Update README.md,2019-03-29 10:42:14+00:00,FALSE
f0bd6fcb9865e8b98f07926f7a22ef25e8227290,added read me and requirements.txt,2019-08-13 23:43:50+03:00,TRUE
3f8f0dabbf7d8a585a52f515c2a729f07438014f,Update README.md,2019-08-13 20:46:23+00:00,TRUE
8439df54aec9e2f0a416b3958bcace6b533ac5d6,Update README.md,2019-08-13 20:47:07+00:00,TRUE
771958fb71c68b13f15784fde95d1b5aba818958,Update README.md,2019-08-15 05:18:20+00:00,TRUE
5bea7f8d5c6e24cdb2ce835062e26a80ef5f5f99,removed unnecessary loop from main file,2019-08-16 15:00:28+03:00,FALSE
2cebee43c4d83d01fc7f4c08c7eb3886386c69fd,updated readme,2019-08-16 18:10:49+03:00,TRUE
2317924b8b1c4f0b24b4479e3ef53173196065b5,Update README.md,2019-08-16 15:28:40+00:00,TRUE
b88964d31e51a2fef12a8b091c6f056ac0f150ea,updated readme,2019-08-28 21:08:51+03:00,TRUE
2291a1e1953f2dd9746b22a128c94d1931505a0d,updated readme,2019-08-29 00:01:40+03:00,TRUE
760f62dd93bbadcc45e494a13e74b30201c415ed,updated readme,2019-09-18 17:18:31+03:00,FALSE
088c32f5737156c8c3da0ff75a1a915951733c4d,Update README.md,2019-09-24 19:14:52+00:00,TRUE
5eec368f79584db36e1502beb7834ffb017faec6,Update README.md with software installation instructions,2019-09-25 14:49:46+00:00,TRUE
15758f3e20f2ebaf68633d0a1811d63a03c67e5c,Update README.md,2019-11-20 08:53:11+02:00,FALSE
48da9f5dfd8484d24705c1b2249988d164c3364e,"Too many changes to list

running in to bug in CameraStreamer with native exceptions",2019-11-21 05:32:19-05:00,FALSE
39a6f161663017fb11f33031e2d2ea7feb214967,Update README.md,2019-11-27 23:52:10-05:00,FALSE
f54beb6d5578f945d2cf8be0cdbbfbb07602ee7a,"Updated Readme.md

Mainly Development Setup",2019-12-02 01:37:53+02:00,TRUE
64d6bd093e31ee65e22caa2ed86d5b6ef3bdc401,"Update readme

small changes",2019-12-02 01:38:50+02:00,FALSE
bfc323bdcbb605379c00bad30ad995388a432c6b,"updated readme.md

Authors credit update",2019-12-02 01:42:10+02:00,FALSE
b5fe39e26dc99903f2422e4ca7180733096d865b,"updated readme.md 

added usb camera to hardware",2019-12-02 01:46:31+02:00,FALSE
