sha,message,date,result
e14943fb5006e0e83de87b2ce672d772bb664cdf,initial commit,2021-04-15 08:03:02+02:00,False
cd3d5126aeed75790c9077b3faa8a44e634d39fc,implement matching,2021-04-15 10:00:00+02:00,False
81b81447e90a0fd373f93e0f43869fd2c6f3691c,update,2021-04-29 08:45:04+02:00,False
06c7b07d8183636f30b802d4ac3b85fe3118090c,update,2021-05-02 11:51:55+02:00,False
d125c3a4625e7aba107f1cba4c345c0d3706c722,version 0.1.0,2021-05-08 09:59:35+02:00,False
6e5b64991ddfd5572d6ca4d9cb87f68e23a25858,add initialize script,2021-05-09 19:00:47+02:00,False
6d9c9d9a3fb104adce7d63d315b088b469db01e4,update readme,2021-05-12 17:22:28+02:00,False
874c405d008ca42900f04a89fc11a943109f3fdb,"execute all scripts/make inside Docker (#1)

* execute all scripts/make inside Docker

* remove R scripts/should be in Python

* docker-compose and backward_search

* update documentation",2021-05-17 15:35:59+02:00,False
b0272f0eafd50fbca163f1f6f6ddb4808bf281cf,update,2021-05-20 13:21:48+02:00,False
4ebd1ff989f131d6c80bdd36d84c766ad173dc92,update readme.md,2021-05-25 14:13:15+02:00,False
dd886b138d251245857edd198e7aaf7311718581,update readme,2021-05-25 14:37:46+02:00,False
68b206b228de7b28cef87eecd0f60b07b6f04a77,code formatting and pre-commit hooks,2021-05-26 21:29:40+02:00,False
1fe339115b8468216e3d63ddfb463f6f259720a0,merge_duplicates,2021-05-29 09:54:47+02:00,False
dc20422c7f78fc13e6dcfa95db8223c16986a2a5,"update combine, cleanse, merge",2021-07-05 14:29:17+02:00,False
1e04a6da89bbed0b474341667814efc5376fe535,move status to pre-commit hooks,2021-11-12 11:10:04+01:00,False
9f8b11c5eebd046f6085eb2a0ba33fab686dd57a,set up as pip package,2021-11-12 11:10:04+01:00,True
9e920b4de2d4c1cc526a138cc12b30273d654703,refactoring,2021-11-12 11:10:04+01:00,True
5ab932ecae942c5df5bc7c4c0e9ee02fb8634f65,validate merges,2021-11-12 11:10:04+01:00,True
5d7333e4f915f0dda3757eb754ef6e3086d319d9,update readme,2021-11-12 11:10:04+01:00,True
eedef41d6efce4f67b864e906874327b46c98eec,(re)move material,2021-11-12 11:10:04+01:00,True
afafbda50672ae2630569cd355a51a20ffa81a76,hash_id -> entry_links,2021-11-12 11:10:04+01:00,True
85e7fa17eb78820d477c390c5e2681b83daa1bc0,convert non-bib files for import,2021-11-12 11:10:04+01:00,True
c43e715a5d4e4223f6b5e526bb52e1d10fb97832,"import: txt, csv, xlsx, pdf",2021-11-12 11:10:04+01:00,True
5038f22372fed5fb49b4efd3aff47f548f00cc62,update,2021-11-12 11:10:04+01:00,False
85dc7a2bf2939780277389aff764816eeed4e61f,checking and refactoring,2021-11-12 11:10:04+01:00,True
f4094b2c8d454cae2bb7ad868f4aecd31c9f0be5,drop hash_ids,2021-11-12 11:10:04+01:00,False
ba718b98bed1c1919e54d52986836ac24c6cd8e0,update readme/explanation/cli,2021-11-12 11:10:04+01:00,True
239cb5939f0d6d7ac5baf6cb713074cecc38875d,update readme/docs,2021-11-12 11:10:04+01:00,True
2fda9ba4077cb5482c37ba1e14f8b23347165d9c,README,2021-11-12 11:10:04+01:00,True
0ccda902239c3e49e79d2527a684dc0b70b9dcd7,update preparation,2021-11-12 11:10:04+01:00,True
4379bfcb433340fe1c500fb03c64ffbf7402a334,update readme,2021-11-12 11:10:04+01:00,True
d85027dccac2bfe19000cb2497cca12f4f986bab,refactor,2021-11-12 11:10:04+01:00,False
58deaf37b0b067f72dfb857fc0539c7518bdd991,complete entrypoints/refactor,2021-11-12 11:10:04+01:00,True
9191bc9766fa8279f0bc447c534ec3952a5e114b,update data,2021-11-12 11:10:04+01:00,True
19743eb86be4d09149d151945c112e11fb154d0e,pdf_get_man and pdf_prep_man,2021-11-12 11:10:04+01:00,False
