sha,message,date,result
ed561f5ddb2aa89a828468a1f30041f22b0dca8e,Initial IRIS Open-Source commit,2015-04-30 10:39:49+02:00,True
5d61de2a7cabf6cd46e235979fff6825a5db0549,Initial IRIS Open-Source commit,2015-04-30 15:14:19+02:00,False
157a6fdc772dc8d8d1a4fe47bbcac543adeb20b1,"add travis build status to development branch

refs #11121",2015-05-18 10:41:59+02:00,False
929efe304077ace546060f757bf05fe11d08033a,"add travis ci to master branch

refs #11121",2015-05-18 10:44:42+02:00,False
829f136e77f5a511368ea030c98514e7145f6cf8,"Add documentation for ASTAG restrictions

References #11591",2015-08-04 11:17:36+02:00,False
f4f6230b73faa2ac9be47f447891ae582db75396,fix typo in docu,2015-08-10 16:10:54+02:00,False
afd3ca2355bd23f6eef1f634597a58f7c32aed5b,"Make graylog logging configuration optional

refs #14164",2016-02-01 16:26:27+01:00,False
ac3f0156a7fd9c1ae8f3abd9bad893584411dddb,"remove mysql from readme

References #14310",2016-02-09 13:50:30+01:00,False
13e45b43cd27d654be85f555c13b241e065c8d4b,Fix broken markdown titles,2021-01-07 08:34:35+01:00,True
6c176131975f7f7ace31cf0b3f27e5f94ea179dc,Use maven wrapper in README,2021-01-07 08:35:44+01:00,True
