sha,message,date,result
6f1c15e0a82e822a7ab1f345fca7df0eabebc890,add github readme,2014-02-27 13:01:29-05:00,False
22212120ca903016846e8314998f549c77529bea,changing to README for github,2014-03-11 07:42:50-04:00,False
f53a6405fd4bafbf4dcd490233cade53a414f3e0,prepare for 3.3.2 release,2014-03-20 12:28:39-04:00,False
1c7c2818d072908528ff94b2eea3cfc9736fd793,post 3.3.2 release bump to 3.3.2.1 snapshot,2014-03-20 12:39:49-04:00,False
cb979e4775ce2f7cc7327bd9584fa4a8f4c8b59f,preparing for 333-beta1,2014-03-26 14:03:05-04:00,True
abb4ee229a2c152e0fdb7f426318663b9728258d,#24 add checksum enum and simple negotiation code,2014-06-26 09:32:17-04:00,True
0d0cfe77d068398f561925747a6b3afd6a92c7f6,Update README.md,2014-07-03 09:04:41-04:00,False
3e3858712af78375e5c973d3112212ee8cdf888d,Update README.md,2014-07-03 09:04:55-04:00,False
80d15f3e0eca682cec53acfbffcef698936141d3,Update README.md,2014-07-03 09:05:51-04:00,False
b942b21d228e5f58f58703d1871ea97fc67c5b26,Update README.md,2014-07-16 08:01:03-04:00,False
c3603c1cc3ea8c66eecb65f8e82d269e50096c0b,Update README.md,2014-07-17 14:19:14-04:00,False
3b44c762579631037af30a5a7931697910add2c6,Update README.md,2014-07-21 08:33:08-04:00,False
259e235491b4cf371ea1a591c834a0bd2e37c3ac,Update README.md,2014-07-31 12:59:31-04:00,False
5248af1f2606126744304f0f3471c38ed3471c2d,"Update README.md

add dev name for coverity",2014-08-29 07:43:16-04:00,False
1a8aee67ba33528061af9d6a6c108c522281a4aa,Update README.md,2014-09-16 09:44:54-04:00,True
0d3a3b2f07c7066d0a49703232f741bc5e4aff2e,#23 fix readme,2014-09-17 14:44:17-04:00,True
fc00c46a0ee3bdca9b45b3c718b4dd97a4e4a29d,Update README.md,2014-09-17 19:52:11-04:00,False
9424cc69edd1a8dbfb0e8cf187522138971d01c4,Update README.md,2014-11-03 11:34:33-05:00,False
b59ac3415d1d8607965d3e54c767ee00bfbba87e,#55 add inherit/nohinherit in collectionAO as admin,2014-11-05 13:04:28-05:00,False
cb145fcbdae3a8d44c0d1d53460174113a5151cf,#56 align version numbers,2014-11-06 14:16:53-05:00,True
a1e0145b896a291c85b35e3ac23b5b90eabe5666,#58 some cleanups and merging,2014-11-07 08:01:05-05:00,True
2df4d4515183458d08f433d31e6992265550058e,#52 fix open flags processing for output streams,2014-11-07 15:24:56-05:00,False
d4d4a5e223f6b32b2b5a59d82974ee2543799dfa,#60 addl data in metadata queries,2014-11-11 12:56:51-05:00,False
477b2dce3d36cc9807e92be1caaafba5ed7eba44,#62 propogate resource in move and copy,2014-12-03 13:43:06-05:00,False
a9f6fe4447d33b2ab5981ee2b8c9b90fb9535cfe,#67 connection tester,2014-12-18 10:01:48-05:00,False
da9f58cd113fc8a99b11480d1a1087a0bb4e279b,#68 fix specific query for sharing,2015-01-22 12:14:55-05:00,False
fbd86102ba8949dfabbeac7a4c7dbdfc6c1cf4c5,#73 fix for Dennis,2015-02-17 15:45:24-05:00,False
d9d15d9fc5cb7a6b81fb084c505ad5430df7e8b2,#71 tighten up error traps in failing parallel transfers,2015-02-18 17:34:22-05:00,False
