sha,message,date,result
3fd5553bc7d64fc3f92ac40e57b04c1b627514ca,Initial commit,2020-10-19 11:12:48-04:00,False
fa770bdb309f44ed1ee21ed0b64bc3a11d2d264a,initial commit,2020-10-19 11:19:47-04:00,False
b8c60c112ff308cdb35cb999d1b82c1adbc786db,readme,2020-11-17 11:51:25-05:00,True
8c798ebe7eb4c0349a2d5c8eab23970e61191a10,readme,2020-11-17 12:00:58-05:00,False
c91a16430dacf1126f0fda6e6264e71af925ff49,readme,2020-11-17 22:27:57-05:00,True
c11d92a9e00fef94fcf730e90065137d7f44d065,readme,2020-11-18 14:47:44-05:00,False
69e072d684062dff25dc8058d47ae0b9e61124ea,update readme,2021-01-08 10:26:33-05:00,True
e81dbb048174d04fb2618753706bfbb237c9204e,update readme,2021-01-08 11:05:12-05:00,True
f9bbe05b6fe29b89d7c828903b68c8585aa8aa26,update readme,2021-01-08 11:30:23-05:00,False
fcd7532d9088c05e60a3607a1face1a129818ea6,Update README.md,2021-04-09 22:40:57-04:00,False
4211c73f4967e4263ec0723807cb1b473ca92665,added links to install mdtools and molecules,2021-05-11 15:40:14-04:00,True
a2c18c3b390cb63f4e7c8d6a6f53abaa62da45d7,added links to install mdtools and molecules,2021-05-11 15:41:30-04:00,True
4bfbf195e87833cd70a3975495a590f7355a035e,doc status,2021-05-11 16:23:52-04:00,False
f8d8520fee17ec31ccb41c5ab24e573ae7e9af7e,link to docs in the readme,2021-05-11 17:06:41-04:00,False
af292a908910c767e9dff60a6457ee1b4d8c6f5f,link to website,2021-05-12 14:07:13-04:00,False
14b208e8c8d7fcbb57866e1926c7967e3aa7642d,link to website,2021-05-12 14:07:49-04:00,False
f625a40b4867addcf31b588fa1f8d1b56b9ad8a2,Updated README with installation instructions,2021-06-29 11:24:53-04:00,True
5acb4c0bcf2ed8b0c336d6367f9f038b9912c820,doc,2021-07-12 07:41:16-07:00,True
5a4f52377a73ce2a7c0acc5bbd2378b2e5f9a45f,doc,2021-07-12 07:41:16-07:00,True
59e19abdff5b769b1dfb7b510d371ee98f484120,parse_args,2021-07-12 08:33:32-07:00,True
ca832b702294fde6a539c8abfc4cccc1de8faedc,parse_args,2021-07-12 08:33:32-07:00,True
e85ad97889211f073b3938473ac16280c4baf77c,postproduction scripts,2021-07-13 09:19:49-07:00,True
6dcda26b9f459562271de7159b7370c7662522a6,postproduction scripts,2021-07-13 09:19:49-07:00,True
4f00c350afb28a7b32508622c6b7f07c21bfa851,remove push from README,2021-07-18 18:36:30-07:00,False
2628e48fe900cf3d3e15a49cc7eeb674ff073c6d,add contributing and license section to readme,2021-08-30 18:10:57-04:00,True
03035207ae36692ee32863e62fe25e38cb55215f,autosummary and docs update,2022-05-16 22:30:50-05:00,False
ef79e6e01111e86850816e58cda9eb8b69ca858d,typo,2022-05-17 11:09:25-05:00,True
