sha,message,date,result
63f68987105acf1575848231518430b611ec8ee7,initial commit,2013-01-14 09:50:12-05:00,TRUE
cc9e24bef31862e544d4a55e6ba8b3b770aa6df2,docfix,2013-01-14 17:32:35+00:00,TRUE
7a370aed67952dc4cb7175405fc9d17959a37fa8,more doc,2013-01-14 17:33:35+00:00,FALSE
3fcd2b02c580322f246129fb3f83a3864425c544,doc fix,2013-01-14 21:13:10+00:00,FALSE
97a5524aeedef5c5462b9b291c7045ae4d2f2a05,doc fix,2013-01-14 21:13:49+00:00,FALSE
cca97bdc5f272b45b73f384f83df991ad91a80df,typo,2013-01-24 13:34:37-05:00,TRUE
654a6f3c5e72a6bd443e9138ea0a1e7eaf328350,moved utility scripts into utils,2013-03-06 08:32:52-05:00,FALSE
55bb7b01cbcb09ad3df43e81e4098bcaa2ff9386,typo,2013-03-06 08:34:17-05:00,FALSE
9246a7b0ef6a4f0d6b9cc04ff60ae1e46e22ba05,docfix,2013-03-06 08:34:56-05:00,FALSE
f7b86645ffb1f5a6735070025e29cc49d6172204,cleaned up doc a bit,2013-03-06 10:37:52-05:00,FALSE
555fde0e1cba53a24cbcc6934f79326bcdd98e94,added wall example,2013-03-06 10:52:34-05:00,FALSE
67c4cfddda8b426b86492c304619a124e159d7db,typo,2013-03-06 10:52:57-05:00,FALSE
ea68981a7b14507b5d3f3f7dea512709135f81f3,more examples,2013-03-28 23:59:44+00:00,FALSE
65a025a0106397adcfef4a9ed44fcc465bbeb92a,indentation,2013-03-29 00:00:13+00:00,FALSE
d52f1a4667943750a1bdb21b157463226a830b32,typo,2013-03-29 00:00:44+00:00,FALSE
4ceb65fcf36be74540bbfb45f7f84e284b5444aa,Correction on the using gender script,2013-03-31 19:43:09-07:00,FALSE
2d23ce5b6bb4df9fd5b828674de037e1f57ed7cd,added the ability to scrape search.twitter.com for older tweet ids than are available via the rest search api call.,2013-04-08 12:45:39-04:00,FALSE
626e04363ff7678c0889f62307081a73014fc2a1,docfix,2013-04-08 12:50:29-04:00,FALSE
d9bd48f8f729e03d619133907b899779c19536d4,docfix,2013-04-08 12:51:05-04:00,FALSE
03cdda905ab0225bc9777be87183c347b50c3027,docfix,2013-04-08 12:51:29-04:00,FALSE
8932ae8407e778d380e868d904c7944271d17b30,added example of reverse ordered wall,2013-08-09 13:07:50+00:00,FALSE
71e169edb385b1d1ed4c04e7f27b17e9e7328823,updated README.md and .gitignore for addition of utils/directed.py,2013-10-16 22:21:50-06:00,FALSE
9b6ed9c72a9747ed5b6eb60f2e659234b218ccb6,small formatting change,2013-10-21 11:58:29-04:00,FALSE
5e97d3bd5bc50ce6f42aa7583e4bc936942ffb90,update readme,2013-10-23 17:54:05-04:00,FALSE
6ce39ebd30f8913be4c09d3f2ae684e01ad45fb4,update readme,2013-10-23 17:55:10-04:00,FALSE
ac14b9de174fc87eeed054d2c8e0868c2a9bcefd,updated scraper to use new scroll_cursor param. fixes #7,2013-12-19 12:59:41-05:00,FALSE
986b7ed15a21c1112fc21098b03b95af72a9e2ef,refactored a bit so twarc can be used as a library and added some tests,2014-08-22 19:09:46-04:00,FALSE
32e32d38c170fc671b0b0e2166f4303efadcd568,some doc,2014-08-22 19:28:21-04:00,TRUE
ae3f6a390c1709303ac50047fc2c56ded4e50ef5,doc,2014-08-22 19:32:11-04:00,FALSE
5f07eb3399d377bb4fc50656482c810a137c1672,doc,2014-08-22 19:53:25-04:00,TRUE
46885fa0ae0740bfd1d187fc17886f4825f8f991,initial pass at stream mode. fixes #15,2014-09-16 09:57:48-04:00,FALSE
c22a3043695a09e3f9c5fe8064abc0a3ec087231,Script to filter out tweets older than a certain date,2014-10-20 17:32:22+03:00,FALSE
9146f18abc401026f37f9b1e7ad870c290e66845,Utils to dedupe and sort by ID (date),2014-10-21 14:15:50+03:00,FALSE
c3c1d4a1e2141b34f3f47cb3ddeeca95154902d1,coveralls badge,2014-11-11 09:33:25-05:00,FALSE
a600f96fb496022e9a1ba93a49e06332a4bd3991,Added Gitter badge,2014-11-11 14:37:51+00:00,FALSE
8a55003fca5d1275855d4143e8033170fe589024,doc,2014-11-11 09:41:51-05:00,FALSE
f6ccea97453b6525e0d736c8a5e800e5f51dad50,twarc.py now requires --query flag ; added --hydrate option for turning a file of IDs into a stream of line-oriented JSON ; fixes #29,2014-11-18 11:27:43-05:00,TRUE
40a5d7c05244ef95ea6f5029f4ae62e9ee1eb2bd,fixes #31,2014-11-24 12:36:09-05:00,FALSE
bfaf7a36f9bb958e127a9138210f217d3db371da,fixes #32,2014-11-26 16:27:31-05:00,FALSE
17d3caa8dd549dc99289d7c1c90d0b1a82e84fea,Update README.md,2014-11-26 16:28:06-05:00,FALSE
b38fb86a6fec781ed352d0fa3c8487d8c2999cb0,Document new utils (plus caps/tabs fixes),2014-12-11 08:55:18+02:00,TRUE
0db7ce8de3284f8be460796dd0d111a027b04704,fixes #35,2014-12-11 12:55:40-05:00,TRUE
a229b295cb8a3e07092dc7e22db1a9782622290f,updated doc,2014-12-18 04:47:22-05:00,TRUE
15624c94ddb14b4319d4c79e221349a39fd194c1,doc,2014-12-18 04:48:05-05:00,FALSE
1b3bec35f077af6e0da3a6d5092f119f012891c6,doc,2014-12-18 04:50:57-05:00,FALSE
585188489c37bdfdd145a79dd8ed3da662e7cef5,doc,2014-12-18 04:52:04-05:00,FALSE
83e1217067fcc8ba62fa1652822fbdb5d885257d,doc,2014-12-18 04:58:16-05:00,FALSE
dd9ec767a7623a5f8a9d1d465e640ce2e6d3f393,doc,2014-12-18 05:03:28-05:00,FALSE
126d7a58d63f703dfc22f3cbb0063e30aa9bffb0,Document,2015-01-02 22:16:37-07:00,FALSE
98bb8c5ea6cda570237800ff914cd2efa4d583b9,Document some @edsu protips from #code4lib irc,2015-01-09 16:18:58-05:00,FALSE
dfa4add8e499e6a727c1dc40d5b9d010bacb3252,Move d3 utils to twarc-report project,2015-01-25 14:57:29-07:00,FALSE
32b7b0b469e2041981299b98b08f60c5a6c088bc,doc,2015-01-28 23:00:53-05:00,FALSE
bd056971c477493a6fe82c517fc4fb1e27694def,aligned documentation and method names,2015-01-29 22:13:21-05:00,FALSE
0a45bea8d9dbbf1ce6f77ae64865846c68cc54c1,doc fix,2015-01-29 23:01:20-05:00,FALSE
d22c4110e9d695f337667e3661283e8d3a6f6959,doc fix,2015-01-29 23:24:06-05:00,FALSE
376d7c45e66ad34d230e09c532cfb4d406d41027,doc fix,2015-01-29 23:24:29-05:00,FALSE
20d68623b76679e332f19806f0fe849c85d4edc2,doc fixes,2015-01-30 06:02:19-05:00,TRUE
cc2332f25f8f3c33fcd0795e036516b5b2750e44,doc reordering,2015-01-30 06:03:47-05:00,TRUE
9addef13e60920748ba9cb88cc34bc2ac2ddf769,doc,2015-01-30 06:05:57-05:00,TRUE
3fbc98cde0bb0ae84e0feed8f573a7e9aa50d003,doc for utils/archive.py,2015-01-30 13:08:27-05:00,FALSE
943485b17d2c3553f826d4e0572c362a17001105,removed unused oath2 which should make pip install work under python3 ; fixes #50,2015-02-16 12:57:01-05:00,FALSE
a999a2612778d9f749599a734607f156538f2430,allow twitter credentials to be passed in on command line ; fixes #52,2015-02-16 15:27:15-05:00,FALSE
20a2c744d965f2ad8d438afc16900f5541aa7d3d,doc,2015-02-16 20:02:08-05:00,TRUE
e7268d51ad948f4d04c5f1fbc9f59fe08802b210,doc,2015-02-16 20:03:21-05:00,TRUE
