sha,message,date,result
df5dabdb644edb694bdc5ede950863d6cc91948c,Initial commit,2017-05-16 22:26:53+03:00,False
87d92e340220c8cbb724f57861e7544ca948e799,first draft for the domino documentation,2017-05-24 09:29:25+03:00,True
deb6422b123349d4f0ca253cb29e87eb00d7872c,first draft for the domino documentation,2017-05-24 09:31:25+03:00,False
8a7b444059c6e4e32e10dfed17ca2fe64b82fb59,first draft for the domino documentation,2017-05-24 09:41:35+03:00,False
ef775353c5fc1c365b0a22cd694cebd1e532aea4,first draft for the domino documentation,2017-05-24 09:42:25+03:00,False
4e309a92e3272ad9e6395446686e2b25ed455050,first draft for the domino documentation,2017-05-24 09:43:51+03:00,False
274c0c6f32c5878b6e740113afdac7e225307bd3,first draft for the domino documentation,2017-05-24 09:45:02+03:00,False
942108460ffbe14e8e43b75016d86263f6279f18,first draft for the domino documentation,2017-05-24 09:47:10+03:00,False
e6ca26f41898ed63f03c8d01aca5e35c69137e4b,first draft for the domino documentation,2017-05-24 10:41:14+03:00,False
cc99da79b23b39fd57187d2af4c532e282699d21,first draft for the domino documentation,2017-05-24 10:43:11+03:00,False
95a8c4ca47676518c4f42fbb355c42dfbca3136a,commit documentation,2017-05-24 12:00:00+03:00,True
79efb713136facdd4de17832b13fa28aebf5fa28,commit documentation,2017-05-24 12:02:11+03:00,True
6f93d2027d5f2b3df18e9014f82eb81ea5c67cd2,commit documentation,2017-05-24 12:05:12+03:00,True
62656cf464d2456d4cf381ba65db3c4395c09f24,commit documentation,2017-05-24 12:39:01+03:00,True
6136873d36dc8d6c8a7036f24fb83b4abcb1d641,commit documentation,2017-05-24 12:40:02+03:00,True
2b55ded7535ae5926ed0e1ef62b99edeb0742106,commit documentation,2017-05-24 12:40:55+03:00,True
3773d687122723eed5190b40533f4f3a97a76d0e,commit documentation,2017-05-24 14:26:49+03:00,True
c55c8716eff71ea7f95a3b00abbaf97061423b54,commit documentation,2017-05-24 14:32:54+03:00,True
07d2e176a6bfa2e51f0450400d7206a4e8b42a15,commit documentation,2017-05-24 15:19:07+03:00,True
d09837ca5a6533f472a363fc985d5cae5d1317ba,fix shade plugin version,2017-05-25 15:39:45+03:00,True
e8302a4c60d6d8fa0561c8a88c57fedb8383d50c,remove unneeded information from archtypes pom files,2017-05-29 11:58:54+03:00,True
a14b1bb1f75b844bb56c82ce51673880422dfc69,document,2017-05-29 14:35:19+03:00,False
3aa303032df46cd518f24f648c7018dda618546a,document,2017-05-29 14:39:27+03:00,False
