sha,message,date,result
3ae6dd56cb5b894152d2186745318cb068448dec,Initial commit,2017-06-11 16:13:23+02:00,FALSE
e33b39715f102c16794336c6a3f93a0d1a5f34b9,adding Features-Service,2017-06-11 16:44:05+02:00,FALSE
f5cb6507a7aa1b7163e787a9f6423c62c517092e,adding Scout-API,2017-06-11 17:03:37+02:00,FALSE
e23f630b362ccc30ba3dac0807a7a748919f9e88,adding OCVN,2017-06-11 17:12:46+02:00,FALSE
16d401072f6145a9cf5961dabf992e49b075a468,minor,2017-06-11 17:14:11+02:00,FALSE
a315d5c49f0d24239b2e72598344222f06b29011,adding ProxyPrint,2017-07-19 09:31:34+02:00,TRUE
6695a2e476f5934722f5f708bd8d202ecf216f52,"SCS artificial String Case Study, and some tuning",2017-07-22 18:20:56+02:00,FALSE
c14795b7fef20ec92d7531966e6024b45d54a7c2,improved documentation,2017-09-03 12:28:17+02:00,TRUE
4927ce2dc179570c1c34b657a3ad424aaf10b339,fixed documentation,2017-11-25 15:14:09+01:00,FALSE
8dc87bac82fd214734de52c21514cf75f83e870e,currenly removing OCVN due to issues with MongoDB,2017-12-03 15:42:28+01:00,FALSE
ad31f1e7607300270e4e9764aea815b59e9cfead,clarification on how to build the case studies,2018-03-17 08:58:40+01:00,FALSE
1aa6841ff924669032bc26194bc8fbc6c7526860,fix for links not working properly,2018-03-17 18:21:55+01:00,FALSE
ac4e24ee0888810d9d1cc71a26837992eae7861a,refactoring due to changes in EM,2018-11-05 16:21:44+01:00,FALSE
90138e114a429d94779a86ae6b8839effbf567ca,fixing .gitignore,2019-10-22 13:27:37+02:00,FALSE
801b516a1b5ed1391092333f8ee8be002ae3c9fa,choose port for JS controllers,2020-02-29 11:34:28+01:00,TRUE
6eba22c4eaf6b64e568c002ab21c3a9fc10dd51d,bold instead of italic,2020-02-29 11:37:09+01:00,TRUE
788a9c22ad639675f0f995721bcfa75dacf12971,clarification on how to checkout a specific tagged version,2020-04-29 16:56:34+02:00,TRUE
2a2ac08bcdc71d9ba2e74bd7746cd821d5960d08,clarification on Maven build,2020-04-30 14:50:34+02:00,TRUE
9407d414aab6debe11d7a9748f5619ac51195c85,typos,2020-06-15 21:01:41+02:00,TRUE
64cb41efb38cb195420028c1e98e3bbb0b764d10,preparing the 2 new SUTs,2020-11-16 23:09:48+01:00,FALSE
ab9dec2b13ce3edca807ea229e9843c4c6d4031c,add missing contents from master,2020-11-25 11:33:35+01:00,TRUE
28eee665c06eaec5d0213e05daf9ddcafa6f3e17,setup for README,2021-02-11 16:49:12+01:00,FALSE
e9907e15a3efe4fa1e45e8c6e567141e6e4c6b3b,Modify README.md,2021-02-14 13:30:54+03:18,FALSE
642d0f7aae89112bba207c48b61e440f922d3682,updating readme,2021-02-24 16:50:11+01:00,TRUE
14fe6e83aa88169e23566b2e9f50956c4733c1aa,update README.md for new js case studies,2021-03-30 17:58:53+02:00,FALSE
b1800e561c7e4b99e0aab49832f90f05e43e500f,clarification,2021-05-30 10:47:11+02:00,FALSE
72610135d2ef1fc24267f7dd7ce3f91b0d638bfb,update readme,2021-10-24 00:50:21+02:00,FALSE
35184f6dfe68e9a09d4d2c8d72e4149bb1f8b4ee,fixing cwa,2021-11-11 14:52:02+01:00,FALSE
6cf0e8bb3af5f3b3e775447b43ee24b8e4194d54,"removing Library, as using too old .Net version",2022-01-24 15:18:08+01:00,FALSE
