sha,message,date,result
46d70653fdc97f3dd6d35ceb77a422a47aa99079,Initial commit,2018-05-08 14:20:23-04:00,FALSE
61863fe41b9b17c502bb2cbea45472ecca811f84,Update README.md,2018-05-21 13:56:52+02:00,TRUE
e32664701302a071c86b1ca26ec481dc9feed8d1,Update README.md,2018-05-21 14:02:31+02:00,TRUE
8b5e1636006e7e7e685872e32d6d9c890898722c,Update README.md,2018-05-21 14:02:43+02:00,TRUE
84a5132454bcb45129ed6dc9047f6eeb19abdd26,Update README.md,2018-05-21 14:03:08+02:00,FALSE
a280ffc8d1db5f2b1720df742404a9cce29d0add,Update README.md,2018-08-08 14:29:12+02:00,FALSE
4c32bd56428db20d3c36eea1a6597a1f55e5f44b,Update README.md,2018-08-21 09:03:44+02:00,FALSE
9cf102679e34e6e0c343f46aedbdc5da8ff0edf4,Update README.md,2018-08-21 09:45:27+02:00,FALSE
65da70d11b931cb4cab0ddddf0da14f450691b96,Update README.md,2019-02-11 17:22:37+01:00,TRUE
3003d5d9b03ebe7d0ce391c4aa8ceef692377d7c,Update README.md,2019-02-28 13:23:03+01:00,TRUE
37a6b1f56e68cb16c186f353db5945ee3fb3eae9,Update README.md,2019-02-28 13:23:32+01:00,FALSE
38fa527e11777d3feded3d403ca1b94be01ffcf3,add first working test scenario,2019-06-20 11:48:15-04:00,FALSE
81debff7a2c6f51c4698db653f65c52d8900c443,Create README.md,2019-06-28 10:49:07+02:00,FALSE
6a0b21bd1f0216623c903b9d3467bcee153ecda9,"removed local folio_client
#",2019-07-10 10:43:26+02:00,TRUE
a3ef12f078fffedf7365a79bd2a2c4b151c6e573,Update README.md,2019-10-22 22:38:09+02:00,TRUE
d117415f5d9c5ae1e5759f9a3fb729d44c6ee440,Update README.md,2020-02-27 10:00:11+01:00,TRUE
c9e138a832206100e4fbba6266fafa34d536f845,Update README.md,2020-02-27 10:00:11+01:00,TRUE
b8401b81a9909f86065eab5c7953e9fb49163189,Update README.md,2020-02-27 10:02:31+01:00,FALSE
badfc30303a15666d679d6a3a281ab8718db13e4,Update README.md,2020-02-27 10:02:31+01:00,FALSE
8d37879e3046951216f6c460034e323c615bfc5e,"Update README.md

add RulesMapper to script syntax",2020-03-01 00:51:09+01:00,FALSE
e484fcba3ab82179778f1d902aec577e1b7bf150,"Update README.md

add RulesMapper to script syntax",2020-03-01 00:51:09+01:00,FALSE
35584740efed87ad4b379f2db76ecc9a0b6897e4,improve documentation,2020-06-18 10:56:50+02:00,TRUE
3128abdc877d243825de340f5e23026b3015d4ed,increase reporting further,2020-11-15 12:34:45+01:00,FALSE
d426644be06de4e5c4c81179c0cac35fcb90ce35,partially done. bibs working,2020-11-16 12:35:40+01:00,TRUE
cfd216d82a3c74b1df4ae6f4648342caaca80980,Update README.md,2020-12-02 13:51:30+01:00,FALSE
ede0a78043cee7a61e07789c6faf69b358518a8d,fix hrid padding,2020-12-08 08:46:29+01:00,FALSE
bc53631873a4c7c2a5cdb14daa12ef56b1be6fac,document the process,2020-12-10 12:18:20+01:00,FALSE
eafa2ad067da2ea6e40b3a8bd5743dd0c755d871,Update README.md,2021-01-11 09:10:59+01:00,FALSE
45ca9f87124f37df6fdf1254612d6d6c90ec454c,Update README.md,2021-01-11 09:50:39+01:00,FALSE
25d1ad1221dad36996bf165c05acde6d341db5bf,Update README.md,2021-02-01 15:54:41+01:00,FALSE
a94fe853e5f0e55cbd1cd755804124b2fcb53056,Update README.md,2021-03-16 16:22:18+01:00,FALSE
8f146755fa88a8f0e7a4b68c45825575c26fe853,polish and finalize,2021-03-16 17:05:46+01:00,FALSE
fe30f7e7346fb9edcb498711c6d1e5ec6f114522,test,2021-04-29 17:07:43+02:00,FALSE
da7cd33e8c8297c0f1e5763a614dbdf7a95348bf,test,2021-04-29 17:11:55+02:00,FALSE
c9d34fc2484cfa50c51d27b01e493f5c3eca3e4c,test2,2021-04-29 17:14:04+02:00,FALSE
e8176e5d3280082ff51e4d9e2be630e96d4bfb31,Update README.md,2021-07-27 18:14:25+02:00,FALSE
7855819b632d370ce70c229e05ce418dbf409780,Update README.md,2021-07-27 18:14:39+02:00,FALSE
37b5e0d3452f390d0c585f289824bca8cb614353,Update README.md,2021-07-27 18:15:54+02:00,FALSE
42bcbfdb8759af9aa55ac1cafb15a03ef3647459,Update README.md,2021-07-27 18:16:09+02:00,FALSE
37c10a839d7353a946f37d70f7897830bbbc4269,Update README.md,2021-10-19 23:43:05+02:00,FALSE
447ba2b31a3b6b6b5be4ec1de11573846950d1a1,Update README.md,2021-10-19 23:44:47+02:00,FALSE
4ada3f0167a620244ebf70cdb3947866d1f458ab,Update README.md,2021-10-27 15:50:43+02:00,FALSE
f6ced1b389940118ee43ace3a40b5b3ef34605db,Update README.md,2022-02-02 15:37:39+01:00,FALSE
