sha,message,date,result
9cebd94e28b6b0b4ff75b2d6610315d3fa89955e,Adding in the README.md file that contains the name of the project.,2017-08-14 19:54:04-04:00,FALSE
e1cd9460cd07b7c7489879029213c2ee7b77eb1f,"Adding in the start of the first paragraph in the README; also adding
the a starting concluding paragraph.",2017-08-22 15:17:56-04:00,FALSE
9db2e124eec51688f589709ee5e4901ef277c1d0,"Revising the introduction and adding the first draft of the README
content about running GatorGrader.",2017-08-22 16:28:22-04:00,TRUE
3d5b602ef67bca6731ea28d42c9b0e3e635cbdd9,Revising some of the content in the running section of the README.,2017-08-22 16:32:08-04:00,FALSE
652f62b1e39f76d1579a70072830341151750a64,Adding to the README the first example of running GatorGrader.,2017-08-22 16:38:34-04:00,TRUE
0431fd341bc55210b6431a317ebbf9e701bcef8f,Adding notes to the README file about testing GatorGrader.,2017-08-22 16:52:33-04:00,TRUE
068375af1217f695cd94801a2d8b1c388be06810,Fixing one of the command-lines in the README file.,2017-08-22 16:53:47-04:00,TRUE
af3b1ae8262e9b75dbf27202de86ac69e887a6cf,"Adding the first paragraph in the README explaining GatorGrader in
action.",2017-08-22 17:01:28-04:00,TRUE
8ae0fc0262347713c546b76dcc9a973abbceeecf,Updating the README with content about GatorGrader in action.,2017-08-22 17:10:26-04:00,TRUE
75423e4685c8a39eae820c3406ce95e5d609a721,Improving the final few paragraphs in the README.,2017-08-22 17:12:22-04:00,FALSE
ce93696258a2f0b98836aad75ab128f0f2548fe8,Adding a clarifying statement at the start of the README.,2017-08-22 17:13:26-04:00,FALSE
12ab24973b33fe917770651cdc00dd79acdb15df,"Updating the README file so that it refers to Sample instead of
DisplayOutput.",2017-08-23 16:26:31-04:00,TRUE
865d799507283e4f109ade8469d511b3686b7c81,Fixing the README in the section about Running GatorGrader.,2017-08-28 08:22:02-04:00,TRUE
8b9eb6af79edf92473c4a765738abfb473e3e611,More improvements to the README content about Running GatorGrader.,2017-08-28 08:22:30-04:00,FALSE
d8ac93f9fc589d8372fa64f2739ab1a41b797356,Clarifying what students have to write in the README.,2017-08-28 08:23:46-04:00,TRUE
b6e40f0ca6991479b62fbb122e9fe86a5410135f,Improving the README file's description of GatorGrader in Action.,2017-08-28 08:26:12-04:00,FALSE
0846fd54d6b3b9070abafb775095ba6563df530a,Adding the Acknowledgements section to the README.,2017-08-31 12:47:33-04:00,FALSE
f86df91655aea34495d9de3508d1cd3d7f73d94b,Fixing a capitalization mistake in the README.,2017-08-31 12:48:29-04:00,FALSE
a3a3d0a271b569b5aa7948d544c175e12e366b17,Changing the title of a subsection in the README.,2017-09-02 20:58:12-04:00,TRUE
73eba04710fa52e61c84f3028866e24a726adffc,Using the correct capitalization of :snake: pytest.,2017-09-02 21:00:37-04:00,FALSE
0f49c7fce34ae2ec75ea27ae31d4399d21739271,Removing a slash that was not needed in the README.,2017-09-02 21:15:16-04:00,TRUE
51fed81a30d65c0720458f19853df834242ac59d,Added Travis CI build passing widget to README,2018-02-19 11:19:28-05:00,FALSE
6dc453d83c463acc226e83c642187ea90e63ae34,"Update README.md

added svg instead of png build tag",2018-02-21 18:00:55-05:00,FALSE
81ba99b781c757ab48ed70a5f6fc155072e81b67,adding documentation for command line and output,2018-02-27 11:40:01-05:00,FALSE
3fe62f9798457f6022a2bb7f1828875ba17b6ee8,addin the change in README,2018-02-28 10:51:20-05:00,FALSE
d9a1aa6219e160e7c3f81e90ce252ce17fb25a56,"Fixed some vague writing
Also fixed gatorgrader home variable name inconsistency",2018-02-28 14:28:40-05:00,FALSE
a64f78fc793f0dc193215aa21873111eb6725f4c,Fixed mdl error,2018-02-28 20:34:58-05:00,FALSE
9f3c6aa844d10a5ae9889181eacfa1772cdb7080,Update README.md,2018-03-03 20:10:07-05:00,FALSE
31eeb3466dfcee0c35f06f9520a8bdfc9539bb7b,"Update README.md

added requirement for language to be specified for comment counting",2018-03-03 20:20:50-05:00,FALSE
d8d79fb7d3dc6f6bab882e0d9b0abdc7033fb861,"Update README.md

added fragments optional use with command flag",2018-03-03 20:25:31-05:00,FALSE
3fc946e0c8732dcdf8a997a4b2006af291ec326a,"Update README.md

removing documentation related to bash script (this repository only concerns GatorGrader itself)",2018-03-15 15:53:12-04:00,FALSE
960942b5a99a502660006f0766eb45928c282978,adding updated README.md to reflect word change,2018-03-27 15:03:58-04:00,FALSE
1d2e6aaef9c1aa7eaefd3fd0e03e8d97c0270d36,fixing flake8 and mdl problems,2018-03-27 15:11:42-04:00,FALSE
34fe0d6a2911c7d4c78c6a62a116c28ce6a6b7a1,Updating the link for the build status badge and adding made with badge.,2018-07-27 12:08:00-04:00,FALSE
6bff9ba2a7ddf624b1a1423f5d6b90c9d9b5450e,Deleting from the README the example command that required gradle.,2018-07-27 12:11:16-04:00,TRUE
8efec01f6b8e31693238dfb426c010083968aed6,Changing the Python version statement in the README file.,2018-07-27 12:11:55-04:00,TRUE
a8d303e4e539f461d939600a34ff65a90f1dcd7d,Improving the title of a subsection in the README file.,2018-07-27 12:18:42-04:00,TRUE
c80cb7c8a92e183e7b6e564fe26b35a37acd3c0f,Adding in the README a link to the badge for the CodeCov service.,2018-08-06 11:01:05-04:00,FALSE
1401dabc133ce612615a29283a326ebc960405eb,Improved the first paragraph in the README.,2018-08-25 13:25:47-04:00,FALSE
6ef7e51b0c5dea4753441500d19f412fc290213a,Further revisions to first paragraph in README; starting next also.,2018-08-25 13:37:34-04:00,FALSE
5aea1fad8a12e5a9489316c0596ee4b16331013c,Finished a first draft of the introduction in README.,2018-08-25 13:48:52-04:00,FALSE
cfbca73802beb622e9746fdc8be18752ee3c3c87,Improve an introductory paragraph in the README.,2018-08-25 13:50:48-04:00,FALSE
20694ef87b22251676f36b2334bcc71dce431e40,Adding in the individual quotations to the README file.,2018-08-25 14:01:19-04:00,FALSE
4dcd8c9440542d817e746a63f8dd318c584c35df,Revise installation instructions and delete not-needed content.,2018-08-25 14:04:37-04:00,TRUE
120cb337b068f30743e08820ef12eec9f35ae6f1,Delete more installation content and add link to pipenv.,2018-08-25 14:07:26-04:00,TRUE
296fe16894a74d1ec055869cc7b0919b736c7554,"Add the ""git clone"" step to the installation instructions.",2018-08-25 14:10:41-04:00,TRUE
7e2d7a443ffc40635e3fd2b12651e2f182229133,"Polish installation content about running the ""git clone"" command.",2018-08-25 14:12:43-04:00,TRUE
062cff8fcab568c15a3709bac0576e74e33af1fd,Finish a draft of the installation documentation.,2018-08-25 14:18:05-04:00,TRUE
54aa7957fa790bdbef4b213a785aaea5797b8e38,Improve phrasing in the Introduction of the README.,2018-08-27 07:46:28-04:00,FALSE
eb433bdd4138116616a2a3719660885b2aa0842e,Add a reference to the sample laboratory assignment in the README.,2018-08-27 08:00:56-04:00,TRUE
2dbabcbd7941d8d9e263ca682f961370b31116c0,Delete not-needed content about testing in the documentation.,2018-08-27 08:02:55-04:00,FALSE
0dbee721a8a77fcd32cf69d9e14eb17681ea4fd2,Add documentation of commands for two simple ways to run the test suite.,2018-08-27 08:09:38-04:00,FALSE
4dd4cae3710f124a74cb7848b115a0926e3ef702,Add test suite running output and more test running options.,2018-08-27 08:15:09-04:00,FALSE
f4fccacde8f0310e7e4efa6d46b820456ecb65a1,Finish final draft of documentation content about testing.,2018-08-27 08:18:59-04:00,FALSE
e633264ada8eec22191c264a2a3f4a02a9f94a97,Delete the out-of-date content about the command-line arguments.,2018-08-27 08:21:28-04:00,FALSE
ce89b5edc3f2e7ab675aedb99756872fab303f34,Delete incorrect examples in the README about commands to run.,2018-08-27 08:23:28-04:00,TRUE
930850b08b1d0503894e14c0f421999e25fd35ba,Add details about how to display the help message for the tool.,2018-08-27 08:55:47-04:00,TRUE
bbd0fb77126e1d33f1a47151487bcb5c0cb082fb,Clarify a point about default values in the documentation.,2018-08-27 08:56:35-04:00,TRUE
3cdcf98c38532b0d5ab2b5d1cac5e3267b416f27,Add the first example of an incorrect argument to the README.,2018-08-27 08:58:53-04:00,FALSE
76e4508b5dd8b5fb8705c4ed4005b085e39ccbb1,Add setup points about the first three commands for using the tool.,2018-08-27 09:04:06-04:00,TRUE
d51e4950d3d9dc0c48433f4b7795967c5c104070,Make a point less specific so that the documentation is durable.,2018-08-27 09:04:26-04:00,FALSE
ac8ce06e37be9a64b9a9a6f91a60fe9ca32e7f1a,Add the first command example and output and clarify content.,2018-08-27 09:07:20-04:00,TRUE
549bf0bbae7d71e5fc8a50bdf51987a7bdc2eef4,Adding in two more command examples to the README.,2018-08-27 09:11:58-04:00,TRUE
5c38dea8e4cc068a597a3602fe29a8ffa0904077,Add all content in a rough draft that explains how to run the tool.,2018-08-27 09:24:24-04:00,TRUE
0916c3500654ea99e7a39d9a63d6199c092d8b16,Give the exact version of Python 3.6 used to produce command output.,2018-08-27 09:27:49-04:00,TRUE
ff00983f1479b07526f295748db4e279c7af5084,Add first draft of the new Acknowledgements section.,2018-08-27 09:36:07-04:00,FALSE
3d8e574c60b78029b0875a60d3465dd2495caf0f,Improve the Acknowledgements section.,2018-08-27 09:37:13-04:00,FALSE
c3f010c25e008b08538482e3055914e95b1b1357,Fix phrasing in the README.,2018-08-27 09:37:38-04:00,FALSE
3db365f9df08f072d20034f393561445a84709be,Update the Contributing section of the README.,2018-08-27 09:51:01-04:00,FALSE
3cd8329e590d4a8c526a7cfd5d8fc8726b672bf8,Add references to past GitHub organizations using the tool.,2018-08-27 10:00:09-04:00,FALSE
5e552f2d029020bb8301ceedc83543fa4eb43b18,Fix small details in the writing of the README.,2018-08-27 10:01:58-04:00,FALSE
12276a7667ccda90835adc017f0686ba3c2ddf86,"Add the ""$"" to the commands in README mixed with output.",2018-08-27 11:45:39-04:00,TRUE
ba1f2ce8fdd881d816ffb45f1e777746f19b040b,Add links to the presentations about the GatorGrader tool.,2018-08-27 11:57:55-04:00,FALSE
03272971501beb56e57a072254fc5f3997467185,Delete a trailing white space in the README.,2018-08-28 07:56:22-04:00,FALSE
d2e80161e9327267a82a71373c07c04173aedf28,Fix writing mistake about the presentations in the README.,2018-08-28 07:57:00-04:00,FALSE
1721c2116cb29d33dfa6f7526269bd412f540aa2,Make minor revisions to writing style in the README.,2018-09-03 11:45:12-04:00,FALSE
2f9b34e2a672115485539c457495037731b1b247,Deleting a not-needed blank line in the help message in the README.,2018-09-05 19:52:42-04:00,FALSE
5813d0ed2afbca0336c37b678f8a1c4a6f79217d,updated README.md -- fixed link to sample repository,2018-10-18 13:43:44-04:00,TRUE
3ca89848aed294a998f50827d91113fac1dc55a8,Fixed Broken Link for Sample Assignment,2019-01-25 14:56:30-05:00,FALSE
8dda591d89597615837de0b6aa80aa7f624c8a1f,Added name to contributor list,2019-01-28 09:07:35-05:00,FALSE
0a41f9485f9dd584dbbf533e8a95db00db5ea525,Fixed styling errors,2019-01-28 09:43:57-05:00,FALSE
535a2db70ffe272d98ecee843032896fcc044ab4,spacing issue,2019-01-29 00:46:24-05:00,FALSE
27a394ee056a6da1ce94cf0632df0750cf8762ba,"Add correct coverage details

Note that this does not update the number of checkmarks in the section
above the change, because in xterm I was not able to replicate the exact
output -- instead, individual tests are each printed, and are not
separated by module.",2019-02-14 11:56:45-05:00,TRUE
dd6d7caf63f1925dcf79ea633612cad63897b4d6,Add small testing documentation changes to README,2019-02-20 22:05:07-05:00,FALSE
2cd02f1f99e8d7a4b6d90e3c6ea2aa48345da89d,updated README.md to reflect new state of test cases,2019-02-21 12:36:12-05:00,FALSE
5fa413f4690a961af5dc4bf0d86a27b3c30de4ef,"Added emoji to test word count, updated README.md with test results.",2019-02-21 13:18:40-05:00,FALSE
b1d9526e43592f53404ba10c5b49adfd9d390235,Add link to the PyGotham presentation,2019-02-21 14:07:54-05:00,FALSE
d78a9f5e4fc376d2ba1c21e6d411c7b007b9bdfb,Update README.md,2019-02-21 14:39:14-05:00,TRUE
edb012e53938984b7a9dc1c09e33421f58442441,Update README with information regarding regex.,2019-02-27 19:27:08-05:00,FALSE
68913848ec318b88b28c128fb98b8f56d8b6c5bf,Add some keyfeatures and sub features,2019-03-05 17:46:05-05:00,FALSE
477090f78cd607eed121be184cd788cd8ed591b7,Add reminder of things that needs to be added to some key features,2019-03-05 17:47:09-05:00,FALSE
0bab4d2bcb3618f2ea73f3c1bd007b19d741b1f0,Added more key features and edited the wording for some of them,2019-03-05 20:12:58-05:00,FALSE
2ce8343307f2c2d5b8505d6a9461cc6361e51b93,Fixed grammar in the key features,2019-03-05 20:16:23-05:00,FALSE
6d81de0b50a72d905a92ffb68d20f4d1b2d5f217,Add some languages gatorgrader can support,2019-03-05 20:37:20-05:00,FALSE
0c842b1a1416a8f8a71a6abc3b228f91a7835dba,Add integration with my workflows and can be run in cloud base environment or local machine,2019-03-05 20:39:55-05:00,FALSE
104d55a5faf0696a51887f61236c5db93b9890ab,Refrace the multiple languages sentence,2019-03-05 20:41:02-05:00,FALSE
d8473e81770a00777e3a15df755620c60d6814ab,Added more key features and fixed grammar in the key features,2019-03-05 20:50:23-05:00,FALSE
7d3c5458d18c0bacfc01d6d08bb916209e10229a,Added regex usage (line 197),2019-03-07 13:30:01-05:00,FALSE
2e95e80ea3ad1b417a68e7ed145e63d6e1267fd0,Add few changes requested in the PR,2019-03-11 10:18:39-04:00,FALSE
64707c48477b7b66d2dd56d2dafc912864b335c4,Add more changes resquested in the PR,2019-03-11 10:19:06-04:00,FALSE
723c55be441135138cda3640c4455ca23ee1ab8a,Add changes to key features section,2019-03-11 10:19:39-04:00,FALSE
ac619dee8071e3da0fcfb2856312ac47c4e8682e,Add information about correct regex commands to the README.,2019-03-11 19:36:37-04:00,TRUE
973a967b56bb00357510210b0846b1c5ac500599,Fixed spacing issue,2019-03-13 17:02:11-04:00,TRUE
df5cec41546b7b87f14ded37b68b4f7fd6c377dd,"Update README.md

Add changes to key features section",2019-03-13 22:40:11-04:00,FALSE
deeb8a66fb56e6a84e5e348124a58884b25f8524,Update README.md,2019-03-14 11:36:45-04:00,FALSE
ca8d92d2a50b1347d156e9890edcfd456bf69e9c,Update README.md,2019-03-14 11:37:54-04:00,FALSE
6037df95377da2a997a50a4e337c1dc22a0bf9a0,Update README.md,2019-03-14 11:39:57-04:00,FALSE
e11530ed396e0468859d24da7da41477239b9d81,Update README.md,2019-03-14 11:53:53-04:00,FALSE
9fdbce66102891d1753facebe3d094f3b50cf9be,Update README.md,2019-03-14 11:54:06-04:00,FALSE
3d3a4343692e9c7ec2a667b6ac32f25536545d54,Update README.md,2019-03-14 11:55:15-04:00,FALSE
48029a7f768237e198b3cae4c962c2a8785a1357,Update README.md,2019-03-14 11:55:38-04:00,FALSE
d535877d9ac4d0c38981f0dbd6d284d901d4457a,Update README.md,2019-03-14 11:55:50-04:00,FALSE
d5eb440d0e4b3d3df21e8e9c8a769db832975a74,Update README.md,2019-03-14 11:56:10-04:00,FALSE
5922ac878ceb187ea0ab83f4452e870a1afa7ad3,Update README.md,2019-03-14 11:56:37-04:00,FALSE
