sha,message,date,result
24ba7668344089b42746e260b5be16180df6c4e3,repo initialization,2016-10-14 14:03:51-04:00,True
27b92d6bb9c988a5e754c576d608b877f56cc155,Update README.md to be setup on day-desktops,2016-11-14 16:06:56-05:00,True
9122530eb7b48e5b30f2560b36224d39156b911c,"Update README.md

Include setup information for both types of python installation (regular and anaconda)",2016-11-22 14:38:59-05:00,True
7b8aba1e35cae9c7078e957b507bdca6886f35bd,update README file,2016-12-23 12:13:35-05:00,True
89c00ed10a3c8b94165efe601342efbaf013ecd5,"Update README.md

Point to documentation on github pages.",2017-01-06 13:53:03-05:00,False
a45f1f6dba277bb9b63796f0950ba6c7df01327f,Update README.md,2017-04-23 18:05:47-04:00,False
64924458effd4face107bd9847697d50670581c7,remove manual conversion of max_features from float ratio to int -- classifier will do this internally with error handling,2017-07-20 18:13:29-04:00,False
278ef0b359efb323382ac0f5fa984a73aa589277,Update README.md,2017-07-20 18:14:36-04:00,False
d0412c57d1cfa2c0b20d9e68cbb658cedc0ae2ce,Update README.md,2017-07-22 19:16:31-04:00,False
c8a607f5e663aa7856e8be5361aed10ecf7f861e,"Update README

Make note about DBN clearer.",2017-08-08 08:27:14-04:00,False
f8f448b5fd020f3684d9b7984fb14d79db5d8e50,delphi -> atm EVERYWHERE,2017-09-13 14:56:09-04:00,False
1520e465b9695b7c495042cc00594238144db200,atm -> btb,2017-09-21 23:02:13-04:00,False
e531976f05b3f468cbe6ca214165db4fb1a02836,delphi -> atm EVERYWHERE,2017-09-21 23:07:02-04:00,False
c0dad8f1821b21b5c88ea12a4c13cd51140e9fb9,atm -> btb,2017-09-21 23:07:02-04:00,False
b3f2e66951946ff03eb2ae65ed759dd90c67481d,bug fixes,2017-09-22 12:53:14-04:00,True
c09a1d2bc338c1a9050a60e139d9d6dc628ce608,update readme,2017-09-22 14:26:01-04:00,True
a0481aabd508e9971df269ff4ef599a7cde4e4cf,update readme,2017-09-22 14:27:29-04:00,True
a8f874dd8835240b1923174a22837ba28d1fa7f7,update readme,2017-09-22 14:29:01-04:00,True
2f0a69c90a8bf88c7a60b2ca06f7590f4192c3f4,update readme,2017-09-22 14:30:01-04:00,True
