sha,message,date,result
d1aac35d68a203955a32bca4635429f620fc08dd,Initial commit,2020-04-14 21:21:42+08:00,TRUE
cd8d40795c0ea913da2b7dbf673ea0502cfaf4ff,Refactor docs,2020-06-21 00:25:44+08:00,TRUE
140af75d571764107065e6c56254085b8a252bd2,Freeanchor,2020-06-28 18:21:52+08:00,FALSE
1d005956a18b25640e9ff68cfe448c5de8bf7058,Update model zoo links and readme,2020-07-03 21:44:37+08:00,FALSE
908f1882ee5853178bf002cb393a1fdd3e9107b1,Fix doc tweaks,2020-07-08 15:05:42+08:00,TRUE
5d9682a27c4581d5724401873a62fa3019b53f4b,Update docstrings,2020-07-08 22:47:22+08:00,FALSE
f0b23ecba69f24ea2f757cf413a0943853819780,"Update configs/pointpillars/hv_pointpillars_secfpn_sbn-all_4x8_2x_lyft-3d.py, configs/regnet/hv_pointpillars_regnet-400mf_secfpn_sbn-all_4x8_2x_lyft-3d.py, configs/_base_/datasets/lyft-3d.py files",2020-07-09 18:21:35+08:00,FALSE
300832c7fa0254b876e44533e739d57d607afabe,Add Github Action,2020-07-09 23:49:01+08:00,FALSE
f842ff96daeff8e4fb953a0688bfd47b3e651b97,"Refactor format configs (#14)

* update build configs

* Update model links

* Update doc

* Update install

* clean workflow",2020-07-13 19:37:13+08:00,FALSE
f0c164792206600bc197e0b5796b524a75879155,"Refactor readme (#17)

* Refactor readme

* Add links

* Fix link error

* add table caption

* Refine readme

* Add missing plus

* Be specific of comparison",2020-07-14 08:52:03+08:00,FALSE
6c63a6817dbbe8fdaaf44bbcf9a81cb2b68860d5,Clean citation and contact (#44),2020-07-27 19:22:50+08:00,FALSE
dde4b02c18d7695bb23ad0eef3d14e006a52c0a1,"Fix all warnings in pt1.6 (#72)

* Fix (torch.nonzero): Fix  warning of torch.nonzero and bug of nms_iou

* Fix contiguous warning of tensor

* Update CI with pt1.6

* update build action

* recover ci

* Add force cuda

* Use mmcv-full==1.0.5

* Fix nonzero warning

* Update CI config

* update links

* fix unit tests

* fix unit tests

* Lock pytorch version in CI

* Lock pytorch version in CI

* Lock pytorch version in CI

* Try specify torchlink

* Try specify torchlink

* Only add 3.7 for CI

* fix synctax error

* Use 1.3.0

* Use 1.3.0 and specify mmcv

* give up 1.3

* fix cublas issue

* fix cublas issue",2020-09-01 17:54:12+08:00,FALSE
b28cbf7125fa3646a1aefb15dcb5c9359c9e664d,"[Feature]: Support nuimages dataset and provide baseline models (#91)

* [Feature]: support using nuimages for instance segmentation

* Update performance and start benchmark

* Change default path names

* Update performance

* Update mmcv version

* Update model links

* Update model links and fix unit tests

* rephrase",2020-09-07 20:28:01+08:00,FALSE
b684c1d53033d7decc03420efe0bc08ab17a517c,"[feature] add 3dssd benchmark (#104)

* add h3d backbone

* add h3d backbone

* add h3dnet

* modify scannet config

* fix bugs for proposal refine

* fix bugs for test backbone

* add primitive head test

* modify h3dhead

* modify h3d head

* update loss weight config

* fix bugs for h3d head loss

* modify h3d head get targets function

* update h3dnet base config

* modify weighted loss

* Revert ""Merge branch 'h3d_u2' into 'master'""

This reverts merge request !5

* add readme.md

* modify readme.md

* Update README.md

* Add experiment details

* Update README

* update readme

* reformat

* Update information in model zoo

Co-authored-by: zhangwenwei <wayne.zw@outlook.com>",2020-09-18 11:59:15+08:00,FALSE
579b0799da2357ce075b02b7271c9fdf27a5abf6,"Bump to V0.6.0 (#118)

* Add gitlab CI back

* clean isort

* Update gitlab CI version

* Update mmcv install

* fix unit test bug

* waymo

* Use new flake8

* Update mmdet3d/core/evaluation/waymo_utils/prediction_kitti_to_waymo.py, tools/data_converter/waymo_converter.py files

* Add baseline configs for waymo

* fix linting

* yapf reformat

* update waymo results

* Update waymo model zoo and docs

* Bump v0.6.0

* Fix a minor bug when converting waymo data

* Fix cmds in the waymo doc

* Fix setup.cfg to pass isort test

* Fix waymo configs

* Update model zoo link & doc

* update version date

* clean ci

Co-authored-by: wangtai <wangtai@sensetime.com>
Co-authored-by: Tai-Wang <tab_wang@outlook.com>",2020-09-20 21:04:09+08:00,FALSE
1cd50481e972b69b3d3d3cb4f4ada21a88edd338,Update version file (#119),2020-09-20 21:11:43+08:00,FALSE
0369fa50ae7f67c629f35bb085e59ba5e0e5ef17,"[Enhance] Doc update related to waymo (#128)

* Update docs and add hints for waymo

* Change the title of waymo tutorial

* Move waymo into the tutorial part

* Delete original waymo.md

* Update waymo.md

* Update index.rst

* Update get_started in readme.md

* reorganize docs

Co-authored-by: zhangwenwei <wayne.zw@outlook.com>",2020-09-24 11:29:40+08:00,TRUE
f05828b01a487bce979e13dc59dfc21bc445fce0,"Bump to v0.6.1 (#161)

* Update v0.6.1 change log

* Update version.py

* Update init file to be compatible with mmdet

* Changelog refinement

* Sync modification in New Features

* Sync modification in Highlights

* Changelog refinement

* Update README.md for v0.6.1

* Update a newest [fix] PR",2020-10-11 18:00:18+08:00,FALSE
e813610f79f85b532ed9b2ccc7a814a59c2991f7,"[Feature] SSN benchmark on Lyft (#174)

* Add ssn config on Lyft

* Update readme of pointpillars

* Update SSN readme

* Update model_zoo.md

* Update README.md

* Fix a minor typo in the nus regnet config

* Update README.md",2020-10-21 16:57:51+08:00,FALSE
9fef99cc935c75a684e5768d170f3a4594ab7c83,"[Enhance] SSN benchmark on nuScenes (#182)

* Add ssn benchmark on nuscenes

* Update preliminary nuscenes results

* Update model_zoo.md

* RegNetX-SSN updated

* Add ssn regnet benchmark on Lyft

* RegNetX-SSN on Lyft updated

* Modify the batch size in the ssn regnet config name

* Memory of RegNetX-SSN on Lyft updated

* Model and log links updated

* Model and log links updated",2020-10-30 16:19:07+08:00,FALSE
ad5fbf5941c44ac70bffad4ba1999ecbd3f8d1bb,"Bump to v0.7.0 (#186)

* Update README.md

* Update __init__.py

* Update changelog.md

* Update changelog.md

* Fix a minor typo

* Fix minor typos

* Update changelog.md",2020-11-01 17:16:31+08:00,FALSE
b54cd1695af81484264d1069c74e24814e730b9a,"Bump to v0.8.0 (#209)

* Update changelog for v0.8.0

* Update README.md

* Update version.py",2020-11-30 20:46:50+08:00,FALSE
d006848769d8c4e0334cd1c8a5717682aae6798b,"Bump to v0.9.0 (#252)

* Update README.md

* Update version.py

* Update getting_started.md

* Update __init__.py

* Update changelog.md

* Update README.md

* Update news for nuScenes detection challenge

* Update README to be compatible with refactored doc

* Update an installation subtitle

* rephrase

Co-authored-by: ZwwWayne <wayne.zw@outlook.com>",2021-01-04 10:43:34+08:00,TRUE
c2261db081b32900e99240bc5d0591d89f81843d,"Add nuImages entry in README.md (#266)

* add nuimages entry in readme

* rephrase",2021-01-14 11:49:58+08:00,FALSE
1b39a483263825ac5a3e57fdf07d380adb7aa16d,"Bump to v0.10.0 (#291)

* Update README.md

* Update getting_started.md

* Update version.py

* Update changelog.md

* Update numpy requirements

* Update runtime.txt

* Merge minor items

* Add support for SemanticKITTI dataset",2021-02-01 15:45:05+08:00,FALSE
a347ac75dfcc4767909bc9185c111448f526c3da,"[Enhance] Modify readme (#310)

* Modify README

* modify the mmdetection to mmdetection3d in CONTRIBUTING.md and add model zoo link before demo in getting_started.md

* arxiv->Arxiv

* Add model zoo link",2021-02-21 20:41:11+08:00,FALSE
7b947e041fa2fa0ab342e4848b2b7f2de8387a53,"[Enhance] Add chinese version readme (#316)

* Add chinese version readme

* Delete useless words

* modify the link of dynamic voxelization

* modify readme

* remove it

* remove it

* modify chinese version readme

* delete the wrong whitespace

* Modify chinese readme

* Modify chinese readme

* modify chinese version readme",2021-02-24 14:23:36+08:00,TRUE
e3662725b6e44fc5343ecfeadbdc87a324824513,"Bump to v0.11.0 (#324)

* Update README.md

* Update README_zh-CN.md

* Update getting_started.md

* Update version.py

* Update changelog.md

* Update changelog.md

* Update changelog.md",2021-03-02 21:53:46+08:00,FALSE
f0ba0ce2903a880f5de46afd6c7559f801965bcf,"Update Bibtex (#368)

* Update README.md

* Update README_zh-CN.md

* Update README.md",2021-03-20 15:22:53+08:00,FALSE
28828eef884326372beadc876858ecffd4feaaa0,"[Enhance] add citation format  (#374)

* add citation format

* add CN version citation format

* delete 's

* delete 's

* modify citation title",2021-03-22 16:44:52+08:00,FALSE
