sha,message,date,result
8b971011893613245ab662450ee6555c30333c7f,Initial commit.,2013-03-05 00:55:13-08:00,True
e149e5f436141ce8dfa4d0d9f6c6cddeb01be0b9,More readme stuffs.,2013-03-05 11:24:48-08:00,False
2945ad001eaa45d60f344c664c7a856f64640163,Apparently we're a serious library now...,2013-03-05 11:26:08-08:00,False
6b5eacf344b9bac1aa8cac928803dfacf8302719,Empty line.,2013-03-05 15:43:22-08:00,False
05fee106086278942d96abb2afab891c2bd4e011,"Add view injection and injection using activity support.

Closes #6.",2013-03-06 23:24:45-08:00,False
a7fb85dfcd361c27be562baffa9b8612cd761f5a,Add ProGuard section to README.,2013-03-24 22:18:03-07:00,False
3cb069b214c8299d02a7025c538dff2c672da63b,"Revert ""Add ProGuard section to README.""

This reverts commit a7fb85dfcd361c27be562baffa9b8612cd761f5a.",2013-03-24 22:34:42-07:00,False
4a8e8edc00db12efcd50f1555b24f4ea85cf002e,"Revert ""Revert ""Add ProGuard section to README.""""

This reverts commit 3cb069b214c8299d02a7025c538dff2c672da63b.",2013-03-24 22:35:56-07:00,False
11af074d452d323a734918e642669de9a49beef4,Add website.,2013-03-25 13:13:05-07:00,False
d18c579ea67818004eb647320cc2202d3d9d70ae,Logo in readme.,2013-03-25 13:34:11-07:00,False
39fe7d84f9dc845c6b6f03dea36943987653383f,ProGuard information is now on the website.,2013-03-25 13:35:24-07:00,False
912fecf86b171f90d5a3b537690c662eff63a6dd,Add @OnClick method injection.,2013-07-09 23:11:01-07:00,False
6b4ca62ba8b214b9b3376298712176a59e6f205a,Add Gradle dependency example.,2013-11-25 23:01:36-08:00,True
2eb23f12bb88a08481bbfd78c31c6ace5b549cea,"Update README.md

change Views to ButterKnife",2013-11-28 13:44:30+08:00,False
ceef7908dc9e26618df36420ea5e83af0cbb2386,Documentation improvements all around.,2014-04-14 23:11:17-07:00,False
d9967aae168640766255263ead606d3f907d5aae,Prepare version 5.0.0.,2014-04-21 00:03:15-07:00,True
26da67b5e08f1611e6eec5d2f2d69bcb460c6447,Prepare version 5.0.1.,2014-05-04 22:20:52-07:00,True
e31ed7dcaa40f4d18681df148f5c39d904127cc5,Prepare version 5.1.0.,2014-05-20 17:24:25-07:00,True
e471cfa0c93cea7d5171981640581170568e8583,Prepare version 5.1.1.,2014-06-19 18:22:51-07:00,True
fa6b046b55d30bdddd343244b86cff64030c71c7,Prepare version 5.1.2.,2014-08-01 23:48:27-07:00,True
f8f53941821f77aa1bab8d5e535084b29037a28d,Prepare version 6.0.0.,2014-10-27 18:26:58-07:00,True
bac2342500971a3c6664629c3a63ca74d6e4819c,Auto-deploy snapshots from Travis CI to Sonatype.,2014-12-20 03:14:16-08:00,True
a3d2a698c21ca0af8250bf992c7f640982e67fab,Prepare version 6.1.0.,2015-01-29 22:19:24-08:00,True
ec778ad8cbb21b68828153c0a4dbfc6b39319ced,"Change verb from 'inject' to 'bind'.

* InjectView becomes FindView
* InjectViews becomes FindViews
* ButterKnife.inject() becomes ButterKnife.bind()
* ButterKnife.reset() becomes ButterKnife.unbind()
* Previously deprecated Nullable annotation is removed.",2015-03-14 20:06:02-04:00,False
0ffaf1f3a004bb5eafd39cd960524e5c4adc1dd4,Rename annotations to use 'Bind' verb.,2015-06-27 19:50:27-04:00,False
08964011a5132a43419603b500aeb3a350113db4,"Combine BindView and BindViews into a single annotation, Bind.",2015-06-27 22:00:11-04:00,False
712a0145c0b9970d2aa5c6e6ce9de8ee3488190a,Prepare version 7.0.0.,2015-06-27 22:13:30-04:00,True
