sha,message,date,result
49a69780f09fb8aa03219b1833fcbe111c68e0b4,Added README and corrected some fails,2019-03-24 15:26:39-04:00,False
eafd81b09646c8777bea4891d54a995e4455a156,Added functionality to detect Base64 encoded flags,2019-04-01 18:52:09-04:00,True
40c445eedcfd99fc1f459609456826efc9ddafb5,Corrected README for setup info...,2019-04-02 10:47:21-07:00,True
f590ffbaded591783620110a9dcc3eadc8940a43,Corrected setup instructions for dependencies.,2019-04-02 10:52:02-07:00,True
cba2eb0c788dcf721b9b762ea6a783d3655c4e81,Corrected README to include all units,2019-04-02 15:25:44-04:00,False
f28047afbde88a5948412c01b0c4144cb7865b75,Updated raw.strings to work with the new framework,2019-04-05 21:28:08-04:00,False
807f1b025e50ba761a049c8b6a1a2d5777ca472f,Corrected some README typos and added quick cookbooks for testing,2019-04-10 21:58:36-04:00,False
b5299e3f87583e6c710432cbbc7a31ce4436128f,Updated README to describe the use of a virtual environment,2019-04-11 23:51:52-04:00,True
044615e5fa42aa1b2dbdb408c583e46837d4d26b,Added single quotes around regex's in readme. The question marks make my shell choke...,2019-04-12 00:23:55-04:00,False
bc12a6b3b821e16caf787c3b365f7400ce119eb7,Brought esoteric.brainfuck to the new framework and increased threshold for hex detection,2019-04-12 01:04:06-04:00,False
8a52b5c8b5ec1f29e831e5c2540c825fee540db7,Brought pdf.pdfinfo to the new framework,2019-04-12 01:52:04-04:00,False
fd86b33c89cf43a028aecb1e7e022629de28029e,Added brainfuck back in,2019-04-13 17:11:14-04:00,False
ca4979d0f4c9e1fbc3a1eb3bb018892b82456b54,"Corrected zsteg and squashed a lot of other bugs, fixes #13",2019-04-13 19:17:02-04:00,False
ad1e0f69cbebbff8375ba37deaedf35a915b6751,Fixed readme to reference ./tests,2019-04-13 19:17:47-04:00,False
6a1241999751aadb78b8b347925bd4b98a07f36f,Fixed readme issues,2019-04-13 19:32:17-04:00,False
9b79d5fe6789db2ebe0263725ee673eae121ba26,Corrected zsteg to be more precise,2019-04-13 19:32:27-04:00,False
dd26fdaf74f4c5b1e597a6941539efc26665d49e,Added railfence and support for strict flag hunting,2019-04-14 00:26:01-04:00,False
db0b6c102d044620389c04759e5dcb82d435c5c2,Corrected README to better explain a fresh install of Python 3.7 and a venv,2019-04-23 09:53:13-07:00,True
da70d6f4af75e66b7e87ac277e555ee2b79e3da2,Corrected README for setup AGAIN and put crypto in the requirements,2019-04-23 09:59:27-07:00,True
72ed39dc71a820edd90050febad29061166c0fe2,Added primefac and factordb to requirements and removed unnecessary line in README,2019-04-23 10:26:10-07:00,True
cc0f812c365338f57ee341b43f5610e687656417,"Added tcpflow as a pcap unit, and created ""tests.sh"" to run through our tests",2019-04-23 19:50:37-04:00,False
d117533de5bbadcc3f950aacdcfe9274eaae727d,Brought web.robots to the new framework and fixed some oddities in Brainfuck and Pikalang/updated README to include primitive flag finding tests (because my test is still broken),2019-04-30 18:43:56-04:00,False
dcfe670e27e2988cd633ec1d2643593f5b9ff2e1,Brought web.git to the new framework and kept track of a target.response property for URLs (so we can optimize web.cookies),2019-04-30 19:05:39-04:00,False
bfeef5521ff405232058b3fdeeeff1c42d058a2b,Brought web.basic_sqli to the new framework. Cleaned up git. Corrected tests in README. Moved variables used by multiple web units in the higher WebUnit class,2019-04-30 19:18:46-04:00,False
0a2c93380b483374588d702dd5b19466caf8b417,Fixing more issues found by test after the target_class merge reorg,2019-04-30 21:03:49-04:00,False
1d22bfa15539c88f1bcbb91cab7b2f5c87a3cbcc,Fixed a mistake in the manual tests in README. Still having an issue with pdftotext in Basic SQL and steghide for some reason....,2019-04-30 21:05:37-04:00,False
984c0d8f7f656f4ed9d5a72c37982e2806601d1a,Corrected some dependencies for installation in the README,2019-05-02 04:42:22-07:00,True
9a60ac596047e7552a51ae829e69eb4060f2f31c,"Fixed a ground-breaking thing in katana.create_artifact (infinite while 1) that saved zip.crack, actually test if the OCR returned anything in stegsolve, and assured that tesseract would check for dependencies",2019-05-02 08:02:49-07:00,True
8e862014b2c71eacd0e1d3f13f04d3f46a3c3393,"Added base85 and ascii85 units, added dependency for pyperclib in README install, and corrected Target to not try and add empty images",2019-05-02 08:24:58-07:00,True
97b19af19e02b46cb32e237b426578691158a2cf,Included link to build Python 3.7 in README,2019-05-07 17:46:09-04:00,True
4447a07294ebaa8e0949883b7d89856c06319713,Patched ImageGUI a bit so it will show the error cleanly if it cannot read a file,2019-05-07 20:26:15-04:00,False
4f9dd9afe9d13cad98a9b15a42e74d4cb1fe363a,Corrected some no download things and added pretty colors to output,2019-05-07 21:49:57-04:00,False
11f0a6bee0b036de4f44ccbb7ffd306ace47874f,DON'T FORGET --exclude crypto WHEN TESTING THINGS ARRRRGHHH FUCK MEEE,2019-05-07 22:44:16-04:00,False
