sha,message,date,result
f8b423aabf3b1e4a9ba9e0d9d13435af5430a3f6,Initial commit,2019-11-24 09:12:27+01:00,True
972e2ddda4145efd840b35538a5e688f1b3e539c,new readme,2020-02-09 03:43:52-05:00,False
8f8dbbcdc15f2e92a2657e5a7a32e7ef49890447,readme,2020-02-13 17:00:42-05:00,True
691208323063fd09824e7457df54523fc95c0605,cleanup,2020-07-30 14:20:11+02:00,True
ca50654b6a923d97a44d37ec086a15d541556601,Deploy correctly okd4.5,2020-07-30 19:03:35+02:00,True
2e22fe609ea1db6f8f440c12a77b21ee1c1c83a7,Cleanup,2020-07-30 19:14:45+02:00,True
eea841f5f89dace4bd14798e9863521a9dc7c48d,Create docs,2020-08-09 20:22:32+02:00,False
15ea5a34687775ac89832a7f3cb439fd9364092c,Include badges in readme,2020-08-10 15:25:20+02:00,False
d176e6c912495df62f438ba69dcaefc1fd5f3561,Include html badges,2020-08-10 15:31:44+02:00,False
5f189c3fcbc7f79b3c5a1f1b505d98af90942dc1,REadme fix,2020-08-10 16:06:54+02:00,True
60aa3305271e689e6a241d927ce2adbd1875e6d2,Testing basic molecule coverage,2020-08-11 12:21:25+02:00,False
15a4a4196376be1f257f4437a6045dc411b64f12,minor fixes,2020-08-11 14:03:49+02:00,True
3da6ac69379aebfc7a410830120e41359914a028,Add kubevirt steps,2020-08-15 19:27:06+02:00,True
56531d46bda6e4594e8e02f47ca90657c5e91835,Allow Debian/Ubuntu hosts + Kubevirt,2020-08-19 09:16:45+02:00,True
444e89e9caa5b9b0487e7a0126cf06181481cf0b,add HowTo's to readme,2020-08-27 08:59:01+02:00,True
bba72d6c0356cfe9e9a0bd6512597d4ea3c33488,Replace ccamacho with Kubeinit where applicable.,2020-08-28 15:03:45-04:00,True
4b1e9fa5c7e7b95cdd89fb6c45f9be2b011c52e2,add tool to publish to Galaxy,2020-08-31 14:43:31+02:00,False
05a66be062a11ce42c35fa569e08a95a50826cf4,Update galaxy file,2020-08-31 22:11:37+02:00,False
