sha,message,date,result
d7f18b0dda195b6a5ac59a142a92ea5f6e637057,Added in a readme to the code repository.,2020-02-29 16:10:22-05:00,False
39904ff717aca26daf06d4d0af4af7fcf95c3216,renamed readme to a markdown file.,2020-02-29 16:11:49-05:00,False
89432f1c3bbd7ccbac9d3bfef18b79cf72a97e71,Updated our project README.,2020-04-02 12:28:26-04:00,True
4c040d95225cfad9801827dbe5385c603990c9a8,updated some of the readme instrucitons.,2020-04-05 14:19:18-04:00,True
8c2c2103c02631811dd943d076628a5c0be04836,Added in Affero license to the codebase.,2020-04-06 12:26:11-04:00,True
8d19b0c0420fb893a603c1e3f7d19663a71b75d4,Fixed imports across the kwola packages to use relative imports.,2020-04-06 13:12:40-04:00,False
a6724e1b964b2e06c03e2636e98beb70c34c3474,Improved the README dependencies installation section.,2020-04-06 13:42:55-04:00,True
c6f03747ca305a0ae074c84588771869726abb90,Added in a docker example to the README.,2020-04-06 13:47:48-04:00,False
60217cd477c33849e57f0caebf8b907ea91bbf00,Added in docker to the list of installation dependencies.,2020-04-06 13:56:47-04:00,True
b2cee4d9650531e71e5f8485dd9b5cff64e1c712,Updated the Kwola installation instructions to refer directly to installing the package from pip instead of using the git repository.,2020-04-06 18:17:14-04:00,True
1d792a888e7f796f77201170819b85f82a191e72,Cleaned up some of the console / terminal commands created by the package.,2020-04-06 18:29:45-04:00,False
9008304ed1b0bdf6856a0fae4a732eca6619c2f1,Added in FFmpeg into the list of dependencies in the installation instructions.,2020-04-06 20:17:24-04:00,True
3e766db5ce1baeb7070474df9c8fcbd662b1b2ac,Added a screenshot into the readme.,2020-04-06 21:06:52-04:00,False
52368a17461da9944cae9b1a379203f82f6a5d19,tweak readme.,2020-04-06 21:08:28-04:00,False
cb1351c6d13b5c1ba7a023d0bf42864c3193791c,fix install commands to have sudo prefixes.,2020-04-06 21:18:27-04:00,True
f0ee032ef29a2ba20ee9295924380a5054988b91,eliminated unneeded command.,2020-04-06 21:18:59-04:00,False
c27bc24350d4fa2de44d918fa6e729f4078ea358,Update README.md,2020-04-07 09:38:14-04:00,False
c8680431b9ad6db397279c3eae2c0208ce357127,Updated the README instructions to include instructions for installing a c compiler. Also changed the install instructions to use a python virtual environment so we don't get any package version conflicts.,2020-04-08 09:52:10-04:00,True
33ca3bc12f9fb2f334c043d2668709b9f4229e99,Added in the virtual environment to the kwola usage instructions.,2020-04-08 09:54:09-04:00,False
dcf6dc1b14252a966da26d93e38fa5248f790a66,Added in a missing line to the readme.,2020-04-08 10:28:26-04:00,True
453459997503be4b6739f773161799f1ab12a797,fix typo on readme.,2020-04-08 10:29:57-04:00,True
5e74498dabb926ce8ad5728c6b492fd3df9926e6,Changed the naming of the kwola folder from results to run.,2020-04-10 10:15:22-04:00,False
5a8b451205065cbd9687df5858df31f38782ce5a,Update README.md,2020-04-11 14:38:58-04:00,False
a6e8ffca850c6d2797a3eca3c576b9033aee9efa,Update README.md,2020-04-11 14:40:05-04:00,False
ab559c6848be9c60b2209210048bdb9254f0e7fa,Fixed the whitespace on the readme file.,2020-04-12 11:49:33-04:00,True
b24c809b2823e67b93ea24adadbeba03c702cf10,Improved the headline description in the readme.,2020-04-12 11:52:39-04:00,False
b1c938366162c4249fac116d848105ab89a00e33,Improved the headline description in the readme.,2020-04-12 11:54:05-04:00,False
7b08c9ead4975f7d855b26a28d63ef02fd878828,Update README.md,2020-04-13 13:51:17-04:00,True
af88c82fc01f257566694474c4c5fddd87d4e4d0,Update README.md,2020-04-13 14:06:27-04:00,True
078acc31ba960824da45fa86a1eba578110d690f,Update README.md,2020-04-13 14:14:08-04:00,True
