sha,message,date,result
302eb8aba6d36a32c323c33da6757d69b4818b27,add all source,2017-09-20 14:54:30-05:00,True
8921c7cefe9a7392f1a75bc710e3ce877c328bc3,Update README.md,2017-09-20 15:09:53-05:00,False
e051eea29044ff5c1fa80f61276012080fc912d2,update examples and readme,2017-09-20 13:52:35-07:00,True
0ed8adcd870c3c67cd55074ab3aa7e2c4bbda86d,Update README.md,2017-09-20 17:58:52-05:00,False
7907615917025a43cc80d1c1c1e7b8e18b8226a7,Update README.md,2017-09-20 22:57:55-05:00,True
426104c8faed841e95e86690dd5f0fb049dd6570,Update README.md,2017-09-22 14:20:33-04:00,True
eeccab6f0da37ec653b05165f06da5ed99185c4c,Update README.md,2017-09-22 14:21:08-04:00,True
eed0ee2b11a702bd43d3a33fb8f35c7af8567023,Update README.md,2017-09-22 14:24:35-04:00,True
5a0cd83dda21e39f683f7f85bfe3b581fff712d3,Update README.md,2017-09-29 17:32:20-04:00,True
6b3f9b763e3116dbdebf5bd82aeb160e5e5bc701,Update README.md,2017-10-02 16:12:51-04:00,True
0dbaaa6ca1325cf4fb88cc3a81bdc3b7cbaa7b36,Update README.md,2017-10-03 23:59:36-04:00,False
fa120f2b966d1edaf0e5d47ee6454074b1cefb35,update buzzard high-res,2017-10-03 21:14:20-07:00,False
d4a3153cb17865842470396b941696daeffd4e44,Update README.md,2017-10-04 16:02:31-04:00,False
3aa315f98e9f3c0761c65be169ce150f3da915a9,Update README.md,2017-10-04 16:54:54-04:00,True
e0afb6cf62f884294d5567c3b9e5f26355d44dc2,Update README.md,2017-11-02 22:36:26-04:00,False
f74020c8e129fa1d69638569e6b64cf91dc7f2cf,Update README.md,2017-11-03 12:46:42-04:00,False
eda1c826f8aba65c9c1b423577f853a26016eb5c,Update README.md,2017-11-07 14:14:29-05:00,False
ccf0d2d35004752841cea32fbefdafcad55f4982,Update README.md,2017-11-07 18:06:52-05:00,False
a9e890cdba849f176847b08f65e10ddacde6c32d,Update README.md,2017-11-10 18:07:33-05:00,True
9cdd40adba3f4309b4b3dcead33e3cff719947a7,Update README.md,2017-11-10 18:07:55-05:00,False
07ce42d6ad6bd5cbac86176841c28771e161dd88,Update README.md,2017-11-11 18:39:27-05:00,False
f7796eb21c5d7d1a594c0783730f9f25a44254a0,Update README.md,2017-11-11 18:40:43-05:00,False
d5d604b4de0d8dffa0ac069990e293bcb5c19eec,fix typo,2017-11-14 13:30:00-05:00,True
27abb8a240d4a658b21df25a0e80ccca05364c40,Update README.md,2017-11-14 18:39:52-05:00,True
44c7f76d672cbf8ba8ae0b3eb7944ae48d9b6569,Update README.md,2017-11-15 16:43:33-05:00,False
e622d46154c9ca8f793108cba53f1efea2077c60,Update README.md,2017-11-16 14:25:53-05:00,True
f30f8c23f072d015c2727773fab5affd99597de5,Update README.md,2017-11-20 19:19:04-05:00,False
133d312f97aad70588d7049c953e6608efecf0bf,Update README.md,2017-11-20 19:24:44-05:00,False
b2fcff462f452a29e5f9856ddc638bf161d664fe,Update README.md,2017-12-02 21:34:00-05:00,False
d084cf70597d1e6ae406a5915450ef71f85f68b1,update py env in readme,2017-12-08 10:59:44-06:00,True
b4163cd7b7b0c8a67ccf5c09d1c187d9420d8f77,Update README.md,2018-01-07 23:44:34-05:00,True
204c504bd785fc9127a01c3c5f9a24640b3e7583,Update README.md,2018-01-07 23:46:49-05:00,True
54598516703b3c9ab33c73478fd8d4a3628c03d1,update tutorials,2018-02-24 06:47:22-08:00,True
e7dceec7d9fa3813124193add249efed514aeb3a,update path in readme,2018-02-24 06:49:40-08:00,False
e66922b89da47323c647862728ebc3e67191c570,update readme,2018-03-20 00:32:15-07:00,False
b63928821d40a8bf694c9a6abcbe2f96415c3812,Update README.md,2018-03-27 14:21:03-04:00,False
548856dba6121cf84bb6568610521e6584c3b561,update python paths,2018-05-01 17:52:16-04:00,True
8d57a2f3aae85e54944360463f85bacce6606d7c,Update README.md,2018-05-26 14:10:52-07:00,True
c06fa7396aaf8d56b3808f6bde41d26aa3ce191e,Update README.md,2018-07-02 14:49:27-04:00,False
5b0098980191c27282abbe85b26ef06807d01dc7,Update README.md,2018-07-05 12:30:31-04:00,False
d980e6b35b31432634002f87f65c16211dbbf282,update readme,2018-07-09 10:37:44-04:00,False
b456372ba18fc91341b2c16bbe24ecd2d55b193b,minor fix,2018-07-09 10:39:57-04:00,True
f24f75d55924a9cddae62980236b3ff50d3ef464,add link to SCHEMA.md,2018-07-09 10:42:26-04:00,False
a70ce23ff14c06602fbe301bd4ff57b90f78ed9f,Update README.md,2018-07-09 16:58:24-04:00,False
e9ba2e42745f7d428cca5b324bea9c84143db9f4,fix typos,2018-07-10 10:00:15-04:00,True
9aa528045259aded2efa17cb878046d611e5561d,fix typo,2018-07-10 17:19:49-04:00,True
51eacd2e934b32c2805a586a84fa41d6436f1571,update readme,2018-07-17 19:20:07-04:00,False
cb11b15dae77d64ea1c84eaad3ea22073ca8fe36,update readme,2018-07-19 17:16:00-04:00,False
1b5a08c8bd45b76c9ae054b91731e0018643e764,Update README.md,2018-08-10 13:50:08-04:00,False
4e30016bec4ac897b8b32a2fac560ed52be90bba,update readme,2018-09-14 10:43:41-04:00,False
3f8a0dc97b8137481bcb218a1b007ae5226c9600,update readme,2018-11-19 16:37:44-05:00,False
3bad809640923ef86c8d3028279ac471e69efaef,address review,2018-11-19 16:50:29-05:00,False
a57a2360db9d6d12d7c45c7147a7822b415983bf,update readme,2018-11-21 11:21:33-05:00,False
950ea73d0ce044e793e4652d698021d28253ebfa,update readme,2018-11-27 11:46:20-05:00,False
c628b5769d2578329362dd72598bfcbc923f83fc,updated readme.md,2018-11-28 15:57:44-08:00,False
0e92756bd82f2ab68fbf8f7b6c1ed394e542ee70,"Apply suggestions from code review

Co-Authored-By: dkorytov <dkorytov@gmail.com>",2018-11-28 19:30:27-06:00,False
ddfbd65ed7e23ca1ff2cc2b762794f8c3cb12a39,update readme,2018-11-30 14:04:36-05:00,False
