sha,message,date,result
e223db1beea8b39177a6fcc97a4b93ec4473b95d,initial commit,2018-03-17 13:29:39+00:00,True
0d965953e4d368ed898ca2b587379396a3708cd0,add travis batch,2018-03-17 13:36:01+00:00,False
60b4cd1085be080d2a9348345729f7134a000504,update build instructions,2018-03-17 13:39:00+00:00,True
043ebea6acb15396916d364773a897181b8de576,extend roadmap,2018-03-17 13:47:12+00:00,False
44c18a5a5aeff5f6674afa6feeb67f00f3de9241,extend roadmap,2018-03-17 14:02:10+00:00,False
4edf173f953ce5014e276b4b65a28e9f50285ac4,document and fix rev subcommand,2018-03-17 21:39:40+00:00,False
11cbadf2c4dc6414e813cb0d431e4abd16e0a6a8,README.md: fix typo,2018-04-04 14:50:24+01:00,False
2275ef0e38f8ad0853cd2e1970befa398e8d55e9,mypy + github oauth token,2018-04-22 12:39:28+01:00,False
00d39b009fbf12827105cab09fd527a41ebaa335,"default.nix: add env attribute for development environments

fixes #3",2018-05-28 11:46:06+01:00,True
99f8aa8f2e27761dc15f65b1a265309a6a3cfa88,"add --eval option

Allows to not use ofborg's evaluation result.
Fixes #4.",2018-07-02 17:49:30+02:00,False
6f936b00b3a2c959df8bf5eded29a6df589253a0,README: rewrite eval description,2018-08-06 15:57:26+01:00,True
48631e83acb3442e7c6bc3807b895491514f79d1,allow to build pull request branch instead of nixpkgs merge,2018-08-07 00:54:10+01:00,False
09be9be77d39398aef5f6d55bfe2a675b6b61bf0,filter out failed packages in nix-shell,2018-08-08 11:51:07+01:00,False
904459c12876214c67e5b9ae553f5d74963556fe,filter out failed packages in nix-shell,2018-08-08 22:26:55+01:00,False
8e67ac1837eec0ff3777baeabe76b9c4f68493d6,hint to cachix,2018-08-30 13:40:59+01:00,False
3bd5bafa26ad4ec635ca1a142154d3b7c30040a8,parameter to only build selected packages,2018-10-27 17:16:07+01:00,True
709405fc10fabf24d4072321760114606f7e444c,README: extend features,2018-10-29 14:34:32+00:00,False
83e30014273c550d1435be7648e310b019919947,"move common flags to subcommands

This is more intuitive.",2018-10-31 10:08:53+00:00,True
3e408a118a0eaa18092b15e4aa740dbcf12c9fd2,support running tests,2018-11-23 14:45:32+00:00,True
17a61296e3b523b53eaa6ffac5c0fead78eecd9a,README.md: also mention nixos tests,2018-11-23 15:42:27+00:00,False
5c216c71bce5c0069e3f7ddc7f0eb4389189b2d6,add option to match packages by regex,2018-12-01 15:23:01+00:00,True
594f7e6a83236fe6d19a0356eebb80cc09dec806,update roadmap,2018-12-01 21:27:04+00:00,False
f49ece13add5ce6e67811fbce217e9d9f97db086,README.md: extend features,2018-12-01 21:29:31+00:00,False
