sha,message,date,result
609c5669482f4942102a144a2ab0154ccab6ada1,Create README.md,2017-06-29 20:59:52+02:00,FALSE
ba33708aad64b13ed03a7dd0b1bec4c0a36567c6,Added bpython package and package note in README.md.,2017-07-16 19:37:14+02:00,FALSE
cfd3b8324919f318cda1c70cba5c556201f6d9c5,Update README.md,2017-07-17 22:46:07+02:00,FALSE
cb6dcac35216f4a793e7f7dea13e4e97ae7c0ad5,Update README.md,2017-07-19 21:22:31+02:00,TRUE
5ccca25fc86b66374c37bcceb9ccd3333aa43d6d,Update README.md,2017-07-19 21:25:29+02:00,TRUE
89dd48acf42646c87946b61d4c26dead3cfb4a0a,Improve usage and documentation for database.py.,2017-07-19 22:43:42+02:00,TRUE
fbe6642c7bcc9d588011e32c322809d0ea041b77,Update README.md,2017-07-19 23:42:31+02:00,FALSE
206ede480698b8e4a367d00b03146d7247e747cc,Improve db stats reporting.,2017-07-26 22:23:06+02:00,TRUE
5c9b53bb83899abd676507800130ff9366b54eca,Update README.md,2017-07-26 22:29:08+02:00,TRUE
441ab2265b353c34705a90831f886d6419ae293a,Restructure readme and setup guides,2017-07-29 13:11:29+02:00,TRUE
3a8f978bdedb04f34996823fac6c2c6fd7c4bd45,Update README.md,2017-08-31 23:28:18+02:00,FALSE
c2e579148d5e33faf125d2359ee55e8bb4a6aa53,Fix link error in README.md,2017-08-31 23:42:08+02:00,FALSE
8be26a8ff66bf7c27f14277cfe159bd1cddaa117,Update README.md,2017-12-13 15:52:22+02:00,FALSE
bc28d192e4b7edf87a7936152f4d2adc572bab5c,docc: Update README.md,2019-02-08 22:09:12+02:00,FALSE
817bce3e95611dd28ad100c3b0777cbc9f6fdb43,docc: Update README.md,2019-02-08 22:14:00+02:00,FALSE
9a32665ec7c854eca52ed6d021ec0b99fba2f0d1,docs: Update README.md,2019-07-11 21:46:27+02:00,FALSE
94c6bc69f194288ac14df080a6b463ad9a9f4955,docs: Rename files,2019-07-11 21:46:38+02:00,FALSE
29685e09b10fe70a37d173df947d28b169f5ab00,docs: Update doc links,2019-07-24 21:23:57+02:00,FALSE
5cdbd1b2cf1bba64cd14b1fb35d9fcf740d48f90,docs: Move content to new docs/README.md file,2019-09-01 18:05:20+02:00,FALSE
d4a0798592171cac1280b9869b52f066a9da6341,docs: Add icon to README.md,2019-09-24 10:48:31+02:00,FALSE
a84e679affda4d3439720e4d5c66a573b1e979a6,docs: Add badges,2019-10-02 00:02:50+02:00,FALSE
c3dea03575ee18484e170b4f274a1c9d4c75e601,docs: Update README.md badge,2019-12-28 18:57:40+02:00,FALSE
897998efe96af3967a037ed114136d1aa403713f,docs: Update description,2019-12-29 09:44:30+02:00,FALSE
27e0cbcfc48c50de9a7516a247940577c53f0776,docs: Update description,2019-12-29 13:23:41+02:00,FALSE
68d41693865ad189c21f7de925fe2653e4695f34,docs: Update badges,2020-01-02 09:56:49+02:00,FALSE
987e0c671e56c7384ed546897f5679600f260c42,docs: Rename link,2020-01-02 10:20:51+02:00,FALSE
b18e8cdc51b40e382c4e3fea2e26969ac2a57534,docs: Update badge colors,2020-01-04 21:47:42+02:00,FALSE
dc1e5384b9031320b5f1c67554d2bbe103bf7211,docs: Update README.md,2020-01-05 22:29:21+02:00,FALSE
1ab82ce0e6b226e6b5dbd60cebef52fea4f043ac,Update README.md,2020-04-28 10:44:22+02:00,FALSE
240f6792e3a3f445d71e7e2d00ed08fdb6405dd5,Update README.md,2020-04-28 11:56:30+02:00,FALSE
c860ea935beee4fa73c2f9622b75210bc68986cc,Update README.md,2020-05-04 17:10:53+02:00,FALSE
b19cf1375b5cae0292716151eff8dc8239941931,Update README.md,2020-05-04 17:12:59+02:00,FALSE
8f501ea8a12fddcfafed051d666aeee4d8c28336,Update README.md,2020-05-04 17:13:51+02:00,FALSE
4f64b63cdcdf777b8a982c8026a9f87889c92176,docs: Add Snyk badge,2021-01-02 10:18:38+02:00,FALSE
7d42161af10a4c1453cd010aadae51d37395d194,docs: Update README.md badges and license,2021-01-02 10:27:51+02:00,FALSE
f8ac22a1ac519139b5eefdd14bded784d2a4940d,Update README.md,2021-01-02 10:28:13+02:00,FALSE
a0f93d12aabdfcb1b1243f6182bb23dd6290ee32,Update README.md,2021-01-02 10:28:47+02:00,FALSE
50d553602e3f099ccccdbbd719a100bb92b3f48e,Update README.md,2021-09-27 14:11:35+02:00,FALSE
0b6ee1b733848285bbb325650dfe2ae041d813f3,Update README.md,2021-09-27 14:11:49+02:00,FALSE
45f6e27b2056ef54baf8dd50c8b6bd9e257461e6,Update README.md,2021-09-27 14:15:42+02:00,FALSE
9629f848377e4346be833db70f11c593cc0d7b6c,Update README.md,2021-09-27 14:20:46+02:00,FALSE
