sha,message,date,result
5b6c85e46974785400e95a31ecb916333777c767,"init

hotfix: correct weights for kernel",2019-05-04 21:42:18-07:00,TRUE
68beab742db4dabb6a8b471e3c1b003edd125671,tests,2019-05-04 21:47:16-07:00,FALSE
99943486065ccc92a6346e4f4911a51b27be1c87,"Complex conv kernels (#25)

* informative errors

* hybrid

* test for conv_types

* test conv types

* README

minor fix",2019-05-04 22:07:57-07:00,FALSE
f6e8ecac7adad65c9656e8099246745f050cb819,network_metadata,2019-05-04 22:07:57-07:00,FALSE
5673cddb97ca27a2fa21520d6b8fb4591941ab08,"sparse nonzero avg unpooling (#26)

fixes for unpooling functions",2019-05-04 22:07:57-07:00,FALSE
9ce2c365fba38b93dcd1d2e08f324a1e9085ec6e,"Refact (#30)

* README

* WIP

* Compilation done

* ME

* Example fix

minor fix

better print

Refactor (#33)

* Sparse tensor (#31)

* sparse tensor support

* sparse ops, and minor changes

* WIP

* WIP: sparse convolution

* sparse convolution forward and backward done

* conv transpose

* update ops

* minor

* sparse pooling

* WIP: test pool

* pooling fw/bw done

* pooling, broadcast fw/bw

* test cleanup

* minor fix for broadcast sparsetensor init

* minor fixes

* error fixes

* broadcast fixed

* fix broadcast",2019-05-04 22:07:57-07:00,TRUE
f075f47a65e6c1700288e0e774c1ef7d5c884568,"example update

example update in README

README updatE",2019-05-04 22:07:57-07:00,TRUE
d18aa39ab1b11c56f20f0d2440d84089f0d63aa7,"Aten and pytorch 1.0 support (#34)

* Aten init

* build, import done

* coords manager

* WIP: in out map

* coords key into separate file

* convolution

* Convolution

* convolution

* WIP: Python rename

* coords key and manager test

* minor

* convolution cpu done

* WIP GPU conv start

* coords data reference types

* GPU conv

* Makefile compilation and GPU

* cleanup

* CPU/GPU convolution done

* conv transpose

* minor fix

* WIP: Pooling CPU/GPU

* pooling

* Global pooling

* unpooling

* minor

* thrust removed from convolution.cu

* pooling done

* Pooling transpose and broadcast rename

* broadcast

* minor functions

* fixed python setup

* aten example

* remove cffi

* README installation update",2019-05-04 22:07:57-07:00,TRUE
a88e2fc78c5781722af6bef6e20a32009df8567c,"dimension upto 7, cleanup

minor fix

hot fix",2019-05-04 22:07:57-07:00,TRUE
2b9caea1855e6136caee035baa25bf58d74d0338,Installation README update,2019-05-04 22:07:57-07:00,TRUE
0ed829027d45f42ad3b22bfa7e567a564f7de8cc,anaconda installation,2019-05-04 22:07:57-07:00,TRUE
d6e5c2a1339a8f6d420bea9c4171855dec5da655,Update ATLAS installation,2019-05-04 22:07:57-07:00,TRUE
6a9b5c58dda9a87ffb44ba3a96315eb5465ccf81,"conda installation with openblas, fix #39

README update",2019-05-04 22:07:57-07:00,TRUE
e5055c5f97e55f6742e061aada1f61c51fb52364,"more nonlinearities

Update README.md",2019-05-04 22:07:57-07:00,FALSE
e2f14fbdac5af7c9f0d62ae50700cf613d570e8a,"better print for num thread setup

update README",2019-05-04 22:07:57-07:00,FALSE
8250e5a785a8eea3e2e10c958cb2faeda41e6898,"setup for installation, readme update",2019-05-04 22:07:57-07:00,TRUE
da9d073a69c267d16cfb9cc75369f3698c9ec32d,"gradcheck reorganization

minor readme update",2019-05-04 22:07:57-07:00,TRUE
d1c34ac58c725054aed7a191346da3855912a999,"Doc (#64)

* curated lists of functions

* WIP: Convolution

* Convolutions",2019-05-04 22:07:57-07:00,TRUE
ae5ccfecd8268bcd2f1a4de754ce1586832d1881,"tensor_strides, removed adap_dilation",2019-05-04 22:07:57-07:00,FALSE
66d513777e06b831719a725ec6267fb60045ff42,"Docs (#70)

* broadcast

* WIP

* minor fixes

* version update

* pooling updates

* minor

* template init

* multi-gpu

* fork me",2019-05-04 22:07:57-07:00,TRUE
