sha,message,date,result
9d2654f5b9b4ebda719ff97d0a43a0b32739e2b4,init,2019-07-19 18:37:25+08:00,FALSE
300e39a1cd3103f720496ede72ad309edd26c07b,for paddle clone,2019-07-26 09:20:55+08:00,FALSE
3b8b9fc25b9d8eb98e7b49f24944d044ca9b939c,ci.yml,2019-07-26 18:50:10+08:00,FALSE
73fa5ef3922ddf69c0e434d44bea91ff93ab7ecb,"fork from paddlev1.4, branch:paddle_feed_news_201910",2019-11-11 13:46:23+08:00,FALSE
01f2dca635e0c375d7db5d952897360ee6964898,"fork from paddlev1.4, branch:paddle_feed_news_201910",2019-11-12 11:30:28+08:00,FALSE
110ef140a2173c1d44587867dc3efbf73ec275b0,depend on paddle with bcloud,2020-03-04 13:47:58+08:00,FALSE
d4e77a869c77a16486a00195a01a1b53448ba3e7,Initial commit,2020-04-28 10:47:48+08:00,FALSE
a66a717a6b8918fbb238fb52f303a65af908733b,add readme,2020-05-18 11:24:40+08:00,FALSE
473b742ca841e62f4c43629e02f8a0cb462f6304,update doc,2020-05-18 20:51:23+08:00,FALSE
0f8890071e89b7234e63aaeaca68502adf608dd6,update doc,2020-05-19 10:59:09+08:00,FALSE
7cd6838b41a5cfcba61e06bd6f9a5fbea30ba29f,fix,2020-05-19 11:03:04+08:00,FALSE
8d233794cd958fce47edf0ac729917b0f910fbfb,fix,2020-05-19 11:04:54+08:00,FALSE
8f5d00245f934380587558aeed52572fc6a62bfd,fix,2020-05-19 11:06:51+08:00,FALSE
01d8b294c7617329d918142924748cfe15d411c3,add readme,2020-05-19 18:01:26+08:00,FALSE
3b3ae9433baddbeb26ab09387ad24555268c78ec,update,2020-05-19 18:19:28+08:00,FALSE
6a1eadfd6476512c3de0e4f264227906ed44e328,add benchmark doc,2020-05-19 20:37:08+08:00,FALSE
44b8928d9976e1656350115c0c511d01e315eef7,add listwise,2020-05-20 15:08:08+08:00,FALSE
f49acc00f0009cbb5612ca0b6c2348f132b49c14,fix listwise model style and readme,2020-05-22 12:57:29+08:00,FALSE
bc456a6d88a23f7d3b32db5de2e4b2b88967962c,update doc,2020-06-02 00:22:02+08:00,FALSE
63d954c8dfba7d17a8e783a6fa434e7c7744db89,fix,2020-06-02 00:25:26+08:00,FALSE
78d3513f4a128c82b84619e366b298a8745e5cc8,fix reader,2020-06-02 17:23:40+08:00,FALSE
6a4e7e9a62d5933e2c719a8ef352f49afb127121,update doc,2020-06-05 16:12:16+08:00,FALSE
9e0ee4e7b8059ebd4b32ce165b2e06f71c63b3ea,fix,2020-06-05 16:18:45+08:00,FALSE
d99bd479f86323bbea64a10ce9f37697550c676d,fix,2020-06-05 16:21:38+08:00,FALSE
80db3d0c035f58ab88131ea69d1cfded4ac48223,fix,2020-06-05 16:22:21+08:00,FALSE
994bff25eecbdd8d9b68e907788cddf7e8c16bd6,fix,2020-06-05 16:23:43+08:00,FALSE
2a249bfd81b4a2be6468035d2364b4fdabc50bc1,fix,2020-06-05 16:25:07+08:00,FALSE
370d9e949665cb24599693fb0915e24e1dd5ce52,fix,2020-06-05 16:28:14+08:00,FALSE
3c4f8feb3f3dbef5239aad94581727b1405d3e01,fix,2020-06-05 16:49:17+08:00,FALSE
59dd15d16ec209c3a3097de896ad029e977abd96,fix,2020-06-05 18:54:38+08:00,FALSE
02cf012fc7cdada1adf0534216577e548da6ff4a,update models of rank in front page readme,2020-06-06 12:52:16+08:00,FALSE
707d622864685d4b68fd0fb90a11f3fd07982a55,update fasttest in readme,2020-06-08 18:18:13+08:00,FALSE
6503b23298dee8ec9303555c179029fe71fae958,"add aistudio link (#60)

Co-authored-by: tangwei12 <tangwei12@baidu.com>",2020-06-10 11:03:26+08:00,FALSE
99d931714fb461334bf01672ddcc150232a69ae1,update readme with rank models,2020-06-11 00:00:53+08:00,FALSE
e88672825a7a1e7a25f5b6db7cc3993075bdcb45,"update doc (#67)

Co-authored-by: tangwei12 <tangwei12@baidu.com>",2020-06-11 11:21:41+08:00,FALSE
5cd75923cb57037bf01b3ce616c540462168ee11,"update Readme table & yaml doc (#70)

* update table

* update

* update tdm origin

* update link

* update yaml

* update doc & tdm

* fix tdm multi gpu support",2020-06-12 14:12:23+08:00,FALSE
37dfcd3bb07b2e0eaa8eb6378c1672ea1da85368,"更新了模型的论文来源 (#81)

* add ref paper in readme

* add ref paper in readme

* add ref paper

* add ref paper

* update doc

* change title

Co-authored-by: wuzhihua02 <wuzhihua02@baidu.com>",2020-06-13 15:14:59+08:00,FALSE
ff9f311d00976c5cf391c5331c294748cb6b636c,test all models in gpu (#83),2020-06-13 18:57:10+08:00,FALSE
e0d38aeb8754af8e3564be97540495e7ec7ef8cb,update readme of rank models (#87),2020-06-15 14:12:06+08:00,FALSE
519a289bcf0b7b461f510c3d52057e3d4aaf9d59,update (#97),2020-06-17 12:45:55+08:00,FALSE
94e15d200db52421b4403389ca9fb1c4677d0d6f,fix readme,2020-06-17 17:37:15+08:00,FALSE
191b52aae1b42b15491a864d2abed3350dfff0d0,fix,2020-06-17 17:39:56+08:00,FALSE
06a33adce0c459f8e3d864e00034c65c3623aec2,fix,2020-06-17 17:41:42+08:00,FALSE
392f6641032f8e58f7b4ca4efb2c81f5729d6bb1,fix,2020-06-17 17:45:42+08:00,FALSE
13d3e178414867817440c1c36def7af3861efc4f,fix,2020-06-17 17:46:43+08:00,FALSE
3a0a30c2ed0728dbc8d166e0fb152174dadb1e48,fix,2020-06-17 17:48:19+08:00,FALSE
f4086897505e037568c3c592db9868e510e5ddc7,fix,2020-06-17 17:58:29+08:00,FALSE
a8e2f982a37dbe14c98d8e05b032ea7e48c87299,fix,2020-06-17 18:01:31+08:00,FALSE
1cd1666dc4392c5371329d38273f0e2af5cbcb0d,"fix readme (#105)

* fix readme",2020-06-17 18:24:54+08:00,FALSE
0ee3261ad83353c11a9bdf5fa5af7357cef29b1e,add version,2020-06-17 18:52:12+08:00,FALSE
59bf4b45e3299d58f5a77ccd72206e07051d0c1e,fix,2020-06-17 19:03:37+08:00,FALSE
e0a5fd366765415f2bf300e534bfc5fe24ad693d,fix Readme,2020-06-19 14:24:48+08:00,FALSE
62242d6fdf8384590053c459decbd610fdfa21a3,fix,2020-06-21 19:07:40+08:00,FALSE
a15f7df153d3e0d5d3f0b36e42c65478aa7eb7fa,fix bug,2020-06-22 21:27:36+08:00,FALSE
1416d8ee4f625b7c1902093e5e02c35be19bdcf0,update,2020-06-29 13:53:50+08:00,FALSE
96a10cf26afda150f37ddcc623c341bae1829a3a,change default readme,2020-06-30 15:13:11+08:00,FALSE
591b005e1bad6246a2bca253c4dc1174d210a726,"add dien in rank models (#118)

* add dien in rank models

* update readme",2020-06-30 22:25:23+08:00,FALSE
aa9441c040dfae4fca60f325ffd5b10bb78fa338,add rank AutoInt model,2020-07-04 00:01:42+08:00,FALSE
3339775f20ce352ef3c733b4f0165b2dd68adbff,edit README.md,2020-07-07 10:17:11+08:00,FALSE
907b2145a60b35f6ab0f10ea6dcf56eecbf6bac0,fix readme.md and config.yaml,2020-07-07 14:35:35+08:00,FALSE
b8e1786652f1c9f9755ef1d88982c649de47e663,"add rank model BST (#134)

* add rank model BST

* update readme",2020-07-09 11:51:39+08:00,FALSE
9b89d8f7675017d34d55e27944966fd05a6a7241,"add cluster train doc (#139)

* add cluster train doc

* fix",2020-07-10 16:16:50+08:00,FALSE
4550acc80ca77cda930814fd0bb20b8b1d2f4faa,change default Readme,2020-07-16 13:24:51+08:00,FALSE
6ad48d7d64bfc91e9f2095d6640874c525a18b7f,"add ralm related readme (#161)

Co-authored-by: tangwei12 <tangwei12@baidu.com>",2020-08-03 10:19:50+08:00,FALSE
efeb9f96b100b3b05e5f6b46d3ecea9282c2aa50,"Fix/setup (#166)

* fix error ASCII

* fix doc error, delete custer reader md

* fix setup.py

* fix install/readme

* fix listwise

* fix travis

* fix readme

Co-authored-by: seiriosPlus <tangwei12@baidu.com>",2020-08-13 13:10:03+08:00,FALSE
d4a280b56a03176c881fb000385a9c0678234f01,"Support fine tuning trainer (#177)

* add fine tuning trainer

* add doc

* fix

Co-authored-by: seiriosPlus <tangwei12@baidu.com>
Co-authored-by: wuzhihua <35824027+fuyinno4@users.noreply.github.com>",2020-08-17 20:54:44+08:00,FALSE
a2172de899feb437ff6a9489ed72a218d04c42ee,fix,2020-10-27 12:01:52+08:00,FALSE
2e7a8998d644116444dc64210a72ccab2e625f07,fix 1.8.5 setup,2020-10-28 15:52:04+08:00,FALSE
3b852e9710171fab90dff4b17cbbc5affbc3e9bf,fix 1.8.5 setup,2020-10-28 16:21:03+08:00,FALSE
2362c5282a8a43d68f66b489fe8024ff7fa4d961,add readme_sum in readme,2020-10-29 06:59:27+00:00,FALSE
13aab32199bec967d04cd1771ba940001dfd9ef2,fix readme,2020-12-22 12:36:03+00:00,FALSE
d525fba1d084c9a8a9d72b01d31c5453f72964a4,fix readme,2020-12-22 12:40:40+00:00,FALSE
3ac94046d46f1e1a62e78c1047807a19e86bd89c,fix,2021-01-24 11:36:21+00:00,FALSE
95a9e096acf6963dc28a5945e24e3dedcc379924,fix,2021-01-24 11:44:28+00:00,FALSE
24a509cc178ecaa1551ccf6fe8d31bcbb6abece3,fix readme,2021-01-27 07:16:55+00:00,FALSE
8a072819926b60bb47fac8f732e03b53ed4c2d68,README.md,2021-01-27 07:27:36+00:00,FALSE
49381692305254c0ef76799dc8b8d652b5e7b092,README.md,2021-01-27 07:38:48+00:00,FALSE
a4456c47c5373d5725f69f6bd706d874536700df,fux,2021-01-27 07:47:04+00:00,FALSE
5292ffd5bc272a6c572ea8e7a5c307abcea7a9ba,fix readme,2021-01-27 12:18:33+00:00,FALSE
f9fa2b95054bc12e6f4958a75dfc67322f1217e1,fix link wrong,2021-02-01 09:38:45+00:00,FALSE
a677fb572d974ce55fdd0917eebc46354fc0f286,english doc,2021-02-02 07:04:00+00:00,FALSE
29633dcf6bd4fa2695adf462bb24a73354faeb92,fix_homepage_readme,2021-04-06 09:46:30+00:00,FALSE
06505df80ceebceb4010d2a18595818e6b31fabc,REC,2021-04-06 11:35:10+00:00,FALSE
e114ad87d82dc667a525d52c2bd48039972b1521,add MIND model in homepage,2021-04-16 04:09:03+00:00,FALSE
9990d10e3c5c615b086d0f552f83ba24d98a5fe7,add share-bottom,2021-05-06 06:33:54+00:00,FALSE
