sha,message,date,result
a88cab8a7731c15a086e077d37d0fb25f0b1b9aa,update READEME,2020-11-30 00:53:39+11:00,False
f0d2c064605a7881e62ac30f327048c66c4cf82c,update READEME,2020-11-30 00:55:20+11:00,False
891cb953871b4fadc94b200ed45bfeb6a0ae725e,Update README.md,2020-11-30 13:31:15+11:00,False
a0828571d99477d2a3cdec80da6ff3ae73b8f63a,save work,2021-05-06 22:26:52+10:00,False
481785e89a0141cf615bc8a23cc1061833ce4c71,Update README.md,2021-05-14 12:45:23+10:00,False
eb5c220177c00b14fc784dfb88b0215dd646b7b9,Update README.md,2021-05-14 15:14:35+10:00,False
bc24c70b931ade431f8d26c281d3e5cd436226da,fix typos,2021-05-14 19:23:12+10:00,False
e6361190e57240aa2640e0613bf15d76475ac81e,SSA,2021-05-17 17:21:54+10:00,False
0fe39e5914050d99961583e5083e5206789c688e,Update README.md,2021-05-20 21:07:23+10:00,False
d9375b5912883ac5fff2d20da27b22c096557c75,Update README.md,2021-05-22 15:32:35+10:00,False
4ca59d154cc7287a997a550af64ea92ef295b39c,Update README.md,2021-05-22 15:47:17+10:00,False
c4571c5b904273fc0ebf49d2e4abb4c5e0c96eed,Update README.md,2021-05-22 15:48:08+10:00,False
a32eaf9ca9b93409aead7c45e31e98b39f21f027,Update README.md,2021-06-01 10:17:37+10:00,False
6a8be061c1d666c00358dcb584065b07b4325fa4,save readme,2021-06-01 18:57:07+10:00,False
b0d71dc6c346fae4912f0f9e698514d4e3f190d8,Update README.md,2021-06-02 16:03:59+10:00,False
522b2f2cb3105721e32c61b08a4535e8d390811f,Update README.md,2021-06-02 16:09:54+10:00,False
aff13af67bcb624a8bbbd2a711270311486d4569,Update README.md,2021-06-08 17:47:53+10:00,False
f10f386566634038c9b52a8a2dedc4ed59465e8e,Update README.md,2021-06-15 13:50:23+10:00,False
a0b0c493f4cdf7fb35310a02cd20eb6b14c1ef38,Update README.md,2021-06-15 19:31:50+10:00,False
71e70986cb252963d64bdb33a495a9c4d1b88664,Update README.md,2021-07-19 16:19:07+10:00,False
0de538acced0aee9551bfd2fda584dec785da901,Update README.md,2021-07-19 19:40:43+10:00,False
bd10c4288d1828ec42bfc81d13f52c41b8d183da,Update README.md,2021-07-29 20:30:04+10:00,False
44894335c1e75eb44eb8802b04e063b2ca3ee3e0,Update README.md,2021-08-15 17:49:25+10:00,False
ee9d01094affc63bec760d3cf5b60c50f9f6dc03,Update README.md,2021-10-17 20:13:19+11:00,False
5d667e7857a9d0e49f89afbf8f8fc62e723b0c63,Update README.md,2021-10-24 21:58:58+11:00,False
8e02989e25bf1e4b89c2da86a4f1503919c8c169,Update README.md,2021-10-24 22:02:27+11:00,False
750a99398149cec56163c2a8f6ff409803b2c343,Update README.md,2021-10-24 23:36:47+11:00,False
9ad6ed1a1a237ee23b89ac0cc15671d336155370,update Readme,2021-11-29 21:02:36+11:00,True
24b4eedaddb29965e048b8bbfae95d1e34b5c6f0,update user guide,2021-11-30 00:02:37+11:00,False
bb4aca7378e473654de05e25d6ba7d2f50c7a5c6,Update README.md,2021-11-30 16:40:56+11:00,True
b003c1769ee1ef4ed4ae03d07d5e9b9d75599773,Update README.md,2021-11-30 16:45:37+11:00,False
19ebd9a63160ddba703896d3846192ecdbbb1ced,fix image display issue,2021-11-30 20:30:12+11:00,False
2161b05f3dfe485ef30591b4e02cb1696fa424bd,fix the missing link in README,2021-12-04 10:06:49+11:00,False
a47fc1ac4e84db7f4e1bbadbb21aa3761a77f542,Update README.md,2022-01-12 15:22:24+11:00,False
8092e69356e06392506d07cc42b4cbe79a59dcc3,Update README.md,2022-01-15 17:53:24+11:00,False
e4083b149728112ca98a29208e83323071a19b8e,Update README.md,2022-01-15 17:54:17+11:00,False
d4077747efbb1a57f38db3b9b01f05ebbc1a4829,Update README.md,2022-01-21 13:51:09+11:00,False
a04c3e360a36fd89d58b509066df3403bbc04216,Update README.md,2022-01-21 13:51:33+11:00,False
547d1e680fedd6955d391024ab96cf789d18d4ff,Update README.md,2022-03-01 10:31:37+11:00,False
382f50dad7b565424349f4757387835537cd8f66,Update README.md,2022-03-01 10:32:11+11:00,False
d0df274dea179d022fe5305ce2c130a9d2c22ee1,Update README.md,2022-05-15 19:49:15+10:00,False
ac25fb383c455b5c36d70925c3d68a624a12da35,update installation instruction in README,2022-05-29 17:09:43+10:00,False
4d42cbaedd7f628a491e1eb06a14f8828c14b55e,Update README.md,2022-07-18 21:27:15+10:00,False
0b714eabd46c6412f578b1d8eb2539ea5898855d,Update README.md,2022-07-18 21:33:40+10:00,False
f16c9a2dc1235e25d1e786cac4e8b5ed5f988caf,Update README.md,2022-07-18 21:35:20+10:00,False
f2e90ccfde977b0f309c12d8fd56901b00b57b52,Move everything into the cleaned docs/ folder.,2022-08-19 15:49:59-04:00,False
c9ea9052f0ebf38da17bd8885377a8ed1eca09d8,Update README.md,2022-08-20 13:34:21+10:00,False
