sha,message,date,result
3a5c1fb3a5b53c5ecd219d77f04ee6a1278cf155,add README,2016-12-13 15:31:24-08:00,FALSE
99afc924a720799c12175a501d70e6b7f1249b8a,Initialize the repository with some of the ase-mlga code.,2016-12-13 16:41:44-08:00,TRUE
569b98ce73628c01edc298b9b3c45f544181b31d,Added some more descriptive text to the repository.,2016-12-18 11:07:14-08:00,TRUE
740c0de6ba6a102ed0a7bff8a7043d71acaf20c6,Better markdown formatting.,2016-12-18 18:23:00-08:00,TRUE
0ac9935cb94b9eb8dd5177adef5f1ef8b860367d,Add build status.,2017-01-09 02:25:07+00:00,TRUE
b0bbd6fce2dcc4343e7680203486f7753f023fc1,Some changes to the way things are handled.,2017-02-03 13:53:34-08:00,TRUE
d839bbbe4e41872b2dc13be93409290c37700ae1,Update README.md,2017-04-18 16:51:12+00:00,TRUE
28caebbd6e4946d184dc26ae27b50a699fd1f715,Clean up the README language a little.,2017-05-09 22:46:41-07:00,FALSE
01bf3e9d634fdb19372756a1e7f7403aa178d667,Update the readme to give breakdown of the code and functions.,2017-05-16 16:01:36-07:00,TRUE
b28ab6b632f9db410c04f169d5b394d5125cb255,Clean up the readme to reflect recent changes.,2017-05-16 17:52:58-07:00,FALSE
f64afb021f0f7605bbbfa7825e790e200b6a3955,Update readme again.,2017-05-16 18:38:48-07:00,FALSE
3d76992e9ebc62ef0cae0c075354d33f841850dd,Better ordering of README.,2017-05-16 21:14:32-07:00,TRUE
3f2377d57e0aa9ff05d07e6779d77f794b940af0,Rename feature_select to feature_elimination.,2017-05-19 14:16:40-07:00,FALSE
f821120f37eac4fb745242ceeb0b610a09cc2a7b,Update readme slightly.,2017-06-06 22:25:17-07:00,FALSE
edade57a235dcb94e345a7e244e95525b6dedbfd,Simplify readme a little.,2017-07-25 22:03:08-07:00,TRUE
6ebfec6cca3b04549ed1a393767e78f6b02be951,Update readme.,2017-08-30 11:35:33-07:00,TRUE
24c654866119dfe50daec3e522533699b519dd3f,Add some more documentation.,2017-11-03 11:30:48-07:00,FALSE
0ca99a271c1abab57eabe3f855c8e2b7973162b5,Make readme a bit more useful.,2017-11-06 12:16:22-08:00,TRUE
b059f292db358674bdc4c067fdd081f24c9bb38e,Add badge to shame us into better coverage. Will be unknown until merge into master though.,2017-11-06 15:15:18-08:00,FALSE
