sha,message,date,result
15b84abb699c0607744544146a2352496b84fca0,First version of README.mf,2012-06-29 13:36:18+02:00,False
5bd7c5f04234e2d30e91ff74ac7d9726fc4eec3f,.,2012-06-29 13:41:45+02:00,False
f9a2046964aec7d0ea1c0c8415a86c3b018da28d,.,2012-06-29 13:43:12+02:00,False
28b917c417c734dfcd766b20b7d5560cf374fc2f,.,2012-06-29 13:43:46+02:00,False
ccdc2ff6eb12379c3ded7e028f6510150c01f582,.,2012-06-29 13:44:53+02:00,False
95b4c7eb84c65a4ebc463947ddeb61e550ca03e6,.,2012-06-29 13:46:31+02:00,False
f9ee134819bb2332391d60cbb0e8b6cf6f83ebe7,.,2012-06-29 13:47:17+02:00,False
b14340bba1bc710e8dcdfc4f7332ae7e048b60b6,.,2012-06-29 13:49:47+02:00,False
acf25ecf3ade9bbba36d83839c47c1bb3b30b587,.,2012-06-29 13:50:36+02:00,False
d9121574b3c5308adf03dc28b88aee68611a0a24,Updated roadmap.,2012-07-25 10:38:08+02:00,False
2eb8cd46077ff3c5579bcbcd40c45e3bd90543ef,added some links to readme,2012-08-06 11:47:05+02:00,False
bba1d423a01a01e7f3a9679aa191ddcc838083b7,"Added css3 selectors conforming to w3c specification and test cases. The
selectors are not entirely done yet:
* namespaces are not handled yet.

Anything that does not contain namespaces is expected to work correctly.

Two types of w3c tests are skipped:
* those with namespaces,
* those that crashes less.js.

W3c specification: http://www.w3.org/TR/css3-selectors/
W3c test cases: http://www.w3.org/Style/CSS/Test/CSS3/Selectors/current/",2012-08-12 12:12:25+02:00,False
733e8f3a4daf53821045d2fe30111cf9ba1859e2,Linked comments handling documentation in readme.,2012-09-01 11:54:37+02:00,False
eb4b5b851b812e2e2d6864499fe15bf869941ef5,Fixing link in readme.,2012-09-01 11:59:05+02:00,False
b2be2abd8dc163643c1b7a9dbfe7a99485728a47,Updated progress in readme.,2012-09-01 12:00:12+02:00,False
f9ced150886471c826526171d1e46b9e4e2e60ac,Playing around links in readme.,2012-09-05 11:24:47+02:00,False
1cb18367c364c3871f30b85f7146ada5f629f3ff,Added new test case for variables.,2012-09-07 12:08:37+02:00,False
7bb9874c384fb7e7e10af3787b9a7afdf007474e,"Less language supports four arithmetical operations plus '+', minus '-',
multiplication '*', division '/' and parentheses '(' ')'. Operations are
evaluated in usual order:

* parentheses are evaluated first,
* multiplication/division takes precedence over addition and subtraction,
* non commutative operations are evaluated from left to right.

Only operations on numbers are supported. Operations on strings,
identifiers or anything else are not.

On Units:
Numbers in CSS can have specified units: ""21px 14cm 4.56%'. Less does not
convert between different units, it takes numbers as they are. The result
of mathematical operation is assigned leftmost explicitly stated unit
type.

Empty Separator vs Whitespaces in Expressions:
Less4j follows current less.js behavior. More on the topic is on wiki
https://github.com/SomMeri/less4j/wiki/Supported-Less-Language .

Expression are Occasionally Ignored:
Expressions are not evaluated inside font declarations and
xxxxx-aspect-ratio media features. It is because those things allow ratio
""number/number"" as a valid parameter and expression evaluation would make
them impossible to use.",2012-09-15 21:04:13+02:00,False
aaa74c3bdcf61003682ba9257b6d9a3f8227e6dc,Updated readme with travis status.,2012-09-24 09:45:47+02:00,False
d93b7ffe79bf7815439c0e0cd76e59e590128695,[ci skip] Documenting: added description to pom.xml and updated readme.,2012-09-29 17:23:25+02:00,False
806ee47ea1c6108826dec08ce8d5d327a45eb6c7,[ci skip] Still working on readme.,2012-09-29 17:28:45+02:00,False
39f1607ffb75adf6091bc2e2504c41f02fe44b5a,[ci skip] readme,2012-09-29 17:32:32+02:00,False
e0b204930feb811579add8a6e573d3f1a86c3b52,"Update README.md

[ci skip] typo",2012-09-29 18:40:12+03:00,False
e9a6f54f65f347e3b48b656ffbec083babb1ce07,[ci skip] readme,2012-09-29 17:41:15+02:00,False
025e01f3978c3d27e30d15a7913bc05445ea83fa,[ci skip] readme,2012-09-29 17:54:12+02:00,False
aebc19bc73d78b927fd42d27f54cee84ec247715,[ci skip] readme,2012-09-29 17:55:05+02:00,False
b5c85948cff11201037a44dfeeb805f5dbd08c34,Renaming CssPrinter to defaultLessCompiler,2012-09-29 18:24:50+02:00,False
cc02b6112959ce023e3eecc9e4bc2e81b91b591e,"[ci skip] readme, documenting api unfinished",2012-09-29 18:40:10+02:00,False
03906796e7b8bc5c0cb07126db90b3740d09f89a,[ci skip] readme,2012-09-29 18:41:32+02:00,False
d973ed0809ac2ea3d6565d837ea70c03b5662f45,[ci skip] readme,2012-09-29 18:43:52+02:00,False
fc4916109db3a8fcfb05d64a5552311ff1181bbf,[ci skip] readme,2012-09-29 18:49:49+02:00,False
569c3d66d30c156cc8f5ec983cfac2b20b36b525,[ci skip] readme,2012-09-29 18:58:53+02:00,False
020d83eba622dbd92186431855c21ea8c6ecd3ec,[ci skip] meaningless,2012-10-01 14:25:30+02:00,False
1416e5cbff7021f5c979e9f3043a78632cf554de,Updated README.MD with maven dependency.,2012-10-03 09:03:30+02:00,True
5ec02807e4c8715ae5393d2094d0f882f6084e6e,removed < and > from dependency,2012-10-03 09:05:17+02:00,False
e0c9ba5ca7820bc9a28578c52319af6b56afab7e,"First draft of mixins including unit tests. It forced me to implement also
lazy loading of variables and last declaration win strategy for them.

What is done:
* pure mixins with or without parameters - they must have () (`.mixin() {declaration: value; }`).

What is NOT yet done:
* rulesets that doubles as mixins - this is not treated as mixin `.notMixin { declaration: value; }`,
* guarded mixins,
* error/warning on faulty default values,
* patterns matching.",2012-10-08 16:22:14+02:00,False
111d20789811b95f1b903b69a8ca03948035649e,changed maven version in readme [ci skip],2012-10-16 14:31:12+02:00,False
