sha,message,date,result
71cf18b012857b2cbbc52ff66f63db83689b6bfc,Initial commit,2022-08-22 17:05:27+03:00,FALSE
3324f31e8463434796028c7bee6e695ef95c0681,first,2022-08-22 17:15:46+03:00,TRUE
60e95f1d8c4e7296803389a46f542bd6e0a02770,"silence the warning from transformers
add feature demonstrations to readme",2022-08-23 11:58:50+03:00,TRUE
61bfa6c16b651b9c72fbe01f2a0899ff4ba1f027,"additional picture for prompt matrix
proper seeds for img2img
a bit of refactoring",2022-08-23 14:07:37+03:00,FALSE
cb118c4036176c3d534fc408fed1a95332a85f26,Prompt matrix now draws text like in demo.,2022-08-23 18:04:13+03:00,FALSE
e996f3c1189c774481458cba100dc308a98dd805,readme extra,2022-08-23 22:49:58+03:00,FALSE
1463d44faf070d68f5b33527666b67bf0a94fd09,"added resizing modes
added more info into readme",2022-08-24 10:52:41+03:00,FALSE
ca0d7981a058158175166afe20e3a60bb081a964,typos,2022-08-24 10:59:47+03:00,FALSE
852baf422ad86e406e0fa999c2f340bfd6a272d2,"gfpgan dir for the guide's directory names
fix a bug in image resizing",2022-08-24 13:42:21+03:00,FALSE
34e9795505519dc9b39010311e7f4da9bb0fa954,readme for loopback,2022-08-24 16:43:05+03:00,FALSE
47d79b2ac90c4548c880090653ef4548c7703229,"Revert ""Merge branch 'master' into master""

This reverts commit 15a700bbe580c05079e742bbaa2612da82de15e6, reversing
changes made to abb83239e5d708adf72fa457c3de81603e7281d3.",2022-08-24 15:11:12+01:00,FALSE
3401e1944d263aeee104c653f77bb56cc143eb61,Better crash display,2022-08-25 01:54:41+10:00,FALSE
121dea60e9021479ddf947229040f1cddc13ff55,Update README.md,2022-08-25 19:59:49+01:00,FALSE
6f0d73baf1a644894158308abc7a40e3c99e6801,Update README.md,2022-08-25 20:02:04+01:00,FALSE
09282f6a3199f8308af72e12688c48e08cc4ec96,Update README.md,2022-08-26 02:55:06+01:00,FALSE
ab2770ef123ca3c4cd2f9dddff0885bf0006b2f8,Update README.md,2022-08-26 05:20:00+01:00,TRUE
585d81e1ab399f048ce0307bef21b9ee115fa0cb,Update README to reflect RealESRGAN support,2022-08-26 03:00:37-07:00,FALSE
164b318fb4b6012e5a36676ed9a07fd7c8aa63cb,"Update copy-paste generation parameters to reflect RealESRGAN usage
Fix minor error in README",2022-08-26 03:02:04-07:00,FALSE
dcc5431e5e559bea2acf497440ac2544b1497f97,Update README.md,2022-08-26 14:50:40+01:00,FALSE
3ed1c6be34d78e976a62ddf7ffc1e1750decb15c,Update README.md,2022-08-26 21:58:43+01:00,FALSE
9e42c836cd57dc09f5a26cca54536ff95c2bce49,Update README.md,2022-08-26 23:31:04+01:00,TRUE
c47d62857f7a1c42e0b2883d8bd53a093b454c0b,Update README.md,2022-08-26 23:31:45+01:00,FALSE
31335f8ec3a5f157737f4f9a2f33c51f4549b22e,Update README.md,2022-08-26 23:32:56+01:00,FALSE
9ef82a0ac7874731a2ae7b6acd2200a6caee55cf,Update README.md,2022-08-27 00:54:28+01:00,FALSE
474f1465274ef71822e8a543460707929f63224a,Update README.md,2022-08-27 02:10:04+01:00,FALSE
8c1ea1311aaa1a7db60e418610dd1eb43e99fba6,Update README.md,2022-08-27 02:22:07+01:00,FALSE
3e9998a699e31ffad1e4d56c7a80936291c3ad21,Update README.md,2022-08-27 03:40:26+01:00,FALSE
ddf8fb16931a65739d53fb9c4f3ad8fd89643bc2,Update README.md,2022-08-27 18:28:24+01:00,FALSE
8491abbce384a8cb521aebf0a096fdcfebd62cef,Update README.md,2022-08-28 00:05:31+01:00,FALSE
fe4aa57d44d8f773ed623d4ad7a86bfefe4ffabe,Update README.md,2022-08-28 05:56:15+01:00,FALSE
33890563d237889aca7cbc4f04ae42b885aee07e,Update README.md,2022-08-28 06:00:14+01:00,FALSE
5765d729af485b08d0945a0222ddc59f9517c9ea,"Grid image generation fixes (#180)

* Add simple templating

* Little grid generation image fix

* Add new grid help to readme

* Grid image generation fixes

* Trim @ symbol if no matrix inputs

* Resolve conflicts",2022-08-28 15:23:21+01:00,FALSE
db175c931ad90e4a1ab0614fe2c3a0e2f8c8c374,Update README.md,2022-08-28 17:05:34+01:00,TRUE
7c6e04b9a8baf63a0de68befbfda0af88a3e4392,Update README.md,2022-08-28 17:06:02+01:00,TRUE
1afcbe9fa051c5e4e4849f3eb041354ae70eefa0,Update README.md,2022-08-28 17:24:01+01:00,FALSE
fbd48785516dff12402d02e8577d578b966a4199,Update README.md,2022-08-28 20:29:31+01:00,FALSE
90d49a0c4a96ba48271265bb4a9a9c476219b080,Update README.md,2022-08-29 00:57:44+01:00,FALSE
083ffd9ad83d196100fd4b8edfa82c9378546327,Update README.md,2022-08-29 00:59:36+01:00,FALSE
2974abae30394aeba6746f9ac11ef7e967fec476,Update README.md,2022-08-29 12:28:31+01:00,FALSE
253b0e5a5ce3a6e83453a3bbbd82518913c445fe,Update README.md,2022-08-30 11:43:24+01:00,FALSE
72f1c2960172622ca73b3a87fc0e7a9d967ddf85,Update README.md,2022-09-01 12:13:26+01:00,FALSE
03998f0dfb02528444feaa91b44dad4e801489ea,"Fix readme doc typo (#502)

Co-authored-by: hlky <106811348+hlky@users.noreply.github.com>",2022-09-03 08:35:55+01:00,FALSE
b0c1ac9f7b3d28a1b9363cec644a3616debe1359,"Add helper script for local development to replicate the github sync action. Also updated README for basic usage instructions / local development tips. (#549)

Co-authored-by: hlky <106811348+hlky@users.noreply.github.com>",2022-09-03 08:41:08+01:00,FALSE
de95a09593c64f108cb153b2bb9e6028fae051fc,"[Various Changes] GoBig fixes, model loading unloading and more (#553)

* added image lab

* first release

model loading/unloading and save procedure added, commented out unused code from frontend

* bug fixes

Changed the image output to a gallery to display multiple items

Fixed results not showing up in output

Fixed RealESRGAN 2x mode not working and hard coded the default value for the reload.

* added GoBig model check

* added LDSR load check

* removed global statements, added model loader/unloader function

* fixed optimized mode

* update

* update

Added send to lab button
Added a print out if latent-diffusion folder isn't found

* brought back the fix faces and upscale in generation tab

* uncommenting img lab flag

* added LDSR instructions

* default imgProcessorTask set to false

* exposed LDSR settings to lab

users need to reclone the LDSR repo to use them.

* Update frontend.py

moving some stuff around to make them more coherent

* restored upscale and fix faces to img2img

* added notice section

* fixed gfpgan/upscaled pictures not showing in 2img interfaces

* send to lab button now sends info as well

* uncommented dimension info update

* added increment buttons to sampler for that k_euler_a action

* image lab settings toggle on and off with selection

* removed wip settings panel

* better model loading handling and removed increment buttons

* explaining

* disabled SD unloading in image lab upscaling with realesgan and face fix

* fixed a conflict with image lab

Co-authored-by: dr3amer <91037083+dr3am37@users.noreply.github.com>
Co-authored-by: hlky <106811348+hlky@users.noreply.github.com>",2022-09-03 09:07:17+01:00,FALSE
010b27ce9af3ee22758a0cf2650383525cb44a7b,"Repo merge (#712)

* repo-merge

* cutdown size

* Create setup.py

* webui.cmd

* ldm

* Update environment.yaml

* Update environment.yaml",2022-09-06 23:50:14+01:00,TRUE
58c92228cdd3c52dd7b5379c72714525ce1ca0f1,Update README.md,2022-09-07 00:11:56+01:00,TRUE
f28255466b9ac758ed8f39a4bd47b0d1d8f9eba7,"#715 #699 #698 #663 #625 #617 #611 #604 (#716)

* Update README.md

* Add sampler name to metadata (#695)

Co-authored-by: EliEron <example@example.com>

* old-dev-merge

Co-authored-by: EliEron <subanimehd@gmail.com>
Co-authored-by: EliEron <example@example.com>",2022-09-07 00:43:51+01:00,TRUE
9853da3682393ff7ab4999a56ea6775221f6f7dc,"Update Readme links to sd-webui when appropriate (#781)

* Update link to sd-webui when appropriate

* added LDSR instruction per devilismyfriend guide",2022-09-07 21:33:07+03:00,TRUE
