sha,message,date,result
239fc1b7676179fc675ca366b0235f73cbbe7b84,Initial commit,2019-07-25 09:43:15+02:00,TRUE
4b4af5f90113cd829e33ceb5201cfb598d6612fa,Performance update,2019-07-25 16:47:09+02:00,FALSE
f13b95c6fec37a04e2ae0987dc8f9eb15fc3c4f5,Update scores,2019-07-26 10:20:18+02:00,FALSE
7a9e824356af945fbd020f581462a91f2bcebdab,Rename files,2019-07-26 13:00:47+02:00,FALSE
24b69783420a22108382a2b29706c7f6f612d809,New dataset & pre-trained model on wikipedia sections,2019-07-26 13:46:35+02:00,FALSE
40dcf6f3ab5102b0d5655953b0cd5e5cb13e2b3c,Update readme,2019-07-26 13:48:15+02:00,FALSE
304642540bd4ce70db9e1333539d8fbd9eaa52f4,Fix #1,2019-07-26 13:49:37+02:00,FALSE
c4d858d92d08b50f875d3a63b58f86fdd7505876,Scores update,2019-07-26 13:56:32+02:00,FALSE
3cf6fb015ca39472d33febdd3e51d1478180cb30,Update README.md,2019-07-29 10:07:58+08:00,FALSE
bf482cd8a1a06c091c7889f7acf688dcf3267017,Update README.md,2019-08-02 08:52:27+08:00,FALSE
2ad367924f5beb17ddef80247ee7535c5633f02d,Version 0.2.0 commit. Major refactoring of framework to make it modular,2019-08-14 15:37:09+02:00,TRUE
83019e15a66a318a6f080fa8e1321d911591445a,Readme update,2019-08-14 16:03:33+02:00,FALSE
14da090b48025c6278d5d632d2c6888727a2c9ea,"New models added: BoW, WordWeights",2019-08-15 15:46:02+02:00,TRUE
b49665f00cd2a6d5af6533e5473cf113c2d884ce,Added new examples + auto download of word embeddings,2019-08-15 16:36:31+02:00,FALSE
cc603bdde324453dcddc6dc8836efd2737d31b90,Add CNN + LSTM layers & examples,2019-08-16 09:51:16+02:00,FALSE
7e8afee29ad4e05ed3d29ae9fafbba05a3b1ace5,Init commit vor v0.2.1,2019-08-16 10:28:38+02:00,TRUE
444e4d69a1724f0ca358d1eb55386a83c38361d9,Update for v0.2.1,2019-08-16 23:00:13+02:00,TRUE
e7172d47bbeca4515259ac823e1d7fe82bf99307,Update readme,2019-08-19 16:17:56+02:00,FALSE
2a0de8846b3e7b50644463e0d17f106b1b0672c3,Update README.md,2019-08-19 16:43:51+02:00,TRUE
71fb9894bce90efc5656d3b1f9a666b18b116ada,Bugfix Windows with tensor.type and progress bar can be disabled for evaluator,2019-08-20 19:12:46+02:00,FALSE
5cacadb058234af54d701f072c17559abb6918ac,Prepare v0.2.3 version,2019-08-20 19:14:33+02:00,FALSE
af00df38c199079ba1cea7a5a3659b17973bc928,Update README.md,2019-08-28 14:04:25+02:00,FALSE
a420f7d8485d79bb77fde06792bab50760cf97a5,"Update README.md

Fix wrong used method

word_embedding_dimension() -> get_word_embedding_dimension()",2019-09-04 11:54:02+07:00,FALSE
40f994e5e3ce3e2819833773117d788dfa0c7e7f,Update Readme.MD,2019-09-17 14:58:51+02:00,FALSE
9392d4f093ccafbe7ea660b6ba85722d5b2279a6,Fix README.md typos,2019-10-19 14:20:29-03:00,FALSE
68beaf67462d2519a138b72c97aa4fbb9434fb07,fixed typos and broken links while refactoring,2019-11-07 11:23:55+09:00,FALSE
24cdbe9ced949effb3a41292ab8b1f480587fbef,Update pytorch-transformers version 1 to transformers==2.2.0,2019-12-05 14:33:40+01:00,FALSE
0ba6828a9bbf8abaa4b39945b913c5bc48beb443,Added RoBERTa models,2019-12-05 14:48:07+01:00,FALSE
2893d976b6ae352c1e73f79657abc6f81f75ad6c,Documentation,2019-12-06 13:24:32+01:00,FALSE
8d0ad23d28bd1dafd2adef52a1a2ec813a293575,DistilBERT pretrained models added,2019-12-06 14:58:39+01:00,FALSE
12d0d9ccdb0db7aa913bdb09434885c2e3cfe669,Update readme,2019-12-06 15:04:37+01:00,TRUE
9c46f02fcae2b32f5cca68123577f9fa8d0e95c1,Update readme,2019-12-06 15:08:24+01:00,FALSE
