sha,message,date,result
cf551b71a964cdbe3ede9dc5d5859c0885060f69,First commit,2017-07-06 12:08:34+10:00,FALSE
6594d9212bfcf3f28d132f3edbb9b98a467e2f61,Node setup for project,2017-07-06 12:33:34+10:00,FALSE
1f8112d7d49d407b1fc874fed4bedb221a61faac,Update README.md,2017-07-18 16:26:17+10:00,TRUE
3754841ed734f6016669106478269bfff4e3dcc3,Update README.md,2017-07-18 16:30:50+10:00,FALSE
836a40202694b677ead1b001f3a13f67155c5937,Update README.md,2017-07-18 16:31:06+10:00,FALSE
09711e37cf22b6dc0d541ceae4f0eee07537db21,Update README.md,2017-07-18 16:31:38+10:00,TRUE
839fcfb63661b61eb7bd990d1f949ddf326d48f5,Update README.md,2017-07-18 17:48:57+10:00,TRUE
d8e41120a98b7739476cec3283fec88a92bd14ac,Update README.md,2017-07-18 17:50:18+10:00,TRUE
13c1a9ed37d1d125ca42e1de3aa637be1ead3724,Update README.md,2017-07-18 17:54:19+10:00,TRUE
2cc590dd33ff6771b495f8b65e35b742cf72b4ad,changed readme,2017-08-30 12:11:21+10:00,TRUE
f2811e21129d4e78ab57091c7ce13533a03afc44,removed counts as a required column:,2017-08-30 13:50:05+10:00,TRUE
ab086eb6028d2235b57cc1281e11be5ee19b7d68,updated readme,2017-08-30 16:13:24+10:00,TRUE
8bf1bf429bc5a03f5e9645a54cd582aba3fa287e,integrated django-reversion,2017-09-07 18:44:05+10:00,TRUE
24507088ecd9e8930533a7f93163a28e25731329,Updated readme,2018-05-11 17:55:14+10:00,TRUE
8fc53b51e899cb524b0f23c5e199d1cbc5a9120b,fixed typos,2018-05-16 19:01:01+10:00,TRUE
f74c404522082d8672857b7d6ae8e3e69719bd9d,Updated the GitHub README,2018-06-15 12:56:14+10:00,TRUE
f5a722ea65733539ee5540d141fc430b84b552d4,Updated requirements,2018-06-29 17:44:07+10:00,TRUE
dd900ce11a5965b80d54c48aae8bb322c57422bf,README now refers to requirements files.,2019-09-14 15:40:05+10:00,TRUE
1dceea841d7bf2391eae8e7c26372959da67a54a,updated citation in README,2019-11-08 10:02:33+11:00,FALSE
e7c193ae523c80ff7390b7350e05586a713b3ae2,create a poweruser role and a way to change the roles of others,2021-01-20 11:41:28-05:00,TRUE
b5d5e37d776641de9f2c34b1b794088b8fe93c26,signed for updated,2021-05-10 13:39:47+10:00,FALSE
4fd9bb7380ecc346fc726d7bd03bbbe5fd21efc5,Updated readme,2021-05-22 22:15:57+10:00,TRUE
7e828f80342a1f879f844e75b5430665fa9fda99,Updated readme,2021-05-22 22:18:38+10:00,FALSE
eb793c7124605f4846a7aeed4a66f6e5a2d3698c,Renamed; updated links,2021-06-01 15:06:21+10:00,FALSE
