sha,message,date,result
f7c47b03c0251f9f9edbf1a9289aea24a3aa8a22,feat(*): added README,2020-10-26 13:36:03-05:00,TRUE
16c897deafb5df245c3e8583ccac27ca2cb0fb37,Update README.md,2020-10-28 09:29:57+05:18,TRUE
0acafd36bafdda08a30b1e87f5a92ea0b9852e95,Update README.md,2020-10-31 16:27:10+05:18,FALSE
6d4bdb655bb0057136b9d454fd9b55f00821eadc,Update README.md,2020-10-31 16:28:11+05:18,TRUE
17f0d8f27aba0e6579a3f7bc35fc5513b411d9fc,Update README.md,2020-10-31 16:28:34+05:18,FALSE
bebca5eb60a3f8221db34d66957d96d89d8c4319,Update README.md,2020-10-31 16:29:09+05:18,FALSE
cd0fc2ddbaee59e24402942137fbee8f3ea34b72,Update README.md,2020-10-31 16:29:49+05:18,FALSE
9acecace5307a2241e7a5cbcd7191d556ef28198,Update README.md,2020-10-31 16:33:33+05:18,TRUE
a6521e8eb3db168e6cf5bd8e85c10c138d9975a0,Update README.md,2020-10-31 16:34:35+05:18,FALSE
22eb75051a21bbd59e59cc7ed1016107a2e2423d,[docs]: Updated readme,2020-10-31 16:35:17+05:18,FALSE
68b9894999f5dda4c6cc07cfd3e697353f9d6037,docs: update README.md [skip ci],2020-10-31 20:24:54+00:00,FALSE
f0acab6e43ee711b9b6d4f82797713430dae25eb,docs: update README.md [skip ci],2020-10-31 20:25:58+00:00,FALSE
cef950643addad084df6730d9c007c458627e0b0,docs: update README.md [skip ci],2020-10-31 20:35:04+00:00,FALSE
fa7763898a2088c46f1061cc3a9eb83d82d32ef4,docs: update README.md [skip ci],2020-10-31 20:43:07+00:00,FALSE
87e91d9190532f8a326d68e6a356441e42ec1676,docs: update README.md [skip ci],2020-10-31 20:49:06+00:00,FALSE
d919c2639aa10f47e052bce37b9d670ec4e7ab82,docs: update README.md [skip ci],2020-10-31 21:03:14+00:00,FALSE
f021f24aa474aee25b2d7a6cb06fbf621e15f681,docs: update README.md [skip ci],2020-10-31 21:06:00+00:00,FALSE
6d66079a2d1c65f3ba1458d5f57e319ee28de8fd,docs: update README.md [skip ci],2020-11-01 08:23:52+00:00,FALSE
4b6c6e4928423bb4720bd3e46a1d758ea9712cfd,docs: update README.md [skip ci],2020-11-01 08:24:14+00:00,FALSE
88d02de9f07adc54c583b7c2afcdd9cdf6470cfc,docs: update README.md [skip ci],2020-11-01 08:27:33+00:00,FALSE
0dd5b7e7330d080b326efb16395aab0738f2f741,docs: update README.md [skip ci],2020-11-01 09:21:47+00:00,FALSE
c6992dfc239ecf164e2bdd72e1b063be14b15c93,docs: update README.md [skip ci],2020-11-01 10:57:55+00:00,FALSE
b322bb33b3ede1000a03bdaca7fe441f35b91d44,docs: update README.md [skip ci],2020-11-01 12:06:53+00:00,FALSE
e1f3d0d0b9bef38c0306c37c6e13de34e9720683,Update instructions to run bot via Docker.,2020-11-01 16:42:28+01:00,TRUE
3b53dfcde8e06849275162ea614ce3cef1c2b354,docs: update README.md [skip ci],2020-11-02 05:39:14+00:00,FALSE
fad19cee2d54addec0a3e91ded297df7328587df,docs: update README.md [skip ci],2020-11-02 08:54:49+00:00,FALSE
6dcebdaff3b3bbbeed942773bcb0f77f3da31a74,docs: update README.md [skip ci],2020-11-02 08:56:40+00:00,FALSE
f14f8db0762316e3365ebf2404841208dd416a07,Add links to docker installation in README.,2020-11-02 10:52:10+01:00,TRUE
5f2185c2b2b3bc1d648600cccec2a09f6e36ab24,docs: update README.md [skip ci],2020-11-02 10:21:44+00:00,FALSE
237cc00485ef258a1e63c037c83418da3957c871,fix: added requirements.txt in root for Heroku detection,2020-11-02 23:45:44+05:18,TRUE
a4f0bbff955398eecf03e9383370da36676b789d,fix(*): I did an oopsie,2020-11-02 23:53:35+05:18,FALSE
0fc2f244a1dc34eb1de23c60910375ce4a9fb9e5,docs: update README.md [skip ci],2020-11-03 00:02:25+00:00,FALSE
6bc1147618d219b65dce3b3090aa220c5f9581c4,docs: update README.md [skip ci],2020-11-03 08:03:47+00:00,FALSE
aa09f4f77313e745eb4b86a2d7a898835c4d780e,Update README.md,2020-11-03 22:56:18+05:18,FALSE
8078156908a7142bbdc42e3af438876e93e6b40b,docs: update README.md [skip ci],2020-11-03 17:56:57+00:00,FALSE
be1ba8922a891d41881d36d84a887d8921806812,docs: update README.md [skip ci],2020-11-03 17:59:12+00:00,FALSE
a2af8d5458f4b2d2fdca605c2a6207afbcd3e5e7,docs: tried adding a gif,2020-11-04 00:03:53+05:18,FALSE
f41d08d86af219495bab94f26c3eae717161bd7f,fix: tried fixing gif,2020-11-04 00:05:14+05:18,FALSE
1431b89e02ea31795a253a298a12f4417c459a44,Update README.md,2020-11-04 00:05:43+05:18,FALSE
d2af10003f6990cd532f6af8c5edb4680f65c1f9,Update README.md,2020-11-04 00:07:53+05:18,FALSE
6e4a366f68394b3945225c8c162d3d175cc06d84,docs: fix gif,2020-11-04 00:09:38+05:18,FALSE
46e8b402f5aae41084b129b76adfc69a566db7ee,Update README.md,2020-11-04 00:11:03+05:18,FALSE
1ec5609c7a1ff49e218e5811d60cfacc5de22399,Update README.md,2020-11-04 00:31:46+05:18,FALSE
48ad8b1f671ba73c9f1d7acfba071534336e2624,Update README.md,2020-11-04 00:32:17+05:18,FALSE
2dea0314046bc35e02b8677e1d0ae849c4d12828,Update README.md,2020-11-04 00:32:58+05:18,FALSE
14ddbc0702d39c45cba1d842f0541a0b4ffa1df5,Update README.md,2020-11-04 00:33:58+05:18,FALSE
7df4801dc155d38b83f09ecda9e0b8d6954bdbb8,Update README.md,2020-11-04 00:35:16+05:18,FALSE
b3cb36f40eedca96a940ed6067a1328e60a46205,Update README.md,2020-11-04 00:36:28+05:18,FALSE
c364b3a68da3bcd299db58eb1ff4b6c6fa88497c,Update README.md,2020-11-04 00:36:55+05:18,FALSE
a1a1ad8d0bc58b57705ddad99f16293a45290f13,Update README.md,2020-11-04 00:37:24+05:18,FALSE
6552bf1fc697228e319e478af9bec67b1a253e10,docs: update README.md [skip ci],2020-11-07 22:31:24+00:00,FALSE
511e1e35b5b550216b0d21bdf0124819b2bae3dc,docs: update README.md [skip ci],2020-11-07 22:55:35+00:00,FALSE
331e7776d55114a8e457a8898c9d0dd259dd47f0,docs: update README.md [skip ci],2020-11-08 08:18:42+00:00,FALSE
08003abd867433fc96a6a32154a386cc8968955e,feat: tried better invite bdge,2020-11-08 15:51:48+05:18,FALSE
27f30556939bbaa1c1cf64b33bbc0c0688cab1c9,fix(*): pushed banner out of html,2020-11-08 15:53:58+05:18,FALSE
ef1a973ef51584c38d8607ab6cee96ba2747ac49,Update README.md,2020-11-08 15:55:15+05:18,FALSE
6d6f653b9a5d7dca8c224238f346903b5fa1c051,Update README.md,2020-11-08 15:55:33+05:18,FALSE
e4222cdb06637cfc843e6daf8ba65fade2dbd678,Update README.md,2020-11-08 15:56:25+05:18,FALSE
0318dcc9e6198caedd5ae44858f1fdb9aa79622c,Update README.md,2020-11-08 16:06:21+05:18,FALSE
90584481020dab4cc8d9aa1ce9aae6674d8b9a5c,Update README.md,2020-11-08 16:06:44+05:18,FALSE
afa4595b7a652c951c5c6a9b949bd0bd77d41fe7,Update README.md,2020-11-08 16:07:35+05:18,FALSE
8b6e72b61a59d17e209c505ae40370bba1d1d8e8,Update README.md,2020-11-08 16:08:56+05:18,FALSE
d6eafd16a6dd2a28d603f578096ed7e40451a662,Update README.md,2020-11-08 16:09:16+05:18,FALSE
89363c4d15fcd915dd1f2939494588afe78ef895,Update README.md,2020-11-08 16:09:38+05:18,FALSE
16ebc414b55793bb5f4181bedae95a545bc7a95e,Update README.md,2020-11-08 16:09:56+05:18,FALSE
4f4162f9f6da96ccd91a2164713ceb9a94c18f20,Update README.md,2020-11-08 16:16:57+05:18,FALSE
322efb5827ee08137efb70d2d0f76716057c82de,Update README.md,2020-11-08 16:25:31+05:18,FALSE
c927d1528704121b4da776ebc1b19164d859bc70,Update README.md,2020-11-08 16:50:02+05:18,FALSE
75a650b5c798bc52a4bff36d34e9865bd8a6a928,Update README.md,2020-11-08 16:51:31+05:18,FALSE
450e0ff0747ddd48bcedc1ce20e2c0bcb56c07d6,Update README.md,2020-11-08 16:53:12+05:18,FALSE
b0e704a083fe57e71d37d5775afaa26cedb46736,Update README.md,2020-11-08 16:54:17+05:18,FALSE
6be35ded82baf58412bd05ec70ec52185556fc26,Update README.md,2020-11-08 16:55:05+05:18,FALSE
7bf08094331eb2c457947e3dec8c58abdcda9093,docs: update README.md [skip ci],2020-11-09 11:57:16+00:00,FALSE
c3d78e34809bb89a502bcfa1adbd1bc0f77be6c8,docs: update README.md [skip ci],2020-11-10 05:52:27+00:00,FALSE
5ff50a51be51303a7f071cb01ef5af9560a03220,docs: update README.md [skip ci],2020-11-25 07:57:47+00:00,FALSE
ca6bd9e65d1855a172a685bb3509aa5735dcc785,docs: update README.md [skip ci],2020-12-06 08:12:53+00:00,FALSE
9c1e2e9f0b666e64f681516950f70a487e7167b8,Removed broken image,2020-12-07 00:09:11+05:18,FALSE
bc4c29145591c73fae9ca86438a274b01485a6ac,Added bot details,2020-12-07 00:41:14+05:18,FALSE
41d8cbaceeb1424a9a81a26d71b54f1b3b7b00ab,Changed CRY to TEARS,2020-12-07 00:54:31+05:18,FALSE
a3a1a054b5d4dab5671e1e46d5402ebcdd1a62d7,docs: update README.md [skip ci],2020-12-06 19:41:18+00:00,FALSE
5c9d0c3c57b92c1368db852519763d2e520a494b,"(change): style of README.md

Moved some thinks around for a easier understanding",2020-12-07 11:14:14+02:00,TRUE
895c471609011339c3d8d0f6671a6ec0e6db0b13,docs: update README.md [skip ci],2020-12-07 09:52:48+00:00,FALSE
46e07c74f0e1128abe7b490198f5cb3ec66697cf,Update README.md,2020-12-07 15:19:03+05:18,FALSE
1a0b1e4be8b795e691d940b3c5402dbc0af2fcda,docs: update README.md [skip ci],2020-12-08 18:17:48+00:00,FALSE
7457cb9adc260a00f140f30599b2a3e964b94d19,"Added contributing info

Made a section in the README.md file with info on contributing to this project.
The information are sumarized from the CONTRIBUTING.md file.

There is also a linkl to the CONTRIBUTING.md file for more info.",2020-12-08 23:03:07+02:00,FALSE
d2157bcf6df910359af771d1b1b706faa150b643,Update README.md,2020-12-09 12:33:11+05:18,TRUE
e0346a2c0851082ee8e38084986a8ff2a4bb82d0,Update README.md,2020-12-09 12:35:03+05:18,FALSE
