sha,message,date,result
de870893754b036c0c1e5f9171fe40a5ed5d802a,First draft of the JAX-RS chapter,2012-06-19 23:46:47+02:00,FALSE
e75c95ad9d887ba142256795eb323831471db68c,Adding info about EL 3.0,2012-06-21 10:05:18+03:00,FALSE
f00fb06cab8e5d90e915334a725ec76473f79dce,Fixed the class header,2012-06-24 21:48:20+02:00,FALSE
edf716f286b4fcb1f9448f01eeb5235be244c4c9,Renaming chapter 20 to 22,2012-08-11 12:30:51+02:00,FALSE
5aba78e644426ed7a56ec2953d8a471868376ff5,Update README.md,2012-09-03 12:01:17+03:00,FALSE
1ad4357ef4ab5bc84a707d218e2b91263f267dc7,Adding CC License,2012-09-21 22:06:34+03:00,FALSE
8243c7aecb7f03ae0b237429498b131aae4f6941,Adding Interceptor spec,2012-09-25 11:33:52+03:00,FALSE
e7e33bee3c8694484a591710afca223980d2c5c9,Updating TOC and specs,2012-09-25 12:07:23+03:00,FALSE
d5d615cdcf12cad7b7a38557aeadbce4b018bec6,Update README.md,2012-09-30 11:18:06+03:00,FALSE
4b8e9c901cccdd2f1e95f904a560c62fac5d5793,Adding SOAP comments,2012-10-01 12:19:33+02:00,FALSE
ca82517eda14ac4f4e82ca1935d30173b4d858cf,Fixing SOAP Web Services,2012-10-05 09:59:01+02:00,FALSE
c84d9344c62bd026b6cb14aa300e4054225fba38,Adding information about JSRs,2012-11-06 12:51:07+01:00,FALSE
64dc3d9db77dea2be489784b3812d28815f53d1d,Adding information about JSRs,2012-11-06 16:23:30+01:00,FALSE
5e17b0cb9833cc7819e97d9f2decf71fdc494d67,Getting rid of JAXM,2012-11-06 23:23:15+01:00,FALSE
1be69a8c48968588dfc7a2f80d18e7e5d982972e,Adding more tests,2012-11-19 17:06:20+01:00,FALSE
afbaf6b32597e5b1e661b889cb7ed1f3318c179c,Refactoring chapter05 in chapter03,2012-12-08 13:30:01+01:00,FALSE
4fa258ccf352682514604f4eb3fe46a0f274a228,"Update README.md

Typo",2012-12-17 14:13:06+01:00,FALSE
46a1fa31c7f8f3e2d60b41298c28ed43bd4bd27f,Adding samples to module 6,2013-02-24 23:17:41+01:00,FALSE
9f42d743c777a854acc2ccd5fbd3ecdff139c8df,Update README.md,2013-05-07 16:19:57+03:00,FALSE
b45ca3067b10f8d53400742c32fb23b7633286d1,Update README.md,2013-05-07 16:40:40+03:00,FALSE
70fc58b6f1a75cc60eb277fcfc5b3d26c41d2249,Update README.md,2013-06-03 16:46:06+02:00,FALSE
a58e2d943d91835d44de0ca867f2e56214af8295,Update README.md,2013-06-25 12:17:02+03:00,FALSE
7f6530e469b5d0c8a1f4fca38e552efb256a4f70,Update README.md,2015-11-20 12:08:12+01:00,FALSE
40029d57962fa5a4e2b326056b8e7970c3d52050,Adding travis,2016-11-18 12:28:50+01:00,FALSE
