sha,message,date,result
e89451dfc678bb4928bb9b5de445cbd2863a9748,Move all files without history,2020-05-10 22:03:18+01:00,True
de3d499d0fa710e7844f21c3f1dad22c44a8c22b,Move all files without history,2020-05-10 22:05:52+01:00,False
ba8cef3ee83f2e4c15c89fe1d8efadc5c37d04e4,Asyncio rant,2020-05-11 14:48:13+01:00,False
1f8837da703cda9e5f8cf3f9fdc457dcd87849f6,Rename show_large_res to show_full_res; cleanup,2020-05-11 17:26:56+01:00,False
9b72de978ab482101869a7ebc4f0851339929937,Bump version number,2020-05-11 18:22:18+01:00,False
06423e28a5e49e49752d1c7478a8eed9e4e72998,Added PyPI badge,2020-05-12 12:40:35+01:00,False
690d23195a6728e9884f29e6b6f826411616c4c1,Mode 1/5 now displays each img as they download,2020-05-12 22:15:31+01:00,False
6552f1a1694edfb04d450555ff3451a18f505f19,Fixed bug where mode 5 won't launch,2020-05-12 23:04:01+01:00,False
7d36e427ad4a2bd6ffd6da2fa67a6901aeb6b192,Fixed PyPI badge,2020-05-13 19:43:55+01:00,False
4271b6c831b494419a46990ebf82e54965890077,Minor update on roadmap,2020-05-17 00:21:03+01:00,False
cd5d1c294d2d4610958b1093b79b394a177f9532,data.GalleryJson now stores current page number,2020-05-17 13:29:58+01:00,False
567d8ce9fbf6b480555793e8a1f4c27ea54528bf,Fixed gallery -> image -> next -> previous,2020-05-17 19:17:20+01:00,False
4dabf65927db31c22fd090301232688c1c5a53f9,Notes about startup time,2020-05-17 20:14:38+01:00,False
235c49fbae00759517f72d9c3f264ccbca9f2c0c,Moved everything to koneko subdir,2020-05-17 20:36:36+01:00,False
c50c84e12bb771dca490ea301afddaa9d3f6aba4,Updated flowcharts for instant gallery,2020-05-18 00:45:11+01:00,False
93993f12e180b6af43667be43792f2c2c473afa8,Updated roadmap,2020-05-18 00:55:28+01:00,False
574ce82e653579020130df35e2fb763866b3e1e0,Add experimental multi-image previews,2020-05-18 13:57:45+01:00,False
56c45ef8608060b7e587059a32429e36a4ef0a5f,All direct icat commands now refers to lscat.py,2020-05-18 18:47:50+01:00,False
5ec7c10eebc9474b4ecc4c2b6796e57c665e9d3c,Remove raw attribute from data classes,2020-05-21 19:14:33+01:00,False
709f67ddcf9ac104734c041dad93c0608211b515,Roadmap on more reliable terminal support,2020-05-22 17:47:46+01:00,False
1ed1c46ad2467c60f2a3d6ecacacaac119cb5521,Added supported kitty versions,2020-05-23 17:58:32+01:00,False
39c04edf56db2f311ba1b5b9c8f06673cadb85b1,Remove unneeded kwargs with defaults in lscat.Card,2020-05-23 19:06:26+01:00,False
3fd19db04a2b81ae6043d693a6a1f82ee6abc13c,Better roadmap layout,2020-05-23 19:20:18+01:00,False
945e92f50920fbceb985c29ee42c468ba5d5a9eb,Add option to turn off printing messages in lscat,2020-05-23 19:55:50+01:00,False
d79782fe5bf55715520801eee76943d462e32c9c,Fixed gallery reload not working,2020-05-23 21:30:35+01:00,False
2d3fc6875b1128f847e6fd70b63f701eec3684d2,Updated roadmap,2020-05-23 21:34:13+01:00,False
3460db5a6c257540ea409a16c7969915d56eb929,Fixed tests,2020-05-23 21:40:16+01:00,False
d0e24bb9d994d34bd9538bcc180f4c8775b5d55e,Add tests for data.py; coverage badge,2020-05-23 23:12:21+01:00,False
28cc732678d4984da48c3a776f5e9b2ba884211c,Add coverage badge,2020-05-23 23:16:27+01:00,False
e8b553f469ef8989cc9413c960b69d7028fdfbfc,Updated installation + contributing with tests,2020-05-23 23:22:00+01:00,False
6777e5ab449c4c30265660046e8906de0c498843,More tests for find_number_map; coverage instructions,2020-05-23 23:27:49+01:00,False
9664ee92082853b289b024b4481ee1019a5de42c,Add tests for utils.py,2020-05-24 00:30:25+01:00,False
a3a2ba7612c67de5c3899c8db2d517f95429ff29,Remove nocache idea - much slower,2020-05-24 11:14:39+01:00,False
431c0801d7d51c2c2bf258497a451c494485a9c8,Fixed minor wording for coverage run -m,2020-05-24 11:16:44+01:00,False
bcb0f0c57abb32ec9e0ed48b160624d10e403c68,Better badge command; use a no-print fixture,2020-05-24 11:33:40+01:00,False
98ce2f4c219fc296c5c7fd9efd2b7a4f23f5a72b,Depreciated legacy stuff,2020-05-24 22:02:00+01:00,False
c3f18d7759b6d2bf4ab9ebacf07f59b4e8ffb95d,Update roadmap,2020-05-25 16:39:12+01:00,False
11391ef69e26d2cf06d56deb76cb2c0139cc9f66,Add upcoming changelog,2020-05-25 16:42:47+01:00,False
a7c44c2df691abcc6d1928d66677be6d8e216d58,Bump version,2020-05-25 16:45:32+01:00,False
583616baa6f3a2d7aef67485ac9157669e8ccc16,Update classes puml in readme,2020-05-25 17:36:27+01:00,False
a711ebc4c8ebb718197763eac04214f99688d9aa,"Support newer versions of tqdm, pytest",2020-05-25 22:15:03+01:00,False
