sha,message,date,result
f20581ee6f450c7f2f853301453a9d86af172d33,copy from main repo,2023-01-31 20:21:20+05:18,FALSE
05961d2bdc07951db2f0c0f6ea051b23e6b85888,Update README.md,2023-01-31 22:10:08+05:18,FALSE
0dd2dfb6832a9ddcc1ec063e963fc9b71d394f63,Update README.md,2023-01-31 22:12:09+05:18,FALSE
04949ab4fa357c973c328e49b9d174bf1d77769f,Remove debug line,2023-01-31 22:52:18+05:18,TRUE
12caf2b2cf81877529c434d6632f975765668c8d,Update README.md,2023-02-01 09:18:34+05:18,TRUE
dd45bab0511594818fa2c971baf2eb5c2c3c4852,Update README.md,2023-02-01 09:19:44+05:18,TRUE
37251fe8bede2b5e7e231bfdfe31a5f198767619,Update README.md,2023-02-02 23:12:16+05:18,FALSE
42f9b93afd8dfc50cbf549a431b407cb94b1ed0c,Update README.md,2023-02-02 23:14:07+05:18,FALSE
d1a7d73703ca0f9f354c08bb77cd757ca1f6543b,Update README.md,2023-02-02 23:14:48+05:18,FALSE
5fa98dd20e4fc25938cf24a96cb8c8545c521444,Update README.md,2023-02-02 23:20:15+05:18,FALSE
080c52b2a7812ddf274c27bfc4ca9de358ef6852,Update README.md,2023-02-02 23:25:20+05:18,FALSE
89182828a7d9112534b3e88fb6a191484f9cbccc,fix readme.md,2023-02-03 09:42:40+05:18,TRUE
c34b556c19b355ab4aa26517eca2541679c3e79a,Update README.md,2023-02-03 16:54:37+05:18,FALSE
754771580428d7705d7bc04b07d2b637437e3784,Add debug steps,2023-02-06 23:16:54+05:18,FALSE
8de930454cc5d0ad1558888fd2a2d9068ba1ca06,"Updated readme, added steps to start testing module, added missing env var",2023-02-10 20:16:41+05:18,TRUE
5d63d298e0cb0eb57a4baf5f5c86a9795ef5b951,Updated readme,2023-02-10 20:22:20+05:18,TRUE
285296e81372e9e41517c9e8a95ed6d057afe944,Updated versions of prerequisites,2023-02-13 15:22:10+05:18,TRUE
bc0502ad5bd8c61f819041554728f74f1b3190ae,Updated README.md,2023-02-13 15:55:14+05:18,TRUE
2beff1e9578552c0b072ef890000a1833e7cae20,add roadmap to readme and fix the wordings,2023-02-14 15:23:33+05:18,FALSE
7705fb2430ebe720b62b7a07a6cf428037c38079,remove one redundant licence,2023-02-14 15:28:35+05:18,FALSE
52b965ebfea5fa8ba9b38bf492657bb74429e691,Update Readme for nuclei testing,2023-02-15 10:43:38+05:18,TRUE
f8462db7f179f59c66472c86f0c7b1ad70760035,Update README.md,2023-02-22 10:32:17+05:18,TRUE
547fad3d897e2f9bad9882f4d22b58b88ae35f3c,Updated steps for windows machines,2023-02-23 14:06:54+05:18,TRUE
4ef6d2fb3f9b0d448c1b333df92589bc6e973635,Added steps to fetch .env file,2023-02-23 14:17:46+05:18,TRUE
d0ba8fe19e15e782204d31b9c441bd9d189459be,Updated windows documentation,2023-02-23 14:30:51+05:18,TRUE
1aeeb00079429e36512e1169e6cae057cb85c1cd,Use AWS EC2 Linux/Unix as your local machine to deploy Akto,2023-02-26 08:35:42+05:18,TRUE
4e35d176498793ab4e92f2ea4a9122dc4d73d033,develop README.md,2023-02-27 12:49:19+05:18,TRUE
a1fcc393bed988c48394bc9cdb276684e5b6071c,Update README.md,2023-02-27 13:19:34+05:18,TRUE
f645176035d6cd68d629a8d18852279dac3e1747,fix indentation,2023-02-27 13:38:01+05:18,TRUE
01327d9b195adc35a1b4405f62981241385dd4f1,Update README.md,2023-02-27 18:31:49+05:18,FALSE
caf93bae48b5c06bfba76bf59fafd83ead51f303,Update README.md,2023-02-27 18:34:15+05:18,FALSE
be43a9fb05946fffd2af6803e2118f1350dc073d,added Docker compose and env file to the repo,2023-02-28 02:06:03+05:18,TRUE
3309ce3c1ccaf54df45c0a30fb0d5c5e7a968b8d,Update README.md,2023-03-07 13:18:21+05:18,FALSE
6d29ba7443b7da470e40383a9af22c4b1d48cb0c,Update README.md,2023-03-07 13:40:03+05:18,FALSE
d4d8f8ecd294d37d27ab895d83f23cc524951918,Update README.md,2023-03-15 13:57:22+05:18,FALSE
49589a870f2fd92a02f816c91da212933231fe85,added devcontainer and updated README.md,2023-03-17 11:56:17+05:18,TRUE
6fdfd26d2df3a462d3702cf7ad7e73e2baed0192,changed port configuration,2023-03-22 15:21:52+05:18,TRUE
7f3092a3aff5d511b2ed965aaacb8b55227e17ea,Collapse some sections in README.md,2023-03-23 16:40:23+05:18,TRUE
be46189da829b8f8588f94ad31341d78c13c7d0f,fix debug section,2023-03-23 16:45:48+05:18,FALSE
de97c09b6c0778f9529664e7235b1456f7329ef7,remove link,2023-03-23 17:47:01+05:18,FALSE
7a664850a01c63d86ac1f7dd8f5481be5af19f5d,Update README.md,2023-04-12 08:39:51+05:18,FALSE
5b0fe7354f5a7b61b72c7ee94eb21402d1c086fe,Update README.md,2023-04-12 09:09:06+05:18,TRUE
ec4327dbc55ad2a2120570d4de3157aee0c50736,Update README.md,2023-05-20 11:36:22+05:18,FALSE
9badb78dbe005e9887da12e14eae3ecd630bd96a,Update README.md,2023-05-23 22:05:23+05:18,FALSE
