sha,message,date,result
c7cf966e21036c93188e89507f8ca45447b80bb3,Initial commit,2016-10-01 17:55:24+02:00,FALSE
7e2c8e10457f2a66bb56545491af9ba62352ca9f,Add travis status img,2016-10-01 18:46:58+02:00,FALSE
333ee9c4b8230e42f0d0231c406eaec216deef36,Try to fix travis build,2016-10-01 18:54:09+02:00,FALSE
9dc1db64c406bb8bf012a71025d7cec5562f31a8,Update README,2016-10-02 00:41:41+02:00,TRUE
136efc3fa9ec3a84355095e33b8fd3c053207094,Enable syntax highlighting for python samples,2016-10-02 12:02:37+02:00,TRUE
c3b1bd71f7e85afe61c4b68b8a508b4447540b32,Typo fix,2016-10-02 20:56:22+02:00,FALSE
e0d7e5e4027bdaa22205d24eabfb0529eb10c5b2,README format updated: now in reST instead of Markdown,2016-10-03 20:29:07+02:00,FALSE
2f3fc4922859dbf6d9ddf59d463d1e16e227b585,Readme now written in Markdown,2021-09-13 12:36:06+02:00,TRUE
2cfeaad47dd5fdc24d27965e6312d28dc4e81034,"Officially remove support for python 2, django 1.11 & 2.0",2021-10-17 20:03:11+02:00,TRUE
ec76678b22b19e3206cbfb41efe77d336fd2360f,Configure tests with Django 4.0,2021-12-24 15:46:21+01:00,TRUE
e39d757769b5d99fafc0bcbe5920dbd0ff1047e3,Added python 3.10 support,2022-02-22 10:46:58+01:00,TRUE
c3f8b5eb4988f7aeeb49a98b42c6d415ae64f74e,Update CHANGELOG + minor fixes,2022-03-03 17:36:10+01:00,FALSE
8559fca7b9fd7a39c184efdac52b79b0d09c3014,Fix badge link in README,2022-03-03 17:56:01+01:00,FALSE
f5d46d3dfdcb948acfef348452c0a3716d084005,"Update README, CHANGELOG and docs index",2022-06-01 16:50:52+02:00,FALSE
4952b70f98b40eca4a92ea475f38d36b7d307c49,Update demo app URL,2022-09-22 15:40:18+02:00,FALSE
931e5ed4910a2d38545992f5b08240ad6176f0c2,Add tests for Django 4.1,2022-09-22 15:48:25+02:00,TRUE
41dcd49fabe38697735210aaedc953f7f693c4a1,Updated README and CHANGELOG,2022-11-29 21:54:28+01:00,TRUE
8de497f5f5980b2aea426c50cfc3017f35fb4a9a,Update README,2023-01-02 13:34:54+01:00,TRUE
d2d028aae74e328c59aae06e8142c2b67cb1d54a,Updated README,2023-01-02 16:21:37+01:00,TRUE
2c037e38b1ff2fbd47ac747f2c64508aa15030ca,Update README,2023-01-03 14:49:39+01:00,TRUE
