sha,message,date,result
a1e6db6a917528f69c01f4de8302eb9336bb7886,Initial commit,2018-05-16 09:47:59-04:00,False
f5212d96f73960a5f77942c928acea1f45457ed1,Update README.md,2018-05-16 09:52:11-04:00,False
b1208b79a6c3fd42918e60ed7b870fcfa25491d1,Update README.md,2018-05-16 10:47:23-04:00,True
435cd28c5a4470857fcb90d25eedf4147a45a77e,Update README.md,2018-05-16 14:40:44-04:00,False
931f940b42875d25928c5bb719cd3e5494f49aaf,Update README.md,2018-05-16 15:15:44-04:00,False
d3e162c1ad7198305532057b7d254549ccde9aa6,Update README.md,2018-05-16 16:09:27-04:00,True
dcd972c647176abdacd114301b416328ddf7285e,Update README.md,2018-05-17 16:24:34-04:00,True
a5970c8819fcad84280b3aef6b0f122e42a71015,Update README.md,2018-05-18 11:26:57-04:00,True
5d30f5ecfab5756bfd3fa1ff8c706761e1bc1773,Update README.md,2018-05-18 16:45:26-04:00,True
8e6ffb809cf47843e7d80bcc77a7bd3101cc4434,Changed link to new version of segmentation network,2018-05-24 17:14:08-04:00,True
e6c631159c11720d24fcd7d341e2a9d80b19f291,Update README.md,2019-01-23 14:53:44-05:00,False
ebd38bac0ad2d259d3f43f6b84ffce4c479aa3db,Update README.md,2019-02-04 09:11:11-05:00,False
320c80cfac7ca6a3444ed15432df899750814bd7,Update README.md,2019-05-27 21:01:28-04:00,False
e47bc05a5a78530035e2bfc8ee21d0e1e5b238df,"Updated Readme

Revised readme",2019-06-03 11:04:25-04:00,False
50676505ae2da8af8193538a4c2e3ebcfdf65f96,"Update README.md

Added google colab directions.",2019-07-28 13:40:41+02:00,True
f8781aa57dc3ac9f823a28d107825de9574c6df8,Updated with pointer re google colab use,2020-04-15 15:56:57-04:00,True
897cbca8fa487f1a29cbda24b9d4498da09f6846,successful pip install,2020-10-12 18:30:29-04:00,True
8a8959a708b368ec53b06e24da9edb66b310797e,updated README,2020-11-04 14:21:56-05:00,True
d207e368c32f654e6b5a16538686055cc12cbac5,establishing well-defined geometry,2020-11-04 19:14:56-05:00,False
f92499e3daac0fefa04a55d31c19166590cb4499,making 1.0 alpha release,2021-01-06 09:09:55-05:00,True
4c6df0af12ca0c8a14eefeefe52010336395812c,updated readme,2021-01-06 10:08:08-05:00,True
3bc3bcb27fb833993cca3706b73e5e36c57ba234,readme changes,2021-01-06 10:11:08-05:00,True
3e583a44735fbc5b78e3522546a7d851bc393e96,updated readme and docs,2021-01-13 12:16:22-05:00,True
663685ec5fd81b1916b85c91a403e48c9d3a6297,fix code block,2021-01-13 12:25:10-05:00,False
4647689bab41157c47425784f1b8144b2cf994d1,updated setup,2021-01-13 12:52:47-05:00,False
d2783969ef84a92ee368f881beb253bc2d725ef4,fix links,2021-01-14 07:54:29-05:00,False
41a742744251fe77bcd9b66a172759f4f6b3b708,fix links,2021-01-14 07:58:26-05:00,False
0b698eb0b485d74d42521cbf9a57197e0337b81c,fix links,2021-01-14 07:59:14-05:00,False
42df5111fa723e4c61f32f32d4a4a0a91f234937,Update README.md,2021-02-04 19:49:50+00:00,False
1865bb9273624b9c9ec67cb3a7043db4690641ea,adding unit tests,2021-04-15 21:53:47+01:00,False
0ec12119ea4bce13de7589a5a9ecf9996d0d7b41,updated readme,2021-04-16 09:16:51-04:00,False
9c3dea7fce1dfce4c0f4f72160fbc32e1c4d61bf,updated readme example,2021-04-16 09:56:20-04:00,False
1c6128eaf851bc80c5e5c46b0251a908f47e1b35,updated install instructions,2021-05-03 17:12:08-04:00,True
5460799d457b2e9345813d378170f6199bf13311,working on tests,2021-06-09 13:43:12-04:00,False
659df5736d55e9922e0c5f8bc74f95a58ec8208a,tests,2021-06-09 14:43:00-04:00,True
6ec565dcfa4fe86185ceb841d60e1a71c1fba4fd,updated readme,2021-06-16 13:19:47-04:00,False
d3384cf9cc0053968d78811bf9e4828173a889a9,working on docs,2021-06-16 15:20:20-04:00,False
27647a9dbdffca0c80b66238124fb6fc474d7fe1,added some badges,2021-06-16 17:52:57-04:00,False
e2cb8eb8f447555b2ed5a25640c2689e1e427075,updated readme,2021-07-02 11:26:53-04:00,False
01831fbfc27dd5c56234b43e2857aa4747051fd6,changes,2021-07-06 14:34:51-04:00,True
b692a319c6a9206d244e5a3f2fdd4e705a00088d,bug fix,2021-07-07 08:04:26-04:00,True
6843769e3c70ad070b2c3382af731089524a70fc,update Readme,2021-07-08 11:49:36-04:00,False
2be5d13d773751c4c14a759f317e72695f8cc24d,updated readme,2021-07-08 11:55:34-04:00,False
3945fb0d6615f74309d3e1f48ec9fd365923fd91,update readme,2021-07-24 07:36:26-04:00,False
c1c809d823f04d706ce180c466ac4448d501b88e,fix broken badge,2021-07-24 07:42:08-04:00,False
935d312ad1a81aca965e30f26afcb9c70b501c28,Updated examples.,2021-10-21 15:39:06-04:00,False
7aa17980123888457764cc18c97c9fa6a52c1028,wrote up pytorch bug fix,2021-10-21 15:57:42-04:00,False
2d7267a530f91b7bce39bb31dff3a6a32a81e54f,readme updates,2021-10-31 13:12:19-04:00,False
48626ae771cb5087b14ec126c31fac4a4fa21b88,Fix indexing in the README,2022-06-23 11:37:48-04:00,True
74a2649d06c6b773460c0b0181ca63f74d1cc1ec,Update README.md,2022-10-05 10:55:42-04:00,False
80cd4aedb86213dab9aa87a46476541e30f4d9b7,update readme,2023-03-04 09:48:13-05:00,False
