sha,message,date,result
53dba811d65cbc2f8161166fe589c387fbd49f1c,first commit,2013-09-01 19:11:25-04:00,False
22e7d9552c39da181dd7aae86fff212e9e62764f,Version 0.4.0 - see CHANGELOG for details,2013-12-14 16:10:47-05:00,False
f472b6fb6fff8872951abcec4cc02c6c5e69e770,Version 0.4.1 - minor bug fixes,2013-12-18 15:51:24-05:00,False
c0df0496f142cb502502c036124cec3943903cc7,"version 0.5.0 - major overhaul, way better",2014-02-26 18:29:26-05:00,False
076bf87cb02e328d0a24c61462313ac7bfc52968,"version 0.6.0 - big update: plugins API, minor fixes",2014-05-08 19:01:13-04:00,False
02494df9869253193b90ce78fe329b242c10a090,"version 0.6.0 - big update: plugins API, minor fixes",2014-05-08 19:13:58-04:00,False
d116e7d0302679ec0e28843a1d5abe5d7d68acba,"version 0.6.0 - big update: plugins API, minor fixes",2014-05-08 20:06:42-04:00,False
6538d06396bf9b616545e4e74b4aff0fad5a01e3,getting close to release - new web UI and more proxy mode improvements,2014-08-20 14:49:55-04:00,False
d84d4a5459735fa473cdb97d54e878ac1d41398b,readme.md improvements to make installation cleaer,2014-08-20 14:55:08-04:00,False
8e45805dcb3b3bebf526e95378e68c7764ef1f3a,readme.md improvements to make installation cleaer,2014-08-20 14:57:50-04:00,False
4965d9b155f336dd979c906e4c099db4f8391d98,readme.md improvements to make installation cleaer,2014-08-20 14:58:21-04:00,False
6a207dd61106343bfb13d3f9762cd64a7e58a8e8,readme.md improvements to make installation cleaer,2014-08-20 14:59:06-04:00,False
b506cca70a74bef37605802bd3e3c6d72a1b5734,"minor fixes to color codes - underlined should work now, hopefully.",2014-08-20 16:58:12-04:00,False
7f35346da8be907e4c463f0edbb7583452526e73,"Build: #12 | Made some small changes, nearing completion of 0.7",2014-09-21 18:17:38-04:00,False
c2fb02b13319d7523a91df1ef1e5931be992c099,"Build 26 | Renamed plugins to example-plugins, and",2014-10-07 18:48:30-04:00,False
5abdf20ddf91de2b98648c8dadc979256c601661,"Build dev 28 | Checking off more things on the to-do list. Adding more finishing touches, should be ready for primetime. I also added a new scripting system and auto-reboot thing.",2014-10-09 18:49:10-04:00,False
3556041a354e6348f1bd0635fc9b76f618759ae8,Build dev 29 | Fixed,2014-10-10 11:54:09-04:00,False
d32039645fa4c7e3c6dc596352e2dcf699cc4feb,Build dev 30 | Experimental,2014-10-10 23:22:53-04:00,False
0e67c4832e04ddb17fd54d8ce5454b0bb62e8d04,Build dev 30 | Experimental server-jumping code and other minor bug fixes,2014-10-10 23:24:55-04:00,False
2ac56f5e24f91504e7fa8b31f19928cc4e8041ad,Build stable 37 | Stable 0.7.2 Release,2014-10-17 18:58:33-04:00,False
ae5bb1b216f700ba068fd6c8d6e16c56325db014,"Build dev 38 | Total rewrite of server.py, same coming for irc.py soon. Also, this build is super buggy, so be careful.",2014-10-17 23:11:13-04:00,False
72906aac90ff68ce556c75aa53b7a68b9feeaada,Build dev 41 | More fixes. Pretty awesome.,2014-10-24 02:54:29-04:00,False
887170fbb85ee88a0b39ee6ee7f01757415f2403,"Build dev 59 | 0.7.4 first build, bunch of minor improvements",2014-11-23 19:10:53-05:00,False
0f6024725ae42a44ec7b5197d401cd8d34478845,"Build dev 60 | Fixed arrow key support with patch #46, handling tar not being installed per #44, other things",2014-12-03 15:04:42-05:00,False
bc42490f48bb36fb6c03170441d23bf96c01abb9,"Build dev 62 | 0.7.4 RC1 - Fixed not being able to type after Wrapper.py shuts down in console, various fixes and new features, preparing for 0.7.4 release",2014-12-09 20:27:42-05:00,False
