sha,message,date,result
0a64a5fa6f3b97c8d631f8f9e486dfc1538da0d8,Initial commit,2019-06-06 19:48:36+08:00,False
a6db12090b34d90471889a69d62d25e50938d8f8,* add README,2019-06-26 20:25:53+08:00,False
9268e2ed76ede62393f62626f81bb62a24cdf400,* update describe,2019-06-26 20:27:51+08:00,False
3f1e77e23d964b6b1a95aa4286d71cc15275ca9d,* update describe,2019-06-26 20:50:47+08:00,False
527df8316eb17254b5c6b42aa27accdffe7b9c62,* show build status,2019-06-27 14:06:47+08:00,False
c2ce09e8291a5fa82b3e064a6d6288e652ba96a8,* describe supports,2019-07-19 16:50:41+08:00,False
ef0cc0eea56c74dcee0268b3bfbc0c3f247cfb13,* update describe,2019-07-19 16:57:04+08:00,False
ec56c667441072efb7ddbe8aea8e0d8cc5f822cd,* update describe,2019-07-19 17:04:47+08:00,False
97a0acfb4cefae817719154389792d5802b19a2e,* update describe,2019-07-19 17:06:16+08:00,False
98824b1a6d080d02f4ede0dfb4d394663f8d5778,* link to maven repository for version 1.0.0,2019-07-20 13:52:07+08:00,False
babf03fb79badcf18e796879ed6f5f6a7ad883cf,* show version 1.0.1,2019-08-01 10:17:18+08:00,False
6b158c4ddb4e3307284f2142a87539eaba395364,* show version 2.0.alpha1.0,2019-08-01 16:15:06+08:00,False
4213be327bcf4d9daca82d5ec42082ea42f718c0,* release version 2.0.alpha2.0,2019-08-28 13:44:24+08:00,False
8b0b1e0528640098b216e25976528518194dd52c,* show version 2.0.alpha4.0,2019-09-23 14:35:20+08:00,False
2fd9f556821479408386e751fe1f8b0a379bcaee,* show QQ group,2019-09-24 16:22:52+08:00,False
225ad966644e2f8b3244ef8c60d1423fd118d6e5,* show QQ group,2019-09-24 17:11:20+08:00,False
8d5d0ec444d6f5ada13ce57e74888ec8640143a6,* show code quality,2019-10-22 21:53:12+08:00,False
861be52acf8bec0210ec298009dc059fca270fa3,* show version 2.0.5,2019-10-22 22:00:04+08:00,False
d25ea66a8d4328b20609b81693e127c8cd04af25,* show boon json,2019-11-13 11:02:21+08:00,False
10b42eb57c12dcdeec6a88c80c70fd05cb675341,* release version 2.1.0,2019-11-13 15:58:10+08:00,False
5832a410334d6766132c900b7a67e5da113851e2,"* show github, gitee links",2019-11-25 20:34:25+08:00,False
757f9eed245f5e94cfcb9cd1dbd05c0988064458,* show migrate links,2020-04-09 16:12:28+08:00,False
99ae33bbac8fa86a0c15c07c34cb81f917cade05,* release 2.2.1,2020-04-25 14:18:41+08:00,False
5894722dec26dcde1691cde0bb0255b6e15e7e41,* show jetbrains links,2020-04-26 07:47:31+08:00,False
1c44d558e7c05fc7d336d0d2016147d29cc94dad,* 显示更多的推进项目,2020-05-19 12:02:14+08:00,False
c0b3a956afedc934d62787c098bf1ad77f03f26d,* 记录moshi,2020-06-11 07:19:46+08:00,False
52aa0abc553e50599af6ae26d2ff8c57c06babb5,* 发布2.4.0,2020-06-18 00:11:27+08:00,False
b929811b7b4f1a1a5e701dd8e5bd3868b240e3d0,* 发布 3.0.0版本,2020-06-24 12:13:02+08:00,False
aaeb182f82a02510bbf981739259ac2b4172e420,* 更新描述,2020-06-24 12:22:08+08:00,False
5fb0bf04b73685d43f126cfcd11d6f57a1575811,* 更新描述,2020-06-24 12:24:40+08:00,False
5b06240993f847ed68e27dde1eea39c69b386651,* 更新版本至3.0.1,2020-08-07 16:23:40+08:00,False
cb279a3ce893cba3219d57c70b919bd613e98314,* 更新支持说明,2020-08-07 16:25:43+08:00,False
2b3db0984ba72e726e2ac712963ba2148ad8e4bb,* 扩大jackson支持的版本范围到 2.6.0+,2020-08-07 16:44:02+08:00,False
c3f0b8485c95bab13a8eaa2588df8aedb8733665,* 更新版本为3.0.2,2020-08-12 13:26:41+08:00,False
86363d631ef2c9e5f449707cf9788dccfc0b05b1,* 统计访问,2020-08-19 17:15:09+08:00,False
0a640ab10d452fd6ebefb51b0a06939c191ad632,* 统计访问,2020-08-19 17:25:04+08:00,False
69026e054ac109c2cd86912e744a0a02235c7444,* 移除迁移说明,2020-08-27 09:46:48+08:00,False
d503c1b378a469b86b892953697cb3d0e05f8e29,* 更改模块说明,2020-08-27 09:58:42+08:00,False
aba9f57dc55e7edd981c3d037c107bd6a3ccb472,* 更改模块说明,2020-08-27 10:03:42+08:00,False
5b3709d2bec0c8aaa2da139d7c672278f7df87db,- 移除不必要的类,2020-08-31 14:15:14+08:00,False
