sha,message,date,result
8087d7ed173a45e395c963a3f607f6bd370484d8,re-Initial commit,2016-10-22 19:31:58+08:00,False
ef737f69aea4ba480df8db71584d375a039b0e99,Update README.md,2016-10-28 16:00:10+08:00,False
02ae6e4ed6fd8fb7e09d68ee9f4fc06b8f15abe8,Update README.md,2016-11-03 20:34:29+08:00,False
8f8d7bfb220cebfa81822e4df6567644e28c7b1a,Update README.md,2016-11-11 13:30:07+08:00,False
a934256d8696f93e4d6db4ce6fe2ec72d59ec870,Update README.md,2016-12-21 20:19:45+08:00,False
d4f5ec1188e561688878b3c980668668079cd1f7,Update README.md,2017-02-20 11:24:12+08:00,False
a41fbc04cb089c2795e661b71f3c08560cca22f5,Update README.md,2017-02-20 12:01:28+08:00,False
8c338867dacdbea3bc566b2c029d79d6281260fd,Update README.md,2017-03-06 13:43:15+08:00,False
cb21cedbecde536a124665db871b8d586c4690b5,Update README.md,2017-03-22 11:27:02+08:00,False
a79f796d3dc8f49437674d7c7f9c7f763d63d01d,Update README.md,2017-03-22 11:27:57+08:00,False
839f10ceea37faffabad3f36f746fec912f1b987,Fix broken Markdown headings,2017-04-17 04:09:52-03:00,True
32144d9f606ea9d55ab3066eaf538f04a744e59c,Update README.md,2017-06-01 11:04:05+08:00,True
3b6d2e0bb98c57fea0a843ea15fe7fbced5590e1,Create README.md,2017-06-12 19:49:15+08:00,True
76c5d87b006c0e05ceee65f567e39523d85120b7,Update README.md,2017-07-15 14:35:18+08:00,True
50bfc916e27ac3206db0d357dba44309327a8ef6,update test.,2017-11-28 10:00:48+08:00,False
98afaada754aef75669941abbd9107611a1996e1,update test,2017-11-28 10:19:16+08:00,False
d12f89a1500eaafd02368c3325ffda5be6d7f5f0,Update README.md,2017-12-26 09:58:20+08:00,False
ed76ec13ec3cafd0f6e4a36a1b3ff594abab7561,Update README.md,2018-02-28 14:21:50+08:00,True
d73c30c2038f171b6e5f88693c4b7cc602a5f55e,Update README.md,2018-05-18 09:36:44+08:00,True
e937896d0467ad94b7b38991da26336dbcb88437,Update README.md,2018-12-07 17:35:37+08:00,True
b82ec879aa05e0442f19655e1f775d6c4e70efa7,Update README.md,2018-12-31 16:10:23+08:00,True
69e5e4c4f4bb8c992713252a817df29bebc5d079,Update README.md,2019-03-23 15:04:07+08:00,True
3c8fa7e5e2d7c756d8ce6606f9de6c9f21df332e,Update README.md,2020-06-28 22:30:58+08:00,True
b663b91d2efa80052a7b0137a0661f5299f8f7d4,Update README.md,2020-06-28 22:34:45+08:00,True
30b2bca5a231b32794afd6d5819feb398143fa83,Update README.md,2021-06-18 17:05:40+08:00,False
