sha,message,date,result
054ad54949892723aa2c1e2779987622ca895119,Initial commit,2018-05-21 18:05:56+02:00,FALSE
1a50bb813496b393f4f9d1f76ff3ed2f373d68df,Update README.md,2018-05-21 18:28:17+02:00,TRUE
a332e7422f0667a6217c1cd4ce855906cb877769,Update README.md,2018-05-21 18:34:02+02:00,FALSE
6d08ad0ab5d73b2628a3043e7e7bf410611fa10c,Update README.md,2018-05-21 18:34:21+02:00,FALSE
c4b92c220e44d88733c7b5edb35503e48bdc8124,Update README.md,2018-05-21 18:35:15+02:00,FALSE
435bfab2107489e1fca4085fb946cdb9a7776729,Update README.md,2018-05-21 18:41:29+02:00,FALSE
3638fca792dab94d7f3c39a140b9a7a1c7bcca4e,Created YOLO layer. Prep for training support,2018-05-22 00:15:15+02:00,TRUE
0b24a1d0a4159ea13db851315da0b973427850e6,Added sample to README,2018-05-22 02:30:44+02:00,FALSE
a4490e436c95835ef506b29dc3b5fc1f4b526010,"Removed output folder and replaced it with assets folder, which contains samples for README",2018-05-22 15:56:28+02:00,FALSE
1aa8a5fc56af82283a8c1e28cee16d4ef7de61cc,Update README.md,2018-05-22 16:56:15+02:00,TRUE
618c29a88f312cf2fa3d69dd3c72e00bdc1f177b,Update README.md,2018-05-22 17:01:14+02:00,FALSE
509cfaf555b81641d6f86769b98d3b22137ed9b9,Update README.md,2018-05-24 09:38:23+02:00,FALSE
1c94acf234d29d66802f8fa3d1656ff3820f3208,Deleted root datasets.py. Updated installation instructions.,2018-05-27 19:28:29+02:00,FALSE
569f8c42734ceb44eedf2c9e7753cfc2d593ac81,Training support! : ),2018-05-28 03:51:18+02:00,FALSE
5f4dac4599255bd81eaa416e610ea6af45c4f3b2,Update README.md,2018-05-28 18:12:45+02:00,TRUE
563b3f1feb947b3df24755caeb2b5df0e657b977,Update README.md,2018-05-28 18:14:47+02:00,TRUE
7fffa98b9166a03b4a53fb40202d97b09e8e9036,Reproduced author's performance on COCO test,2018-05-29 16:46:48+02:00,TRUE
6c27d540a26317ff63499037099ea60ea7c92ef7,Update README.md,2018-05-29 16:48:55+02:00,FALSE
6a8bef38407a0fac855d425b9f4ca640f3035c08,Update README.md,2018-05-29 16:50:05+02:00,FALSE
ed54405dbf3b3f2ece006534aa66786de78a2c62,Update README.md,2018-05-29 16:51:14+02:00,FALSE
18586dbe26593e915baec8daa80a028cf0a6b12f,Update README.md,2018-05-29 17:34:40+02:00,FALSE
6fe90105be83fda60221bb381428db72643e9064,torch.no_grad() in detect.py and test.py,2018-05-29 18:03:48+02:00,FALSE
036d71a5e23640850aa55d04616a6e4d7525ffa4,Update README.md,2018-05-29 18:19:26+02:00,FALSE
780a7af06a3bf4145827b22b00ae2e5aaa7dc5e5,Update README.md,2018-05-29 18:25:58+02:00,FALSE
c082298b997af5fd18def12282c6b04196a8280d,Update README.md,2018-06-05 00:02:10+02:00,FALSE
96d02089fedb7dd3003997199ee5bdf6b38fcd02,Update README.md,2018-10-01 23:44:12+02:00,FALSE
ac7bb33dd978e2bf6ecb0cf055dd6bf6c9c1ea05,Tensorboard,2019-04-19 18:08:44+02:00,FALSE
f917503ffe4a21d2b1148d8cb13b89b834517d76,Log losses (in Tensorboard and stdout) at each YOLO layer,2019-04-22 23:26:27+02:00,FALSE
e84f48e6d2de6be0e753a9253e26fe5d321047a5,Clean up,2019-04-22 23:50:49+02:00,FALSE
a68d786f6c9cb65d944c2f48eb7d219c914de11f,Adds option to compute and log mAP during training,2019-04-23 12:40:53+02:00,FALSE
76016fc8807724b838817db6fb5d36b5fa829246,Update README.md,2019-04-23 12:47:54+02:00,FALSE
a5dc4cc1b88dc2a5fb0587fd6a068cbab4da2d77,terminaltables for nicer logging,2019-04-24 12:24:45+02:00,FALSE
16dd6d087c47af12648c8ab5b2fb1fdf9824b20d,Changed log format,2019-04-24 12:57:57+02:00,FALSE
e62937664aacec1cbcd6290428270445db347e12,Update README.md,2019-04-24 13:00:07+02:00,FALSE
c2f6d3a105e87ad53dcdb9a6ad8afc5976e71f2c,Update README.md,2019-04-24 13:09:52+02:00,FALSE
8df9af98d5cf94095685f43e11df27686471d212,Update README.md,2019-04-24 13:13:55+02:00,FALSE
80c93a1c5489bf6d16745d1390e3bb4ba87dfb17,Logs recall50 and recall75. More efficient Tensorboard logging.,2019-04-24 20:10:39+02:00,FALSE
6f348d33830319e3edb66b22528b55828486fe7b,Update README.md,2019-04-26 11:49:15+02:00,FALSE
97a89bbadda0f1a1d0823651d3207960be278d6a,Update README.md,2019-04-26 12:12:43+02:00,FALSE
94556e6338c293e370f92cdf140870b19bfacb20,Update README.md,2019-04-26 18:37:59+02:00,FALSE
532570dcb715d8ba22037b7916ded06c8bb8311b,Update README.md,2019-04-26 18:39:14+02:00,FALSE
96ae969993c6f476314c2bfc639a67f83fe97239,Fix test.py and remove bbox iou compute for numpy arrays,2019-04-26 21:36:32+02:00,FALSE
ee7ea719b15e462cc1b5f3ddba1f408c3d6c135c,README,2019-04-26 22:46:28+02:00,TRUE
fc7d822664b586f896cda28c83ebe514559772b8,Update README.md,2019-04-26 23:38:30+02:00,FALSE
13b188402c5110171e14007b10b131e41f86d856,Update README.md,2019-04-26 23:40:24+02:00,TRUE
b15e5c354744cb2cd2ebf466663f381f082f967b,Update README.md,2019-04-26 23:40:53+02:00,TRUE
b591a7aecce5b8de42a0dd7bba62780675d34fce,More efficient multiscale training. Pillow instead of lycon,2019-04-30 14:43:27+02:00,FALSE
9dcac66250b2d26d9b2505ad04841f3f4b8bc2a1,Instructions for training on custom dataset,2019-04-30 20:21:39+02:00,FALSE
551d84e8e8a6e3321d13c1bfe65a8cefa58004b7,Update README.md,2019-04-30 20:53:10+02:00,FALSE
476ae5c8591697fc2c5ece31d33c0510de84719e,Doc,2019-04-30 21:23:16+02:00,FALSE
04e3cd4589708479640f4e7fc5df275c3759c960,Update README.md,2019-04-30 21:38:13+02:00,FALSE
819c140f95bec3034e15c8d21fe89a21a99202c0,Changed parameter names,2019-04-30 21:43:57+02:00,FALSE
84fec1d7400cb6aa55616ed1bc32206f89befe6c,Docs,2019-04-30 21:52:37+02:00,FALSE
66b3bb7dd8a7d8105973c96b31841a98adf5dd83,Docs,2019-04-30 21:54:38+02:00,FALSE
757ec7a9c823273004e2e9a265d3e3cd22c908b3,Add support for loading backend weights pretrained on COCO,2019-04-30 22:37:11+02:00,TRUE
f70196105d9a1bfdb2926a248f72f8a08d2ad82b,README,2019-04-30 22:43:26+02:00,FALSE
ffe68d14b9622a09ff33906a1057ca1270af2535,README,2019-04-30 22:44:29+02:00,FALSE
2d2306e8aed38d0bffb393ef615609437125642e,README,2019-04-30 22:47:14+02:00,FALSE
ffecd29b34bba788558ebe9bef286ff342ab2981,Update README.md,2019-04-30 22:56:34+02:00,FALSE
3ebeadd4197cdd6af51cb578c4528b853d00b1b2,Update README.md,2019-04-30 22:57:43+02:00,FALSE
8057adef84158e3dae64b8ff458f56e32795434c,Clean up,2019-04-30 23:00:52+02:00,FALSE
e5b68cec22112dd3fd94defaa2ddf409da54f6f5,Update README.md,2019-05-01 00:28:14+02:00,FALSE
c5c561d04c62ffa68357cff43ba827009f69112b,Update README.md,2019-05-01 04:00:07+02:00,FALSE
6442556dba137eba36ab967d94cf23e81a2c1519,Update README.md,2019-05-02 00:19:43+02:00,FALSE
424dd9a9e8203d08c169c40c9bb683a3b135ff7e,Initial commit,2020-11-28 17:35:07+01:00,FALSE
a0671d4b194d4c16ca17104336dca2a88c6ca757,Upload PyTorch-YOLOv3,2020-12-04 16:20:18+01:00,TRUE
ade7aedbbf7f978afbe6ae2aaa2dd2e224a2ffdb,Update README.md,2021-01-06 17:11:21+01:00,FALSE
7b33fe9700c2a3fa396cf6b4cc2f70de653f4d3e,Update README.md,2021-01-06 17:22:08+01:00,FALSE
4c7c18c3a195c4c8144ab2a352b12508e2c52934,Update README.md,2021-01-06 17:22:48+01:00,FALSE
c9defd144c7e34e2b96c9a60fafef7fd7ad87fb5,Update README.md,2021-01-06 17:24:15+01:00,FALSE
8eea432831a74d3cbeed4ecb79097db893ee8488,Update README.md,2021-01-06 17:33:16+01:00,FALSE
555f798ca86310f51e754b85ff9d3545b8634602,Add logdir param,2021-01-15 16:09:58+01:00,FALSE
dc8dcd918f900a49213b09a2852b140690755cf8,Cleanup argparse,2021-01-22 18:33:28+01:00,FALSE
b6c5dab93ea13a7eb94621cddec7e7e782c1cc47,Update README.md,2021-03-17 10:58:31+01:00,FALSE
42c7b04258da82dfb48b4d3c0690dbadb6152e99,Update README.md,2021-03-17 10:58:48+01:00,FALSE
3952b84aba674e4ce3f4b17b8d68327d7ed5739d,Adapt README.md,2021-03-24 14:02:49+01:00,FALSE
306653dfc2f13f783056687e92395495363f5471,Add better image size handling,2021-04-08 23:47:47+02:00,FALSE
46cda3af275843e256485d58b065d59e168237a8,Update readme,2021-04-09 19:58:25+02:00,TRUE
2cff252e5c19f4952a19e20538f1be2b462c9f35,Update README.md,2021-04-09 20:18:12+02:00,TRUE
a62c5a0e7a58ef48db1efecee5f2709778ef51ac,Use absolute image path,2021-04-09 20:24:12+02:00,FALSE
35ae3f90ab62dd9b008b3e6e2e811b840f560871,Other formating for readme,2021-04-09 20:52:02+02:00,FALSE
33220c7da1c0ad1ff5c97352ef2ecd7c2899d61b,Update README (again),2021-04-09 20:54:57+02:00,FALSE
a1cc8aa76d8e569feea6bf2dcdf2040538b3c1d1,Add poetry github action,2021-04-09 21:36:45+02:00,TRUE
a56883196aa575187a93e6e8893b2ba9743d451c,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:05:45+02:00,TRUE
72894bc5c3446dcade2f089ca53d7c446734e1ee,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:06:04+02:00,TRUE
1490deddaaba8a3474b4b40e6beb68d93a1aa798,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:06:11+02:00,TRUE
dd1cbd678af261d138617cbd71c231028aeb0dd8,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:10:55+02:00,FALSE
0add0b260f9a886a3e1f143835adf8f3b7718d2f,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:14:25+02:00,FALSE
6ea99b43fc18f1d66e901d28cef522f017949d01,"Update README.md

Co-authored-by: Jan Gutsche <34797331+jaagut@users.noreply.github.com>",2021-04-16 17:21:45+02:00,TRUE
7c0381fa752283119cef53ea7486663b5cc0a995,Add API example,2021-04-16 17:35:34+02:00,FALSE
