sha,message,date,result
e24c2c12477d5926e8594fb1101ed339206e90ce,Initial commit,2015-01-29 05:12:58+01:00,FALSE
6a1789c54190965b8ac439313239aa44ff3de515,Updated readme with short description,2015-02-01 19:30:56+01:00,FALSE
2a6de6ee4af5544d6762fc3e79f95e173487bad0,Added link to wiki doc in README.md,2015-03-06 14:26:08+01:00,FALSE
b58a84e7dcad4ee3274999cd8e7ba3640d1e563a,WORK IN PROGRESS,2016-01-29 12:04:16+01:00,FALSE
341965bcd8b826d5ca974441903c8b191d787222,"updated READMEs, added setup.py",2016-01-29 18:14:53+01:00,TRUE
af62fe7941fa7f9d2d030005f0bae80e4f6c530c,fixing pull error,2016-02-01 00:39:18+01:00,TRUE
30b3bbd2afe7f7dd44201be842d0dd5ed6e0bc33,"copyright and GPL3 licence, updated TODO",2016-02-09 19:36:12+01:00,FALSE
0cd91771d47c541d1cc4ee33119ca5ca93403fcd,"Improved installation procedure

- new abkahzia/share directory storing external data
- new configure.sh script
- updated README and setup.py",2016-02-10 17:13:37+01:00,TRUE
5502dd46461cc16b1b45784a22a61f7a47efd3a8,"Improved installation procedure

- new abkahzia/share directory storing external data
- new configure.sh script
- updated README and setup.py",2016-02-10 17:37:32+01:00,TRUE
277cac48477298a2ba1717cac155131c6875565e,smart preparation of wav files. minor bugfixes.,2016-02-12 17:41:28+01:00,FALSE
4971c137cf2167a0f292cf63aadfbaf83d3ab0f0,fixed doc error,2016-02-12 17:47:41+01:00,FALSE
e00684c31c9ca0a0d35149a29b0decef51eeb093,updated doc,2016-03-01 20:31:27+01:00,TRUE
b9205564510f6feb7c745cfea6c6def530c8eaf7,global --config option to overload defaults,2016-03-02 20:12:03+01:00,TRUE
45342a878c4e67bbd47f0d6acd5d82b49312dd5f,improved installation instructions,2016-03-09 13:58:10+01:00,TRUE
f0b4a4642cc31ee3fabdc6829aa8ba1eb7fb60ac,safer configuration when reinstalling abkhazia,2016-03-09 15:21:03+01:00,TRUE
9f78a6a7b9766474591d0f4a62069c93899bfd4d,solved language model bug,2016-04-03 15:02:20+02:00,TRUE
86449e4c97f3f8edfdf028eedc76ac34bd46fc34,"minor fixes

acoustic update related to the recent refactoring of language
removed s5 in recipes path
improved explanation on install_kaldi.sh",2016-04-06 18:02:29+02:00,TRUE
9e10b6f9e3b683669c07820338057957096c83f7,improved comments and docstrings,2016-04-06 22:23:42+02:00,TRUE
683d6de61902024d065afdf0b3d85e2b8dad30c0,bugfix in cha cleanup,2016-05-29 16:47:52+02:00,TRUE
870f99d5ab9c30c097df9bc02194da29ff01f319,festival checked in configure,2016-05-30 16:23:30+02:00,TRUE
099ea5b2e7282b6206b552d73807d172a96388d1,fixed typo in README,2016-05-30 16:27:31+02:00,TRUE
4d9d28d8ed6c49651c922ea219d4423948c71f93,"changes in the project structure

log2file -> logger
prepare -> corpus/prepare
kaldi -> utils/kaldi",2016-07-25 17:50:44+02:00,TRUE
597916a75fac4c0ceef97520c3222307d8e6ab84,updated doc,2016-09-15 11:53:59+02:00,TRUE
cbea4e11dfa5cb97a6841c4795ae3e106e1e3361,updated README,2016-09-22 23:49:34+02:00,TRUE
91ea68ca7342604fa607147371f4bfbba950085a,Xuan Nga -> Xuan-Nga,2016-09-29 11:36:15+02:00,FALSE
4fb4ece198611e0fa1dc7498c83e890907bfae2d,WIP debuging dnn/decode,2016-10-05 15:02:12+02:00,TRUE
e08443274cc79fca011dc3059a868a6e896d8d5d,updated doc,2016-10-06 23:43:42+02:00,TRUE
0825edd0dd2f46cc87e5a9a2921dde928aacfc8f,updated doc,2016-10-07 15:28:32+02:00,FALSE
f5379eefa4222ea32557b49916f025a594588296,doc updated and minor fixes,2016-10-18 19:59:04+02:00,FALSE
18a41fae8b17aa3ea0ac07303c3f6cddf3b2eff3,updated copyright,2017-07-18 18:25:32+02:00,FALSE
db54e97195c0ec6f6c88a512e5a7c84cbe8570ab,added preparator for KCSS (#13),2018-01-08 11:34:43+01:00,FALSE
1d79e416b31b635f44b070920585dddd79b45754,prepare for abkhazia-1.0 releae,2019-10-23 18:38:16+02:00,FALSE
d0634aa82e5b5d8a851f7f32cf232f22d223c20e,updated README,2019-10-24 12:40:53+02:00,FALSE
6630f018d7cd08e68a0a7dc23f28b45f5ed4c57f,update documentation url,2019-11-04 18:06:09+01:00,FALSE
1d85fccb3e91cec38f56668216875dc880fb93f3,updated README,2019-11-12 15:10:08+01:00,TRUE
760ed0a856001e77cdb8cb56fb7ebdd6400e3414,typo fix in README,2019-11-20 11:37:05+01:00,FALSE
b13b69929bbaa4684af974763e56652160edfa49,updated documentation URL,2020-05-12 23:53:35+02:00,FALSE
dafb288e5569a46bd3da803cfeb04a756d4a8436,updated documentation url,2020-09-22 23:12:43+02:00,FALSE
