sha,message,date,result
594144cfa71173287c883247dc479b648966f9b9,first commit,2019-10-09 13:50:49-05:00,False
28c3a62fd575b64acd43fe301ba0004058959e2b,Update README.md,2019-11-25 13:54:24-06:00,False
98a8466dc226a6dfe09716b6d6fcbaeea8568857,Update README.md,2019-11-25 14:43:33-06:00,False
3d2f2983262ab67c78de026cebb561c7b32c178e,Update README.md,2020-02-04 12:37:46-06:00,False
6b02ea431bde7c49549f9d2edd97936cc7ee63d0,Update README.md,2020-02-04 12:38:15-06:00,False
f98dce105b4ba2193fbcdf679c4021f6f3f76722,Update README.md,2020-02-04 15:01:11-06:00,False
f9754bcea1e7181d7c27b4b5811847bdaddb74f6,Update README.md,2020-02-04 15:06:31-06:00,False
2ea1de7e14e5e917d340166bc454bc0f3769dbd4,Update README.md,2020-02-07 11:17:11-06:00,False
dd8e693264ef46668d5ea6493f95c7147e50c51b,update to make excel file and all in parallel ^^,2020-04-16 11:52:59-05:00,False
f7e4e7197d019101e8b950381b4c0908e72f533a,Update README.md,2020-04-16 11:54:22-05:00,False
3a1243b47d64e84e4adff2c4d175af3f14d12f43,"Update README.md

added explanation of install",2020-09-15 15:04:55-05:00,True
a37a1a51cd651722db3c3c2772bcc8902cd07c14,"Update README.md

Updated to latest API, moved installation guide",2020-09-15 18:49:14-05:00,True
21007340a27a1554089e3f86eda8138ed1ad72e5,Update README.md,2020-09-15 18:49:26-05:00,False
5f52c5383b744a4b5bd7c0ba5340897f47bacb22,Update README.md,2020-09-27 22:04:57-05:00,True
37660f61093c92f1d9cacb842cc7921c7b6f6849,"Update README.md

update wording",2020-10-20 21:59:55-05:00,False
9b572dfecf0c13f917367a8043cb12e4a5847edd,"Update README.md

update terms",2021-01-04 10:56:38-06:00,False
2af8575394cfe1ce725d15cef9bbedfe3bf6aeec,Update README.md,2021-01-12 10:04:44-06:00,True
22bc5de4b54398a8907f36ce993297564376363a,Update README.md,2021-01-12 10:06:28-06:00,True
c9c410f265e2a62cda4ea2ee68bb7032176adafa,Update README.md,2021-01-12 10:06:36-06:00,True
e23d6ed808b92cbbbc992e4c35bbf9006d0c0f98,"Update README.md

Add paper reference",2021-03-21 16:30:02-05:00,True
32c3ff8e66066e7fa7daf064738adf4a560a23b8,Update README.md,2021-11-11 10:19:10-08:00,True
133f97a912121de9c488cd90a058a5abc00a60d9,"Update README.md

update paper link",2022-03-23 10:07:47-07:00,True
0c75948adffaeb640482b026f519c08cd64970dc,"Update README.md

Added a section for 'quick use'",2023-02-16 09:41:33-08:00,True
6614e35afcf78a835cf6123181f980b052f3eb36,Update README.md,2023-03-03 12:41:58-08:00,True
758978ee68ecdfd6d6619759e98bc940c1a285de,Update README.md,2023-03-21 11:43:15-07:00,False
