sha,message,date,result
ea14664c6a79be6eb376f066df9b3c6a474e84b2,Adding original files from https://code.google.com/p/poca/,2015-05-31 14:52:42+02:00,False
ddc6b1428acef1c815327aeaf51b38148cce2bde,Updated readme install and dependency,2015-09-08 21:54:02+02:00,False
b34b82b50abc720f7abb2f17ce572402515693b3,updated README with dependecy info,2015-09-09 11:09:53+02:00,False
290ad89ee12131a57092bf3bb0556aec6e7ece3e,README: Actually we don't use pysqlite in this branch,2015-09-09 11:15:20+02:00,False
e348644609ec5181df6192a860d03ec543ee39a3,README turned markdown,2015-09-09 11:37:41+02:00,True
e35a1ae9b4b9dae371a1e714b01d67011515ed20,fix markdown,2015-09-09 11:39:59+02:00,False
b2213914c11ed61e51bdf1d6d9b198969967556c,fix markdown 2,2015-09-09 11:41:24+02:00,False
8deced3e05d3ecb19848c91fc9d231d3709247d6,no eyed3 dependecy currently,2015-09-09 11:49:03+02:00,True
3f4b6a901cfd378ea06442c2e49b676bb461c6df,"readded id3 tagging using mutagen, not eyed3",2015-09-09 21:17:52+02:00,True
331650abf5326d9cf22322a97c87c5163217b9ac,Updated readme with functionality progress and dependecies,2015-09-10 09:57:44+02:00,True
42fb1e4ee171f04b28f3c30a0bc697f27ae85a7b,readme updated with progress and future plans,2015-09-10 10:08:38+02:00,True
b8804e47fa8ea64163a994253aefba4672444fb6,0.1.9 version numbering and future plans,2015-09-10 10:32:26+02:00,False
ac757e5f43472f9ae7f32855387835aae9583dac,added file renaming as a goal for 0.3,2015-09-10 13:08:47+02:00,False
cfd9e6550a2cfaadd234775a6ffb19a2f0eb124c,README.md updated to reflect 0.3alpha status,2016-02-28 17:00:15+01:00,False
e537af51244f1d514ced06c6733f81f9397a9d1f,Update to README to reflect current alpha development status,2016-02-28 17:05:04+01:00,False
66641b1090d17aff083a14a197688333fa7bc1f5,Getting rid of 'unwanted' class; updating example conf to 0.3alpha,2016-02-29 09:57:22+01:00,False
a63a42f851a0346c646278b23977c7749235e3a1,updated README.md to reflect non-alpha status,2016-03-01 22:05:51+01:00,False
1b652c18f1d83ff61b9e4f1849bdb3b70a206b0f,updated README.md,2016-03-05 19:23:13+01:00,False
ac1d903488b569e1311032441a5f921388eefa31,first beta of py3; functioning port; limited testing,2016-03-07 21:24:41+01:00,False
58b286f49c38d6b17f1ab1a66f47512d6a1d93a5,updated readme.md to reflect new python 3 reality,2016-03-07 21:31:40+01:00,False
f598d5ca8c8780f6963adadf3576c918b6e6ed8d,bad markdown on code snippet,2016-03-07 21:32:30+01:00,False
