sha,message,date,result
f03fd348c2068e1c02c6072f50eac435cf4fee42,"Init

Signed-off-by: Denis Neuling <denis.neuling@daimler.com>",2022-03-29 08:43:12+02:00,FALSE
70a3ad5ea6ff32b6115e6094d87bdc92b4533e68,Add initial documentation (#27),2022-04-14 15:24:30+02:00,FALSE
492e834c4119d7fdd015d0b5c0430b4e636320bd,"update README.md

Signed-off-by: Dominik Pinsel <dominik.pinsel@mercedes-benz.com>",2022-05-05 10:05:19+02:00,TRUE
a02601306fed39a88a3b3b18fae98b80791157b9,Milestone 3 Docu (#132),2022-05-13 17:34:23+02:00,FALSE
861afa06ccaf378b5a14ea89fb485221fac060b1,Release version 0.0.1 (#135),2022-05-13 17:58:07+02:00,FALSE
3485bd73082101fe660bb68c3de4381b41aa5d37,Remove edc-controlplane-cosmosdb (#184),2022-06-07 11:25:56+02:00,FALSE
e4c1b89383ec52cf19cf4182e3c1d1fe944ed4f8,Add hashicorp vault extension only with Token Auth (#175),2022-06-09 16:49:45+02:00,FALSE
c713c2b6ca87a5f9ad891025de285e093cc90369,Release version 0.0.4 (#230),2022-06-27 14:15:32+02:00,FALSE
bd4a6765910124ed8d01ee49c95b813e6c8aa1f1,update documentation (#231),2022-07-07 12:02:30+02:00,FALSE
dc4b40c547b8412e0166497e712f335766b3d11a,Release version 0.0.5 (#306),2022-07-28 11:45:45+02:00,FALSE
e9a9b2de60eb30cf06bb30328b0adeb746a23862,Update product-edc to use EDC version v0.0.1-milestone-5 (#302),2022-08-08 13:10:26+02:00,TRUE
549bb0a21d33334c55945e02edbe4e30edd06434,Release version 0.1.0 (#361),2022-08-19 11:50:21+02:00,TRUE
e10f01acc37e98ab4d64b419f0997c28e4167c65,update README.md (#391),2022-09-06 10:21:37+02:00,TRUE
846473b8539327daca3fc54ed5e08e9a69014566,update edc commit to 740c100ac162bc41b1968c232ad81f7d739aefa9 and resolve build errors (#431),2022-09-26 15:48:43+02:00,TRUE
aedbf25ff6d319aa53b3fde429f329d3c5df3bc6,Release version 0.1.2 (#441),2022-09-30 15:29:21+02:00,TRUE
c1b8affe8348ccaebb04d3ee080770341cb593e7,Add windows command in README.md for EDC Submodule dependencies (#447),2022-10-04 11:50:15+02:00,TRUE
194c6040addcd247442ebbd8b49722329e9923b1,Release version 0.1.3 (#571),2022-11-30 16:58:37+01:00,TRUE
b269bc3e26d7c388b291901fa83f0087874573bd,update link to edc logo in README.md (#612),2022-12-20 11:10:06+01:00,FALSE
35fd3426dd60b6e11de85da030514f26c9951742,Local TXDC Setup Documentation (#618),2022-12-21 14:04:16+01:00,FALSE
a0c7ab8b46afd6d234a7b7eb0e063d313bf85641,remove git submodule (#619),2022-12-21 14:53:15+01:00,TRUE
90e4cbfe3a8ec456bcb563077ceb141dc363a76f,Fix not working docu link in README.md,2023-01-16 09:16:50+01:00,FALSE
