sha,message,date,result
609178d21c6957867e07417b6adc43e50d9e65e6,Initial commit,2012-08-22 10:35:13-07:00,FALSE
5784a025b368dd399a3906a306800d66a3410200,Update README.md from google code,2013-05-25 09:39:46+08:00,FALSE
af01a2d83bbadbd35183a38b139e2255d6fa3df6,update README.md,2013-05-25 19:48:26+08:00,FALSE
3ffe953376e0a60f72b635d774e8de5350f9002f,update README.md,2013-05-25 19:50:50+08:00,FALSE
e4f6957b5d82b03a63a7f2ac45c519a7a4f32480,update contributers,2013-05-25 19:53:46+08:00,FALSE
19fbc041c087165e3afdddb30a7c04597349e843,update contributers,2013-05-25 19:56:09+08:00,FALSE
b169713bfef0aace3cb5886128a234ea33c94bcc,fix typo in README,2013-06-08 13:27:47+08:00,FALSE
e8cd58caae0930fb8123cbcc0b449458879f4660,修改了错别字,2014-07-16 20:58:47+08:00,FALSE
fd430b59a76c83f54b5fbf4bf8eab85cbd1cbec3,Fix a typo,2016-06-20 17:15:45+08:00,FALSE
2252f2df7e7ec3b3a6c4992b7aef1799651400d0,Add CI status banner,2018-07-06 13:25:51+08:00,FALSE
6b911fb704e7db10c31239fd1bc75126e2129cfd,Fix title,2018-07-06 13:32:26+08:00,FALSE
d4cd9f1d5f199e7de6a7ede704a73ce4b27ab2a5,Update README.md,2018-07-06 13:33:17+08:00,FALSE
f42e0202a5432ed139854e6936c0f646833924a5,Update README.md,2018-07-19 12:46:59+08:00,FALSE
ab4033aec29dc6bf53427c7b31112109723fe2d9,Update README.md,2018-07-19 12:48:09+08:00,FALSE
0da777a8d72c90b530cfd087088ae5163cde6acc,Update README.md,2018-07-19 13:19:23+08:00,FALSE
69f9c2202595c5ed15a42965c3e2192b3cfd5d78,Update README.md,2018-07-19 13:26:28+08:00,FALSE
373fbadad3f6fcd6f70cd797ba5d493682d62982,Update README.md,2018-07-19 13:27:21+08:00,FALSE
e0d52b9b4ecbf8a8d95873fc310f5c3d3bd5a4bd,Update README.md,2018-12-28 10:20:23+08:00,FALSE
464d3715bffae8e756dfee05f6a92cd37d1db8ed,Update README.md,2019-01-25 23:09:18+08:00,FALSE
746709909f3a17c614769c1911df55e0e3a070cd,Update README.md,2019-01-29 22:51:44+08:00,FALSE
96ee65870b517a133ee5924e3f611b1d34f9e545,"Update README.md

Add an ASCII art based LOGO",2019-02-23 17:27:13+08:00,FALSE
de0e8f0f1f6bdf609298fa9571652aeaa14210a4,Update README.md,2019-02-23 17:28:12+08:00,FALSE
2bee2d33362270437ff8b95cd1384abcd014fcbf,Fix vim QuickFix mode issue,2019-02-22 00:15:56+08:00,FALSE
af28cdde979c02a471981f5ac4ae9445ba2fdc02,"Adjust doc structure and content (#487)

* Adjust doc structure and content
* Add doc for scala build",2019-03-09 19:37:12+08:00,FALSE
d96796055964a8b4935879a9be3a18f75fde26f4,Update README.md,2019-03-17 22:25:31+08:00,FALSE
02797cc7431aee8c6fae72c5d114a7ee835d2784,"En readme (#503)

* Add English README",2019-03-18 22:42:44+08:00,FALSE
c60cacc8838c44a0c7704081c5068db7a23b38cd,"Upgrade lowerest required python version to 2.7, resolve #506 (#507)",2019-03-20 00:16:32+08:00,FALSE
091c08fc06799d353b8eea01e54760e883eca37f,Update README.md,2019-03-20 16:48:27+08:00,FALSE
da0185e074609abec29a8475750aaa0729b4ba39,Update README.md,2019-03-20 16:52:41+08:00,FALSE
196a269c091e54fd1865d660d2ed753de7bc7881,Update README.md,2019-03-21 13:33:05+08:00,FALSE
fce502c3051fe88fa1a47c46697fa5dfd1c9884e,Update README.md,2019-03-22 15:03:31+08:00,FALSE
c220077eb31d456a775ee01b89dfed22cf41cbec,Update README.md,2019-04-02 18:55:54+08:00,FALSE
9813886addae650279315e2bffafa1ff20982cd4,"Add part of English Documentation (#535)

* Add English documents",2019-04-16 01:04:09+08:00,FALSE
8bf0f7cbb3dc3a72daadc9484a7730ffc331f30c,Update README.md,2019-04-16 01:05:08+08:00,FALSE
77bfc124bf4bb364feb021105580c97f08f84462,Update README.md,2019-04-23 14:58:49+08:00,FALSE
2ce79934725758944c64d11901e52b1a44ec5927,Update README.md,2019-07-25 17:30:13+08:00,FALSE
9b1b8f4dee3c29525337997ab5bc4e71c63851bf,Update README.md,2019-12-27 14:32:45+08:00,FALSE
2aab72dcab1aaed490a51200c248787faf930448,"Update README.md

Add screen record video",2020-04-09 00:50:22+08:00,FALSE
c00e68c963469899536e805edbeeafa5f4a5e153,Update README.md,2020-04-09 01:19:11+08:00,FALSE
d1aec32c9cf91e893e01d0f0acb03ff141cdab9c,Update README.md,2020-04-26 15:38:47+08:00,FALSE
55576dd030bb12e00e089567bc7ba2611644133c,"Remove scons related code and fix CI

* Remove scons related code, fix #448 
* Fix all tests
* Fix CI
* Test Coverage
* Improve foreign_cc_library
* Fix bug of 'proto_library.target_language'",2020-05-18 15:21:53+08:00,FALSE
92296854695c0e90b922d56cbb7a15815bbd0fc1,Update README.md,2020-05-19 23:26:11+08:00,FALSE
3a3ded0897ff0d851cd475011e36bb22a0763e88,Update README.md,2020-05-19 23:27:37+08:00,FALSE
a3496e9dea69679a02a77d9d0b81cdc7ce186e86,Update README.md,2020-05-19 23:28:56+08:00,FALSE
fe986450bcf095863be1d30a11bf409d8822f290,Update README.md,2020-05-19 23:30:00+08:00,FALSE
4244c12b996726038935b37d783ce9947ff4bd14,Update README.md,2020-05-25 16:29:28+08:00,FALSE
4f4db04e1684466e7d7a99f865a699eb54ed2c7c,Fix doc style (checked with markdownlint),2020-06-02 18:38:19+08:00,FALSE
9e32e96c01f732507e2e0f1150fb546fd741d59d,Add badges,2020-07-30 17:21:35+08:00,FALSE
c87dcd54ab9dcebac8d358f7b01df050f3f94111,Update README.md,2020-08-09 12:08:07+08:00,FALSE
969c561d245199382fe407f1541f887dc14039fe,Add codebeat badge,2020-08-23 03:41:24+08:00,FALSE
c152cf306a5ff98ec6400d3fad0517bb12b662d9,"switch default README to English (#752)

* switch default README to English

* demo

Co-authored-by: phongchen <phongchen@tencent.com>",2020-12-24 18:34:33+08:00,FALSE
3ff04a65a3c72a6a77b13b72b7d0328cdc68ab4c,"V 2.0 prepare (#761)

* prepare for v2 release",2020-12-30 01:26:05+08:00,FALSE
53bbd5e96b30fc0576184a2642ce346fc61f19cf,"Update README.md (#796)

* Update README.md
* Update README-zh.md",2021-01-26 22:51:57+08:00,FALSE
437185e47505ab6b99657d8829a4fd262e7a5fde,adjust doc (#839),2021-02-10 17:26:38+08:00,FALSE
53f9c09bcd86697047b7a584794ebf22ad663f09,"Markdown ci (#841)

* check md links
* fix md lints
* add hdrs to cc_library in docs",2021-02-10 18:37:31+08:00,FALSE
7040eb90e621948b803c6e850300cff142086802,"Update README.md (#904)

* Update README.md

* Update README-zh.md

* Update README-zh.md

* Update README.md",2021-03-02 11:45:46+08:00,FALSE
697ddc0ec96173785c25eb17b3c1ee4dc2040352,"Add stargazer chart (#924)

* Update README.md
* Update README-zh.md",2021-05-09 00:27:35+08:00,FALSE
087b352f34af2c5f8d11a27848c5b410dad9c8c7,"Fix typo in README (#950)

* Fix typo in README",2021-08-04 23:12:03+08:00,FALSE
517c57ef8035f2566d10a5d4ca9de26f8e84d59b,"doc: Add download badge (#991)

* Update README.md
* Update README-zh.md",2022-09-07 15:42:41+08:00,FALSE
f1807f8aa1d2b50cad135a3c797ae42a92c82f28,"Chen3feng readme i18n (#993)

* Update README.md
* Update README-zh.md",2022-09-07 16:12:59+08:00,FALSE
