sha,message,date,result
9c6d040b5f0e4e9c0a52b9e2c01e5a87f8dc5851,Initial release of RISC-V instruction generator,2019-01-23 00:12:23-08:00,True
667743dcfbd26b99b1af146b004a6c9f3c2cade5,Fix some typos in README,2019-02-07 00:39:32+01:00,True
a83318dc7e4ad13f963bffd5ebf509976bbe2388,Add ISS support for risv-ovpsim,2019-02-16 21:17:11-08:00,True
f738e2ff572ad8ee8a04e5bc93414434c832766d,Update REAMDE - add link for the user group,2019-02-16 21:32:44-08:00,False
4fa77f7eb2efa267d5dabe34dc09addaaaac33a5,Fix typos/grammar in README,2019-02-22 13:15:55-08:00,True
9a78d65f6fd0bdc1c00d723a790c6dc74a7f804b,"Revert ""Fix typos/grammar in README & code comments""",2019-02-22 22:28:37-08:00,True
e4c3172a5e85978ffe6a47722ebf297cf50e4e39,Add illegal instruction and HINT instruction support,2019-05-08 19:22:33-07:00,True
87288bc81afc824ce9c9ce8ada3e637bd3181673,Document support for Questa,2019-07-24 16:05:46-07:00,True
ad283b434b6025442f746efd0afef986c00e7950,Fix typos/grammar in README,2019-07-26 11:16:38-07:00,True
bb20e411e10cd199029e03a6afdece2ac2110d1c,Update README file for the new flow,2019-08-01 00:16:13-07:00,True
2d9015fa310becdfb38e4494aaf09330401522b0,changed formatting of generator option table,2019-08-01 13:15:28-07:00,False
db2a5dffd0cc6ae58d240dae10e2c337a3f88b4d,Fix README #54,2019-08-01 15:49:21-07:00,True
8816e5accdb6e21da20132c9dc62ba186526b3c3,Fix typo in README,2019-08-01 15:54:24-07:00,True
1c5700e743b1b78b2e9834fb0f68dd9f46182b5f,Update the README.md to match command reference from --help,2019-08-01 18:03:58-07:00,True
b91832748ecab6f7d748cf4e5c8c973e6b87001c,minor update to README.md,2019-08-02 22:47:50-07:00,True
080c809301ad9e1270617c67fc31d93e34f5303a,"documentation, and small fixes",2019-08-08 13:28:34-07:00,True
57c18be97906455a90069e86fbeaf1749be4df8b,refactored test generation logic,2019-08-08 16:50:24-07:00,True
049fa68369b6a90d2b95934a3063ea7dd903e88b,"Support SAIL-RISCV ISSi, update README",2019-08-14 23:16:08-07:00,True
3be3ab986d020248fcda180ae59213411bcea52b,Add basic debug test functionality,2019-08-15 17:06:51-07:00,False
3c538f39b539d5803a31fda44907153e7d2c3460,"Add debug sub-programs, and extra options to generator",2019-08-20 17:37:38-07:00,False
e91c722636209122f3b689e57ff20d5a1a0fe3e4,"minor fix, update README for A extension support",2019-08-23 23:29:19-07:00,False
