sha,message,date,result
75a92e1b8f17874272af36f96e41a2fed0a165d1,initial version,2019-06-08 21:55:37+02:00,False
59a4450869ccd0e048cdde76608787c6c6e65bbb,Update README.md,2019-07-16 21:19:24-04:00,True
fbcaea8d0ecbbdf8979aae9acc3d8b98d1e8bf55,Update README.md,2019-07-16 21:20:14-04:00,True
2a310faf8fcf103ae29fe687d13c932b394285fd,Update README.md,2019-07-19 09:34:02-04:00,True
cc02f96a2e32c2bf31e933a36162349bc4f1e224,Update README.md,2019-07-20 10:56:49-04:00,True
56a0d827c8a4fbfd7b9d0b645c2d7870b45195bd,updated documentation,2019-08-22 10:14:28+02:00,True
0fe7861aa77b95aa3625d4551269b91817db5fc1,updated documentation,2019-08-22 16:36:58+02:00,True
58279b1d5cbe84f084ae1b0b73f92fde79b39c14,added CLIJ2 api reference,2019-08-31 22:46:58+02:00,False
7ef8892fdda78f1d4bf2726fb5c4b185203480a6,added links and logo,2019-08-31 22:50:40+02:00,False
963735e061403aed30d990ebfa55091bc298f08b,Update README.md,2019-08-31 22:51:30+02:00,True
9dd68f29952739f8ce6c40299e47356ea6ed02a5,Update README.md,2019-09-15 19:13:04+02:00,True
34f927960b1a6aa327e50098ea5383157fa92339,Update README.md,2019-09-16 08:24:20+02:00,True
9df32c52b9739866cc6868d82bc538a52f548399,updated links,2020-03-10 21:27:46+01:00,True
0d58db286300df17a27a105e17d41454b10d95ce,Update README.md,2020-05-05 09:34:59+02:00,True
c597eb511044b716ef1b747e42c081b842f0b531,updated readme,2020-05-06 12:56:58+02:00,False
e29d6b8dbbe43e014533a7fcc8cba5d94c03657f,updated acknowledgements,2020-05-16 19:50:34+02:00,False
87988300d4731bfcc501c3ea3eef4c123583d241,updated acknowledgements,2020-05-16 19:53:25+02:00,False
d1f10d92c840b3752d39feab08f14261333f83f8,added Marion to contributors,2020-05-27 21:47:14+02:00,False
457141233b668933072616152974a8019b7159b7,updated website,2020-06-12 22:15:50+02:00,False
692346dbc9aa0481b9aec39011ba90124b24eeeb,fine tuning text,2020-06-12 22:32:30+02:00,False
c4617f3f2da6d8c5858b8c86b67f04cc1fd15145,links to media,2020-06-13 00:11:45+02:00,False
4daaeec94786aa645797c739be1cd702e687a162,fixed link,2020-06-20 21:47:57+02:00,False
0178857f0b0e561c5cf17376234f64af475acd4c,fixed broken link in documentation,2020-06-23 13:30:12+02:00,False
d9cc59d75f8450458ee481ff4824a523ccdcd726,update home page,2020-07-28 22:37:28+02:00,False
16fd7b8c3378b49c8d096e098c23914abeaec147,link to imagej install,2020-07-31 09:29:52+02:00,False
1e8a9629358130929af1bfaf148c53aaf8de5c2d,fix broken badge,2020-11-05 18:38:06+01:00,False
7db1c32838324901187ffd6b2251b93a6b5ccba5,link to assistant,2020-11-22 17:41:55+01:00,False
f1d19197ba289ee0fd0989e382edb2ceea196917,updated readme,2021-02-21 17:54:30+01:00,False
452a941627e989fb4fe6d02641f20133b003c96b,update website index,2021-02-28 13:29:27+01:00,False
24ea9a0bdf0e7353ffb8dd26cb351be9ac7a255e,added acknowledgement,2021-06-12 13:43:57+02:00,False
5c716fb414c57a42617490e8135bd07d3c4044d9,update website,2021-06-13 08:52:42+02:00,False
382d45f6d3e3cfa376f4f2df5e36ce14f7a00cb0,"Corrected typos

Hi,
I just corrected typos in the word assistant (previously written as ""assitant"").
Thanks",2021-10-19 13:16:12+01:00,False
6f794c6cb708e89937ebebc4619a8b90761b8a1e,updated acknowledgements,2022-07-29 15:18:54+02:00,False
