sha,message,date,result
6aca667f35091e4442c60464a97448dae5f0d273,Initial commit,2019-03-20 16:37:14-04:00,FALSE
faee879905c5037312d5fc80cef669ce2b4f53fe,"Scaffold flask application

As generated by:
    cookiecutter https://github.com/candidtim/cookiecutter-flask-minimal.git

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-03-21 14:15:27-04:00,TRUE
15c4e3d2f3117368a8c5eb72f73a6112567447be,"Cleanup cookiecutter bonanza

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-03-22 17:41:06-04:00,TRUE
26fed60b17411de8bd2a048e55dc76d43c38d070,Reorganize cachito to use the web and workers subpackages,2019-03-27 10:58:20-04:00,TRUE
3078cf49fa1979e8a3fb8bf9558fef58e41f6db4,Add the ability to fetch the source code from the requests API endpoint,2019-04-24 15:44:11-04:00,FALSE
c389b344329425f1f1f45913660a66cec1f88986,"Add shared dir config

The shared directory is used to share data between the workers and the
API frontend.

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-05-08 14:30:26-04:00,FALSE
34d86e1ac46e4c57ff196b915ffcf533d1680947,"Add API endpoint for listing all requests

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-05-13 14:41:22-04:00,FALSE
35df1039208d67fd4c965a91ab78ec67737ee733,"Add support for user authentication

This implementation relies on a web server that supplies the
`REMOTE_USER` environment variable when the user is properly
authenticated. A common deployment option is using httpd
(Apache web server) with the `mod_auth_gssapi` module.",2019-06-11 10:55:24-04:00,FALSE
f4d25ac76c82a968f2df10c1d4a7b1a844acec7e,Document the cachito_auth_type configuration,2019-06-17 15:35:35-04:00,FALSE
379d5981ce7cb3bf19b338f3f21b1ebeafafb17f,"Add information about pre-built container images

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-07-01 13:30:29-04:00,FALSE
f8a0f4226b0f01baaedfb124bb8c81a134af7373,"Document usage of master container registry tag

Quay is supposed to tag images as latest if it's building from the
default branch, i.e. master. This is currently not happening when a
custom git build trigger is used. A PR has been filed to fix this
behavior. If/when approved and deployed, we should revert this commit.

Quay is currently closed source so not all will have access to its
private repo:
    https://github.com/quay/quay/pull/3530

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-07-01 16:06:37-04:00,TRUE
1ebddf42ca107767ae11e6bff563bda9856c8081,Prefix MAX_PER_PAGE with CACHITO to be consistent,2019-08-06 13:44:58-04:00,FALSE
09ab0c5287f99443bdd2f241fb6b0c96c7b7164e,Alphabetize the configuration section of the read me,2019-08-06 13:44:58-04:00,FALSE
b88254dfae9f078b31bfcb19f5a7f99eda64067e,Add missing documentation about how to configure Cachito,2019-08-08 15:45:59-04:00,FALSE
779530fd70813126a202a90baa242c6dfd5bb766,"Revert ""Document usage of master container registry tag""

This reverts commit f8a0f4226b0f01baaedfb124bb8c81a134af7373.",2019-08-21 13:41:29-04:00,FALSE
e4cfbe56f0d65fd3ed2074d1c56eaa9a0a910332,"Remove ""Experimental"" references from docs

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-08-21 17:06:25-04:00,FALSE
cba024a73e71bf1caf45d1ac1cff9b62100b7730,"Update docs for running locally

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-08-21 17:06:25-04:00,TRUE
37fe92e5e4b6b469c0f811cda10c0a948839c5ad,"Use make to clean up local deployment

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2019-08-21 17:06:25-04:00,TRUE
5ba89bb4420de1a91a1c92119741a520a41515f3,"Create the bundle in the archives dir

This makes it so that the download API endpoint doesn't wait for
a worker to assemble the bundle. Instead, once the request is complete,
the bundle will be present in the archives directory. This will prevent
timeouts on large projects and it will address the unstable behavior
seen on NFS volumes.",2019-09-03 18:58:35+01:00,FALSE
f7c893bfb05e935714585ab906f1d106248dccd7,Document how to use a Kerberos keytab on the workers,2019-09-03 19:40:31+01:00,FALSE
4f9dad54774e7808c94c8b0a0142e3b6f1934825,"Split up the location where sources and bundles are stored

This will prevent potential conflicts of names and it will keep
the volume more organized for future use-cases.",2019-09-03 20:09:07+01:00,FALSE
a60981df42857bfb112b521ced6048067bef98b0,Make the HTTP timeouts on the worker configurable,2019-09-05 19:52:45+01:00,FALSE
9226483a9e99524cf912ed448298c7f30fa7017d,Add an OpenAPI spec to document the REST API,2019-10-04 15:09:54-04:00,FALSE
2cb8fb4e59f25a344caa27e0126664b6eb41e4b5,Move up the API documentation section in the read me,2019-10-04 16:43:40-04:00,FALSE
304c144fdfbb6014072dd27fc7f81ce8e93b8a9d,Allow privileged users to submit a request on behalf of another user,2019-10-22 15:07:02-04:00,FALSE
