sha,message,date,result
62149893c83cfb907a8585a27c6e592da9c3eed0,Initial commit,2016-10-14 13:27:49+01:00,False
7906c5e8e68eeccc4348d270ea9aee05d8902db2,initial readme,2016-10-17 13:56:25+01:00,False
497d86a6ace994d6e0f48d3e13c9419ac286f4e6,updated readme,2016-10-17 14:48:55+01:00,True
c88e4c5603b2e03d0bf64e4f5347f313c22fb333,syntax highlighting,2016-10-17 14:55:09+01:00,True
2dbd182c655f55e7ff1c278b0afc70a14d38b071,more updates to README,2016-10-17 15:05:59+01:00,False
901e01850f875fe0b81bee9973151a66becdde99,update to readme,2016-10-17 15:18:50+01:00,False
cf95fa29ecf4d8fc949c3cde2e7a0557dd2dce77,tweak to readme,2016-10-17 16:38:45+01:00,True
c51ae8c28d8491a157c131c952d2e8cdb597ec87,included install instructions,2016-10-18 14:51:56+01:00,True
7f637b6fd2c66c357c88ba1f0830a134d0d82a0b,updates to readme,2016-10-26 20:20:41+01:00,True
f9a2ebfebbcdbb381132bfb28b0749edfad7e228,updates to readme,2016-10-26 20:28:37+01:00,True
4232c89f05922c2518d731bcb469d282d9c6397e,updated readme,2016-10-27 08:16:19+01:00,True
9fd409deaf8c80dc77b76f9e3d7c3b238db27c5d,added codeship badge,2016-10-27 16:04:36+01:00,False
7674cdc2b6d569a3b80c7d0bae21c756178144d7,update to readme,2016-10-27 17:18:25+01:00,False
9ff9f42c870150f382cff10f8bc73dd63a4612c2,update to readme,2016-10-27 17:19:05+01:00,False
e3b1de0e31c3c6c65a94afbf487623cdeafb860e,codeship badge url,2016-10-30 17:32:59+01:00,False
b0dd2c7950f48821490e541e442c1d1b482c84b4,updates to readme,2016-10-31 11:35:19+01:00,True
3474036b28b786b0b7875f8199b50c6db961374d,readme tweak,2016-10-31 13:42:19+01:00,False
502aa6ed369beb68b7717e45108a60ee02ad4c81,some commented parts of README for clarity,2016-10-31 18:55:44+00:00,True
2e924bbbb943e7f0a84b49f8c414f714d0c9149a,copy tweaks,2016-11-01 09:45:04+00:00,True
226adf2e185083e9b7e42473a9691891b691b6f0,update to readme,2016-11-02 14:21:39+00:00,True
2c8cde295d87f997c492a33e65e5f75bdec8ebd7,fix error in README,2016-11-03 11:01:54+00:00,True
8c2768742f5c245c1d55991fbfaa3a6aa11c76ff,added license notice,2016-11-04 08:39:47+00:00,False
1de776e55a75deb70430652c29cc5e31019d5012,typo in README,2016-11-04 08:41:15+00:00,False
f2f205534cb8ec3b1a9ea9c6793e8862f6f8060f,updates to readme,2016-11-08 19:49:05+00:00,False
341b901aedbcc064db8528d9f4f2809c8a691fab,initial impl of sklearn svm classifier,2016-11-09 14:02:58+00:00,False
1447023e71506aee011b84884d8acd21da2fb4e7,updated readme to show spacy_sklearn backend now present,2016-11-10 21:07:20+00:00,True
a741a192e5f8f4cfecfa9759424df6e16b51c842,fixed path in test,2016-11-11 08:16:43+00:00,True
8437ec0fe7513f823f1d6ba5ce1b165cb3b77aa2,name change parsa -> rasa_nlu,2016-11-11 10:20:42+00:00,True
3bde1f06a08593dcaa7482ddd9b71c27d144af63,readme tweak,2016-11-11 10:31:05+00:00,True
3cd7334c7c2d87f7484ed3f10c2fb3498c8be0a4,added test coverage to roadmap,2016-11-11 10:33:11+00:00,False
2c1f9bf8260fb67a6998168dcd85e0b3799a63e5,updated codeship badg,2016-11-11 10:34:42+00:00,False
8b92b9938cafdd9ef4c46ccf2ee931747b121141,fix to readme,2016-11-11 12:37:35+00:00,False
53381048c50db26220993b766e2a4c4c1a17f6d0,added coveralls badge,2016-11-15 16:41:40+01:00,False
da44c74b406a0345c2d78db86e33c505679bf0c0,fix to badge,2016-11-15 16:43:28+01:00,False
04b2214aa9a310cbc5055fb39f4e0265754b0cc6,deploy to heroku button,2016-11-16 11:49:41+01:00,True
4b9dfce3ac324cafd52a0a75fa625744210a25b7,readme tweaks,2016-11-16 12:11:08+01:00,True
273327687290d15a9ee2713a6fdcc20101b3e51b,get rid of nested 'backends' config,2016-11-23 17:14:40+00:00,True
66035812d73a5d0918f483774f7c106b4ff79ea8,show travis badge,2016-11-25 14:29:28+00:00,False
ff9947794b437443368f1babee86bcc6d5be5a7b,docs updates,2016-11-28 14:55:22+00:00,False
d95be2c95c4c6ff7983cf34f7b40e977a580ce9a,"removed most of README, point people to documentation instead",2016-12-01 12:17:36+00:00,True
7214d7e8fe1b87d602d132fc94c7926e3678a970,re-added deploy to heroku button,2016-12-01 13:30:23+00:00,True
2ab66b68edf0757cbfbaa68483f8fc3f8b689307,updated readme title,2016-12-08 09:42:51+00:00,True
cfd1a5e4145110660c88ec111527be57e1fbf006,"readme and license tweaks, subversion bump",2016-12-08 16:16:08+00:00,False
46c471ff0fb9378707c73c28442f6a68d5bfd057,Update README.md,2016-12-12 12:20:02+00:00,True
a350c9d73ba625d5c61cca754fd050200ad1ec37,update README,2016-12-12 13:19:10+00:00,False
cda93379cb16e6a755ac24acf0b1fc55ff529e26,experimental label on docker cloud btn,2016-12-16 12:08:38+00:00,True
301f825b751dc2f9d7259bf2e739e340ef6a7d01,fix typo readme & mention mailing list,2016-12-19 09:47:36+01:00,False
c21ecdcafa5532e3827632648d523aaae9f2e2be,Updated readme to clarify intent and installation steps,2016-12-22 15:12:34+01:00,True
a35f1441080f99d78b54dffc276de9677c0181bd,fix to docs & readme,2016-12-23 19:36:54+00:00,False
3b3712b6758e576ed8150fc03d7ba5bb39ad17ea,update to README & docs about support,2017-02-03 14:48:31+01:00,False
15ddc6548a8e1b9546a65184a67cd1614ddf2566,Update README.md,2017-02-10 09:54:39+01:00,False
d9b6f5366e55a96b1912cab5529610eb9e889863,added gitter to readme,2017-02-14 18:14:23+01:00,False
1845ec3f8c9e419ef89f8016bf058c530507500b,Update README.md,2017-03-03 15:03:38+01:00,False
7d237afd1afe4a6a54dabaa9ded3793241809bec,Update README.md,2017-03-23 09:33:49+01:00,False
d93dd7198c9bacaa2f753ef27176b001062eb8ee,"Add Windows for Docker caveat

For download & training to work correctly on that platform.",2017-03-26 20:19:29+02:00,True
c6dc062dbd97722d7b5b3e607cff15d22167f66c,Update README.md,2017-03-27 15:52:54+02:00,True
7ed995994264f77072f7f95e382808ad6debae8c,Update README.md,2017-03-27 15:53:43+02:00,False
6e6914a83be565763fc282138dab200768315797,Update README.md,2017-03-27 15:56:50+02:00,False
1ae9a2752ed0a0d506891682921192be203711f0,Update README.md,2017-03-27 16:04:16+02:00,False
1ce524cf818ac0c72cdef7598efe36885c50b43e,Update README.md,2017-04-01 18:45:34+02:00,False
f2adfaaa77ae8f12cd7d29de7a6e6e33691927a1,Update README.md,2017-04-09 10:12:07+02:00,False
7a01fa76a382cdeb8d8704184c5114d969cc1b05,"Minor README update: remember to pip install, #295",2017-04-20 17:18:00-04:00,True
e22b74915ede3b6f6f56b9f7121664d12fd583bd,Update README.md,2017-05-08 14:09:48+02:00,False
d513f8826a3504fc2d2ab2411f5f9a504d739423,Update README.md,2017-05-08 14:12:08+02:00,False
a287d72323022dd2df98ec2fc2d8f20767fa113a,Fix typo in README.md,2017-05-13 22:41:38-07:00,False
37df771759226546fddf9dea81265928fa600402,Install with pip,2017-05-14 18:29:49+02:00,True
3ac736b6d83f3ec1707e709abbda2a8cc5fbcb2b,Update README.md,2017-05-22 09:32:30+02:00,True
3c34695ad23b4e0501400378540b3c538a6fa547,Renamed occurrences of golastmile to rasahq,2017-05-22 09:41:13+02:00,False
4d5256a554691b05a93da4621800521f46a5ae4c,uppercased Rasa in readme,2017-05-26 11:49:32+02:00,True
53acc4a5e2148195a8b84e4f57c1732fa19a32d8,Update README.md,2017-05-26 12:14:37+02:00,False
a764bff0c5109ab79dc3b046df4dc575e9fddd7e,added license information about third party libraries,2017-06-13 15:15:51+02:00,False
5880a5f22b0d5837538c99279d53784cf654a90f,Mostly fixed tests,2017-06-21 04:06:42+02:00,False
db477ec551ad26437f0fc8a327894f0febd21a4a,first commit,2017-06-21 11:03:50+08:00,True
29ccf2e06afd06ede3d9b27bf1587cf2f0b28fe0,Modify readme,2017-06-21 11:05:30+08:00,False
4830351ed898590ad4f1c75a0a360d8d17654a14,update readme,2017-06-21 15:38:31+08:00,False
8968c0a88cd96bb6eb8d1a421c7bf6e3bf82321e,update readme,2017-06-22 14:51:47+08:00,False
9aab3fe29d61e52bcae15eba381d7a146ce7dbc1,add chinese model and demo,2017-06-24 15:44:20+08:00,True
68a30b58fd402b1e496d099969e7082bd5484355,refactoring,2017-06-26 16:27:40+08:00,False
7b7afca32954bca9d383ae55dcfc057c3a052355,"Update README.md

update 20170626",2017-06-26 16:30:56+08:00,False
e1e89aac4230192fec4447c52cb2faff1196619a,Cherry-pick from flask_to_klein,2017-06-28 18:03:47+02:00,False
93e7336b72ddfc50dc2aa13debe98a00bc7ae0db,modify readme,2017-07-01 14:57:59+08:00,True
d4e5f325a1c63cd5b8a453172d60b2a5cf28db17,Update README.md,2017-07-02 12:40:34+08:00,False
63c33480b55907736d08ab8cf5d789b380cb0980,Update README.md,2017-07-03 15:38:23+02:00,False
1823091fbc53edfbbce0313c3a42be082b28e7ca,added matplotlib license to readme,2017-07-03 15:50:15+02:00,False
f42ddc315bb42f62d25e55a4fd68eb1a6b26797f,edit readme,2017-07-07 16:39:41+08:00,False
9af13adf621eb53f6cee3eec37d1f9b98ce1a496,edit readme,2017-07-07 16:41:47+08:00,False
136b6c154f277ea3c78f2741997a476bc0b51a5d,update to newsest version,2017-07-20 18:30:39+08:00,False
2eb900c6638aa2f8e7630c730591fcb6a4435517,update readme,2017-07-20 18:33:13+08:00,True
74a2245a5d889f1209c781004fdd44f234f88a5a,update readme,2017-07-20 18:34:26+08:00,False
237934655e511e7c9a52934dbd452c357a23e251,Update README.md,2017-07-20 15:04:40+02:00,False
70174ce33b8666315b6a811684d1f17f5f7d274d,added roadmap badge,2017-07-21 15:45:55+02:00,False
4e5d138add732f5a8cf98432a5b764fa9298dfc1,Update README.md,2017-07-22 01:06:38+02:00,False
ed9a82f50294c5f0094b12f29053adf644dbd965,Updated README.md,2017-07-22 12:59:42+02:00,False
300f9476fba9e4895acf671527a1b532b9054ddf,Replaced tabs with spaces in README.md,2017-07-23 13:42:14+02:00,False
c74e25c8cbc3f8d8c55e2e7743d6d86ff12bdaeb,"Redesigned docker config and requirement/directory layout

Redesigned dockerfiles to match desired auto-deploy on docker hub/cloud.  Also redisigned requirements to maximise reuse and simplify dockerfiles, and bunched things up in subdirectories to mimimise clutter in the root of the project. This is combination of work from @wrathagom and myself (@milutz)",2017-07-26 13:43:12-04:00,True
826e596e6779a3abc79b708c05e64625a7569102,Reorder README so it will make sense on docker-hub page as well as git,2017-07-26 14:47:50-04:00,True
52e6401b4dd7eabc0d41dae70ea63a132f18741c,add blog,2017-07-27 22:12:32+08:00,False
d17acd51704b3e56183e82724c2620fd6bf0610f,"Changes to get manual-testing of docker working

Changes mostly to fix the manual docker testing that was being done, but also multiple related changes to the README, _pytest structure (because of new directory structure)",2017-07-27 17:31:35-04:00,False
2d54e2289e94d6e1bd00d211135eec1b0f1a5a8a,Update Readme for Docker changes,2017-07-27 20:26:20-04:00,True
9bbcc3e25fdef728ec113d669d086dd8811395d8,add trained model,2017-07-28 11:58:08+08:00,False
dd9df29b0df93191f14d3fdab726ab24333f6576,Readme and changelog changes to complete inital PR,2017-07-28 12:29:53-04:00,True
0fca0aaf71e13f5a581ae5f64ec7331cfcc160f4,"Update README.md

Fixed Link Formatting.",2017-08-14 11:34:30-04:00,False
67c03b7391ee2b07d82aa0fe020227e1d328a6c5,Fix version typo in readme for docker commands,2017-08-21 21:48:26-04:00,True
88e5dc2e711bae4e005f0e24d3944f80801dfc33,fixed typo,2017-09-04 05:46:27+07:00,False
155e839f1c48c95cd9e6372e68b40a3607898940,added some info to start of README for newcomers,2017-09-04 22:13:17+01:00,False
fc976d3c49ddb10b111770d65701366bf40bce98,fix grammar,2017-09-04 22:17:14+01:00,False
2ae556630da50ab61c8ad57ba357db5950d1cc92,"Add Post /train with markdown example

see https://github.com/RasaHQ/rasa_nlu/issues/575
It looks like the following is not working:
```
curl 'https://raw.githubusercontent.com/RasaHQ/rasa_nlu/master/data/examples/rasa/demo-rasa.md'
curl --request POST --data-binary @demo-rasa.md --url localhost:5000/train?name=test_model
```",2017-09-11 13:48:15+02:00,True
9e23109ce44c180f07ffffd26d506ba0ab6cf6a9,model path issue,2017-09-19 15:05:48+08:00,False
b74a2f977ac104008e10bc515aaa85db3f7b1255,update with curl command,2017-09-21 17:24:13+08:00,False
911c99e5a2cfd5aef60d05eada86d59552e8a48e,update readme,2017-09-21 17:28:48+08:00,False
