sha,message,date,result
ad79517c5f56e1516444ffb15142e7269602bada,Initial commit,2015-01-09 08:12:21+00:00,FALSE
4cbeaab3b3185f53ffb01c8d703ba8c3c252d696,"First commit of the dummy module that will clean, compile and run user/CK programs ...",2015-01-28 08:51:20+01:00,FALSE
e5643123bc24eaed6e6f792349aa9c5ab3b96fae,clean up,2015-02-05 17:40:07+01:00,FALSE
2dffe190522bcf77b8e3bbcd9c6012842bc64c4d,status,2015-02-20 11:07:52+01:00,FALSE
e80a432886b52003eb00944369a5fdd1d54a5ba3,"major update to support ck-env repo (env, soft, package) ...",2015-03-18 09:40:24+01:00,TRUE
8b38ac0fff78ba75daafc3f92755c815abce3085,adding statistical repetitions for auto-tuning,2015-03-20 17:08:20+01:00,TRUE
6b3ab63369fd2c1f3b85b0514da0d4aa62f7605d,fixing info about repo,2015-04-03 11:29:41+02:00,FALSE
87202f84a907d18f72944819fec9775b3e51d97c,fixing a few bugs,2015-04-09 14:18:26+02:00,FALSE
593eaed7f2aa13529dcfa08ba180d3600685add0,working on new universal autotuning pipeline,2015-04-17 12:11:43+02:00,FALSE
d5b154bdb2ae3ec866bad1242137d695816fe8e1,fixing autotuning repo description,2015-05-31 16:26:52+02:00,TRUE
082221d15f33236f10f9f343be022b2d28535c7d,improving description,2015-08-03 10:52:03+02:00,TRUE
da1cf93975a60f49e597d2ef31b9defdde8dc795,small fixes,2015-08-06 16:09:13+02:00,FALSE
5b430c2fd6b013c7da6febff1d0d947661441946,adding CK link,2015-09-12 16:34:44+02:00,TRUE
ede1bf8fe0b743a4199337bfdadd00538340708e,fixing openme.h for Windows,2015-09-26 18:37:48+02:00,TRUE
42545cf38883680907c3e6366f41964094ab14c6,improving README,2015-12-28 16:14:47+01:00,TRUE
7c18a8e078a4afdab473c2d039c1d1e95eac18e8,fixing readme,2015-12-28 16:32:14+01:00,FALSE
44a8fb7a2d5dc8b408686f58d0ab4f240fb64398,fixing link,2016-03-09 09:47:12+01:00,FALSE
341bb4f789ec65df66fae50d4f997e750b6df963,"major update to packages and environment to automate detection of already installed software (for Windows, Linux and partially Android).",2016-04-28 11:04:24+02:00,TRUE
b3d7eb2d7439c70a809599b408fec2c59f5618d1,updating docs,2016-09-30 11:56:37+02:00,FALSE
bfb11d5feef0d06c12c5dcd397fbdfc51cf9ef8a,docs clean up,2016-09-30 12:08:49+02:00,FALSE
b837d9c16f32cbb3e300ce80fc7c7f14f8447c5b,clean up,2016-09-30 12:09:45+02:00,FALSE
9c5558d8720bc0a9d490df602347f36cc9c67692,fixing URL,2016-09-30 12:10:41+02:00,FALSE
b167384750758a80a172015cfc5a2d4da87ce130,added sudo to program module when using GPGPU,2016-11-28 17:17:09+00:00,FALSE
e0638dff610baab4260142daade41c128636ea9b,added llvm 3.8.1 package for Linux (with download),2016-12-10 18:18:36+01:00,TRUE
60e25f902ef693e8a12a044c0ab61d3548676d2a,clean up,2017-03-07 16:08:26+01:00,FALSE
