sha,message,date,result
00bcbb8d7ec3ecd19c00d44971f4fbab1921ed01,Add TFLite example (MobileNets on Android).,2018-09-21 15:51:39+01:00,True
b88a14e90870b4164c7316be806b405c703c5106,Document scipy dependency.,2018-09-21 16:12:03+01:00,True
da96056250f6bdafc315494f505ff5fdb480fe87,fixed typo,2018-09-21 20:05:15+02:00,True
585f062e60a2cb47f3aef4ff7e4a1da9571674d0,Update README (rearrange for TF benchmarks).,2018-09-26 16:35:06+01:00,True
e88f05d56f7a21d279d3c7b8eab44f0d26ba2ff8,"Update README.md

- Fix subitem indentation.
- Change Ubuntu -> Debian.
- Describe TensorFlow Lite / Python / C++ in this order.",2018-09-26 16:44:12+01:00,True
7c2bfbe5077f0b53e1c083d765407e1160db6eba,Add TensorFlow (Python) instructions.,2018-09-26 17:11:51+01:00,False
26c6fc98d2a37b68be76d1ea58c18400f605556f,Binary TensorFlow package requires system protobuf.,2018-09-26 17:18:25+01:00,True
5fda03aeae703201b103827fe8f5407189fcb0f6,Add TensorFlow (C++) instructions.,2018-09-26 18:43:35+01:00,True
39e1d953ce32ffbff3946ab6e8cabd20faef9eb7,Provide more details on models.,2018-09-26 19:22:16+01:00,True
257958bd5a9be7a850b11b2d9995b0e88950761c,Move MobileNets v1/v2 paper references to top.,2018-09-26 19:25:19+01:00,False
f077fe2332a41a83eb8e1bc3495a57ce0b82c852,Update TF (C++) deps and update to 1.10.1.,2018-10-02 11:31:41+01:00,True
d3ede52fdbf18cbbf5f4519726e5ec432c015079,Provide full paper titles for MobileNets v1/v2.,2018-10-02 11:35:51+01:00,True
ed605470f4ae623c835ab0e5e183081bb72aded4,Document zlib dependency.,2018-10-02 11:37:55+01:00,True
811f2bcddf731e88ed254f8d551555acaa810c1b,Add optional Android target to TF (C++).,2018-10-02 12:05:31+01:00,True
0d3a02dd3e3a2d31b8c0e42cfea116e6c3444d62,"For Android, recommend TFLite but not TF (C++).",2018-10-02 12:55:49+01:00,True
e8614c8be1d7c55fe1c2ce5adb6183ac94da5481,updated logos,2018-10-16 18:14:41+02:00,False
71e26ae69ade10e25e8577c5a539e1c5d0d91fb6,automation badge,2018-12-19 13:32:57+01:00,False
8f5b81332a85bb908cb86a94d92285475d94df67,badges,2018-12-19 17:09:35+01:00,False
bcaf16c33d33324cd63bcbe84603b987f1d4a6db,added DOI,2018-12-20 22:41:20+01:00,False
44ac904776c18e4e3e3f6f68d6d42f5c1ff722a3,added Travis badge to README,2019-04-10 16:49:02+01:00,False
84b25362575b8b01dea98abc93ab525cbf692958,Clean main README.,2019-04-12 11:51:23+01:00,True
1a878e574296bfc6c6921fa39bd0064e8fd8c7cd,Add MLPerf Inference v0.5 matrix.,2019-04-12 12:12:18+01:00,False
cd88adb1dd52f27b96be6ab291e59a69b927dc4b,Add links to MobileNet implementations.,2019-04-12 12:15:50+01:00,False
6867af417d2d14e56b11cfddb3c7e30f38b921fe,Add links to ResNet implementations.,2019-04-12 12:19:09+01:00,False
4a8862ca7e1b933b2cd567aa25f11174f0af0279,Add links to SSD-ResNet and GNMT implementations.,2019-04-12 12:25:29+01:00,False
1df1aa8dafbb29ba1ef74b0f78c67ed7cab73517,Add links to Object Detection implementations.,2019-04-12 12:31:32+01:00,False
