sha,message,date,result
2d2ef5e2f70b9f9400541c3a2b8b80f9a71aa061,Initial commit,2012-06-08 19:14:45+02:00,False
8978b291f99f2059320c55c580700bceba442b88,Add cloudbees build status,2012-06-13 22:37:23+02:00,False
110999f3e7b8e48c10d08d3102d7107f1637d9db,"We don't have to manage multiple feeds as we can create as many rivers
as we want",2012-06-14 18:12:17+02:00,False
109db6919e381bb424f7a511a8bbfd04f9b33bc9,Add more documentation about usage,2012-06-15 16:05:06+02:00,False
330478ad5dd36c208ae89379d19cea57c681776f,Fix typo,2012-06-15 16:08:05+02:00,False
1587b55fef6b6957917c560c691b832a76754347,Fix Typo,2012-06-15 16:10:30+02:00,False
d466b271d4cc45caa4adab786dfdccf015e1049a,Add link to Put Mapping API,2012-06-15 16:12:48+02:00,False
66e26ec59b7905e1371998e21f0f94166373c7c2,Add a warning on usage,2012-06-18 21:20:48+02:00,False
8cfbdf2598957cd843275bc3995207e6aca7dbe3,Update to ES 0.19.8,2012-07-10 11:32:03+02:00,False
8b85686166eec901733b5c278c42d90632216b22,Prepare 0.0.2 release,2012-07-16 22:34:15+02:00,False
d14e8e3dfc23aff176dfc77e65c50032731350d9,"We exclude now the attachment plugin from the fsriver plugin. Users may
install it before creating the river plugin. Fix #3",2012-08-08 22:53:21+02:00,False
aae86ed537cd6dc4e7da86e92bb4fa76bd951bb8,Add License,2012-08-09 08:07:02+02:00,False
efe58d73f6614d8b490495992375aa36d1856274,Move to markdown format,2012-08-09 08:22:35+02:00,False
3fd7696d8ccc37b0d3ae7ff60c495a185bd1bc6a,Move to markdown format,2012-08-09 08:25:34+02:00,False
a2752edfccb75a470706a90d6db73cf5bc2f74a0,Move to markdown format,2012-08-09 08:31:20+02:00,False
ca1fbe959a053d9a93238f2995f148eab442246c,Update to Elasticsearch 0.20.2 and mapper 1.6 Fix #6,2013-01-24 13:55:07+01:00,False
170ef73a76934c7b19dd734c2d3e7316857a1c35,Add support for native Json files. Fix #5,2013-01-24 15:57:31+01:00,False
deef872db7327afdd701d9f78e9f8ac3ad7eccc8,Fix github download issues,2013-02-12 11:12:57+01:00,False
46ef78b6d081432623bd32dbfcebbef59c46ceaa,Update to Elasticsearch 0.20.4,2013-02-12 11:24:02+01:00,False
7da0561d501d60e7029afa3b9004861db8f33363,Release 0.0.3,2013-02-12 15:00:24+01:00,False
87cace8d1ee3bead2eee6b574816434db003af07,Update for windows users,2013-02-20 20:02:54+01:00,False
1a19f857143e3a3f645a3bc4f277034ada939c84,JSON docs option is from 0.0.3 version,2013-02-20 20:04:47+01:00,False
dd115c195af1b066096896f4de1152d31b2cfde5,Update to Elasticsearch 0.21.0.Beta1-SNAPSHOT,2013-02-25 14:41:50+01:00,False
6b607dcfa1de0eaec1a69b5b335ae9bebcb65049,"Update to Elasticsearch 0.90.0.Beta1
Closes #9",2013-03-14 17:58:32+01:00,False
2fb04c6f32d6338978fac8124f3ed10376681089,"FSriver error when ""_source"" is disabled
Closes #10",2013-03-15 12:16:10+01:00,False
3f595fd2ccc2a26cf10b85f777805a0037e4fc9f,"JSON support: use filename as ID
Closes #7",2013-03-15 15:10:16+01:00,False
357bea2164d30fb0dc1b4db266d705aa26bcfe59,Add test trends,2013-03-15 15:13:11+01:00,False
a3650937fd69351db2c112318d093d63222a22e2,Prepare 0.1.0 release,2013-03-15 15:40:45+01:00,False
138321c0550c3e0c0725b4f76c0591351728b0f5,Fix typo,2013-04-05 18:41:21+02:00,False
5b82ec52df530b698760a7a694264bb8f77b20cf,"Add filesize to indexed document
Source: https://groups.google.com/forum/?hl=fr&fromgroups=#!searchin/elasticsearch/fsriver$20size/elasticsearch/uks2Zbc4iKU/e1DL9MYrht8J

We want to add the filesize as an attribute of the generated document.

It will be added by default. Can be removed using `add_filesize: false`.
Closes #18",2013-04-08 11:23:58+02:00,False
6cbd3d1572d75ba5f81c39a65bc8264a3a26b2e9,"Modify Indexed Characters limit
I think that I could define in the document itself a value for `_indexed_chars` as an optional setting for the FSRiver:

* `indexed_chars : 0` (default) will use default mapper attachment settings (`index.mapping.attachment.indexed_chars`)
* `indexed_chars : x` will compute file size, multiply it with x and pass it to Tika using `_indexed_chars` field.

That means that a value of 0.8 will extract 20% less characters than the file size. A value of 1.5 will extract 50% more characters than the filesize (think compressed files).
A value of 1, will extract exactly the filesize.
Closes #17",2013-04-08 16:46:28+02:00,False
