sha,message,date,result
8f433b9097c3f659037cd8a97cba9819fb628246,Initial commit,2017-08-01 13:25:43-05:00,FALSE
6df1a92b56de2cf7d395e13f6e53224143398a2f,Initial commit,2017-08-21 16:59:07+04:00,TRUE
902f4ea9012d5241608ab09acaec1de1a44f88ea,readme,2017-08-21 17:43:14+04:00,TRUE
fef7ffccd7de4d0dd8a629e59d5371e62e7eaa0c,link to examples,2017-08-21 17:48:46+04:00,TRUE
ef3bd944c987d3e75e8e9c257849b81314c9312f,DIF logo in PNG format,2017-08-21 18:03:12+04:00,FALSE
f1a976c3b020b4b881ca2ae6acd886202e11d8d6,README,2017-08-21 18:12:40+04:00,TRUE
e205929c4d0ee0684aaef745d5ec66619b7733b8,more information about Docker,2017-08-21 20:16:00+04:00,TRUE
c026b13b4afdb404de4ad726c37702cd77742508,move uni-resolver-java to subdirectory,2017-08-21 21:38:16+04:00,TRUE
d8ad369d116d107fd7a3ee2169fd92bfb22cfaa3,re-organize documentation,2017-11-02 15:17:04+01:00,FALSE
04ed786b0a9ce723df9f3600110637345530818d,"Removing the ""Open Questions"" page (converted everything to Github issues)",2017-11-21 14:05:16+01:00,FALSE
3f4a5266907a7da649c96aa542040ba730143b48,driver list,2017-11-21 21:46:13+01:00,FALSE
524427e352a6bc48a6d0f7c1864a6032b451b4b2,Update did-uport driver,2018-05-04 02:45:18+00:00,FALSE
a0b1d86f37161d8e7b099166991909740a9a729c,move java implementation to dedicated repo,2018-09-04 09:36:54-07:00,TRUE
f02c7bd918179de361d9e0c152ae7c3bac11d5ae,Updating directory name and logo reference,2018-09-05 13:17:05-07:00,FALSE
48717b09d9bd675087e7105866b3f7e6392568e2,Reconnect java and python implementation links to new repos,2018-09-05 13:25:32-07:00,FALSE
bb833774959b35ab5ffa4f6ea3110595e93a3b9d,Update README.md,2018-09-05 13:26:37-07:00,FALSE
9bd48217cfa2e2c903afa612d753285c749373b4,"fix github repo url

Signed-off-by: Axel Nennker <axel.nennker@telekom.de>",2018-09-07 10:02:39+02:00,FALSE
