sha,message,date,result
ab17ab8e929c0ff8bf7e6ee5393188b7c6c60d68,"Haiku is Sonnet for JAX.

PiperOrigin-RevId: 290964750
Change-Id: I8de9354db79d2180b813e40c7742dc00e10397af",2020-01-22 20:21:56+00:00,TRUE
49bf6aeff714be8dee0fb4db9735aa6b2f7e83ea,"Fix example in tutorial: jax.tree_map -> jax.tree_multimap

PiperOrigin-RevId: 291012307
Change-Id: I6b0f837c8288f2e8c36a7d6075def9ae05686576",2020-01-28 06:21:27-08:00,TRUE
5cb663818aae85f50a8fcb456e5bd00c90ccf7f5,"[hk] Rearrange Haiku readme introduction and motivation.

PiperOrigin-RevId: 294425620
Change-Id: I65411a0a315bc53d64cf9a335a13c0392e6f4eba",2020-02-11 06:26:50-08:00,TRUE
9ce0eae25e672c8d10a49ef02944e304b509e6c7,"Add clarification re example input.

PiperOrigin-RevId: 295571066
Change-Id: I9a309a01031b239dd6ac4725b8722024cd27dd27",2020-02-17 05:51:50-08:00,TRUE
220b6043204c9ffaccb67a0ff3e2218d59b5760f,"[hk] Add installation, distributed training, citation to README

PiperOrigin-RevId: 295717885
Change-Id: Ieeecfbad2abd7d98dd6577a8112fa3e16dfdec25",2020-02-18 06:06:02-08:00,TRUE
b559b0225c2843f26bb1e87b0fc31281585dc3c4,"Reformat readmes.

PiperOrigin-RevId: 295722922
Change-Id: I050a224cf9ba6bd03ef95e853ef5f9ab159f69c4",2020-02-18 06:43:56-08:00,TRUE
91572dc18f8ef70c55c8fa34161642d5892abf7d,"Add examples to nav bar.

PiperOrigin-RevId: 295748728
Change-Id: I6e9e6a06d86995a5c2943b0048a7311f28c05328",2020-02-18 09:16:45-08:00,FALSE
0a262029dd5ea3ff53805be18a148110ed68accb,"[hk] readme formatting tweaks

PiperOrigin-RevId: 295977925
Change-Id: I06d9373d432962893f1a33497d4f83ff7beaeb4c",2020-02-19 08:47:08-08:00,FALSE
a5dcb09460b69f8bb865622c46b90990fed37526,"Replace non-breaking space with regular space.

PiperOrigin-RevId: 295993924
Change-Id: If15f5c18ef8058958abfddf00d3b360e7e8e65ed",2020-02-19 10:03:17-08:00,FALSE
4bcbec9f874c847075ad666c7f3621c8c524af3b,"Document non-trainable state and standardise on collect/inject.

PiperOrigin-RevId: 296166911
Change-Id: Ifbcfa4072eb7a356bd87f4b580253a933c7a0303",2020-02-20 02:57:05-08:00,TRUE
5dc6c8efbef3722070c24cd14d6ac66de6f37eee,"[hk] fix readme typo

PiperOrigin-RevId: 296177960
Change-Id: Ib8014e1e974b1ba7a26eed145f56ea197ed355b4",2020-02-20 04:20:36-08:00,FALSE
ee3214b05c0ee7a1957fd1fac302136111570220,Update README.md,2020-02-20 12:25:41+00:00,TRUE
dddf15cb60c53b316ece3d0938056790a80fe097,"Fix typos in cross entropy calculation.

PiperOrigin-RevId: 296272697
Change-Id: I8fcc056ec094de134303b2541aa158febb5a8a70",2020-02-20 12:35:53-08:00,TRUE
80c412d5821c97c20e94094e137b265ec193ecbf,"Update github links to dm-haiku, link out to haiku-os.org from readme.

Closes #2.

PiperOrigin-RevId: 296413851
Change-Id: If01c3f5356c43999da58bce0b053a5a142303aff",2020-02-21 05:06:02-08:00,TRUE
697fb7c442ee2fd5f57bbb861029fa9e07b3b7d1,"Add CI badge for pytest action.

PiperOrigin-RevId: 296885935
Change-Id: I2616062caa959efe36492c18cb8df7f29a3be7cb",2020-02-24 07:21:34-08:00,FALSE
