sha,message,date,result
18d9e01e4590483aeeb96f1c13b2ac65b1d321a1,Initial commit,2014-04-15 10:25:47+02:00,False
fc5db4bb483399abc538f8f62661b3a4cdd825bd,Update README.md,2014-05-06 15:10:37+02:00,True
d3f6f04da43e648a289953e08f77df9f1d0ff830,Build status,2014-05-10 10:16:23+02:00,True
25d25cb86215264196347920b12ec05b382a5dd4,Fix link,2014-05-10 10:18:40+02:00,True
0f3cc182bb815f54b35aa131433cfbd6ce2eb74d,Really fix the url,2014-05-10 10:20:32+02:00,True
62e3f9b66bec209d3ff73339ced31419a9a19ed2,Update version,2014-05-10 10:24:38+02:00,True
3ac6d8d34fc0708c6f217b9d70d7afd0b562b916,Bump version,2014-05-22 11:15:15+02:00,True
e1ba60923c6d2f3b6e07551bef3b6d479e687a7d,Latest version,2014-07-16 09:08:18+02:00,True
fcd820ff2cc60ba4fc25211f2fb0e870c2f19bd6,Release notes,2014-07-16 09:09:14+02:00,True
7cca33af2b91e5091c89dad49270804d6ca742ef,Update documentation,2014-09-14 21:23:34+02:00,True
387fa0c8ef13abda9b88d134b0b9222faef97de9,Latest version,2014-10-25 09:14:46+02:00,True
cb5f45085d03cad304948e20c5548f28c1a34bd5,TODOs,2014-10-25 09:15:46+02:00,True
daa56f962c32658a4fa2456c5977d0d415edce3e,Matches,2014-10-25 09:21:20+02:00,True
0f0e522e2a64a21c5c4c34699e331e0c926951e2,JQuery syntax,2014-10-25 09:22:33+02:00,True
887ed9de9e3bd0ffae84a0c7a560ea8a654994a4,Recursive Injection of PageObjects,2014-10-25 10:04:41+02:00,True
5396f0f437fd289d17d10dfe4e8cab897df86bdb,Won't do,2014-10-25 10:17:44+02:00,True
853690e0a130faaee34a176505cd7ba81949cdb9,Done,2014-10-25 11:54:08+02:00,True
e7dd8fe62faa3900d580f5eccbb8dbc368d4082a,More finders,2014-10-25 12:34:16+02:00,True
0222bce92080d5d9f31a3f427910f283ba78ea58,Won't do,2014-10-25 12:34:37+02:00,True
5a2766e08950429dbe500673d9e19ead7638583e,not(),2014-10-25 12:58:11+02:00,True
5f9bf6a00f4dd8d232b05ba49d253d1798c6f4bb,Run FluentTests in //,2014-10-25 13:45:55+02:00,True
99fc821c222e45e4d60e7e2fc8fb4af56888a7e5,Take Snapshots,2014-10-25 14:11:17+02:00,True
357416ea806744cca210e8bad54be1aa249b66c4,Dimension and location,2014-10-25 15:48:06+02:00,True
0c877c1d2779f0a69722027c00e02d91c498ed8f,More filters,2014-10-25 17:44:57+02:00,True
f678d9df39e8c442ed97769a56f5ad68f2395082,Should be able to chain go(),2014-10-25 19:59:29+02:00,True
f5440060165cba634b00019dc8ca6b0e6fdc846b,Find last,2014-10-25 20:14:18+02:00,True
292d273e36202ef5ee1e069b6a904cc051719307,Won't do,2014-10-26 09:20:29+01:00,True
15dee246f03bef63fcaba0833afaab5b1a79534a,Inject Custom elements,2014-10-26 16:31:39+01:00,True
e6ca3e09a5c8d666e49cf6f0a27c388f63736815,TODO,2014-10-26 16:35:50+01:00,True
d7974d6265ced02e5f73ca3434b29d4716a7a298,[Doc] Goal,2014-10-26 16:43:53+01:00,True
38d343a93ee3d02ce389c6b2dc9464910363146f,[Doc] Quick Start,2014-10-26 19:45:54+01:00,True
b9548a194369120ee01a01c1e1d92fe7c4e1ed83,[Doc] finders,2014-10-26 20:23:02+01:00,False
610a9059913093feb8281b0dcb9d8d54a080e405,[Doc] actions,2014-10-26 20:33:05+01:00,True
56b65eff58f14fd4f958287dfe292be6256e3152,[Doc] Introducing Page Objects,2014-10-26 20:36:44+01:00,False
0625d57a777cbd04e48ef0c929efd3330e5d9283,[Doc] Another strength,2014-10-26 20:39:19+01:00,False
5b32f47eedf73846ac12cc14194d3e787499655d,[Doc] Page Objets,2014-10-26 21:08:41+01:00,False
de8e072a33fb09abf3790abde6b0b5c4541274f6,[Doc] Edge cases,2014-10-26 21:19:37+01:00,False
4f6f925ae39f294713a8672a455eaa3bb5cb8271,[Doc] FluentTest,2014-10-26 21:34:55+01:00,True
c366a2853992b683b0f99c119ca3946d530b88c4,"Update README.md

Fixes",2014-10-26 21:41:10+01:00,False
0a7d6f48d37eec46f556435c049b57c19e7b2f24,Update README.md,2014-10-26 21:41:40+01:00,True
82206eb337b952cfb733d4eb1179cfd37099ecf9,"Update README.md

Minor",2014-10-27 07:17:17+01:00,True
c9d6a6bcb98f91b8743bed685d28d31024ceb579,Update README.md,2014-10-27 07:19:30+01:00,False
da1ba5118a2d3803112cb25793baf2d7b239659d,Update version,2014-10-27 08:19:01+01:00,True
f9848cf5606d9be8c1db6052817a61c3bee92bf7,Bump version,2014-10-27 09:16:24+01:00,True
2984334d22497626d053b199688298aa1862a1d4,Update version,2014-10-27 19:22:02+01:00,True
82e2a0de28a0c13812a088e099fc3825550e2d94,[Doc] add more verifications,2014-10-28 20:20:16+01:00,False
da083934f2b7fa181df175af9e603bb44b144855,Update version,2014-10-28 21:48:34+01:00,True
3905a329fa8dcce41332f6e328a8575644dd17a9,Narrowing should not be mistaken with verifications,2014-12-12 11:30:06+01:00,False
ee672ed9a2714a9314aa3976dcd53a5884171d87,"beEmpty() should be hasText("""") not hasSize(0)",2014-12-12 13:52:28+01:00,False
555fff1f5a9f62994d164c7598cce5616dd88857,Update README.md,2014-12-19 19:08:50+01:00,True
d1f95bd979b3fa2a07f32c63e7fb164cb6eb647e,Update version,2014-12-19 19:10:01+01:00,True
2a9ffcca67d02bd3c58c57f3de30bdfa206b99a8,Update documentation,2014-12-22 16:48:41+01:00,True
9edc35635db5ca484f85a3ca07ac41ae74cefb83,Update README.md,2015-01-26 11:34:29+01:00,True
82bc07fb5e9c5e3701976ff7a4d2b59e8dbc34b8,Update version,2015-01-27 15:22:31+01:00,True
a704bc9da48331e406b4a79c1c965fc99f34ee4b,Update version,2015-01-27 17:24:13+01:00,True
3757f573bbeecf250adeec780455bd2bd2d8b27d,Update README.md,2015-02-19 13:39:00+01:00,True
f0b56694c7132a8339afabe120fdaadab9742ab5,Shorter code,2015-06-22 23:09:23+02:00,False
b4400e6eed9fbb75231a59c88e2a2d6bcdcb2fa5,Typo fix,2015-06-24 15:37:47+02:00,True
359fb0657efee78b2155f7f0894953910aeaf433,Update version,2015-07-06 16:24:38+02:00,True
