sha,message,date,result
38ca4de449562cddecd474675d26d1bd29d46763,Initial README.md commit,2021-01-12 20:26:59-08:00,FALSE
f30dee8905bcae128d60ea75ceaf0405abc85ce1,Add minimal build instructions,2021-01-14 08:32:09+01:00,TRUE
ad27b859dc47fd83e1629a45d72eed7a6a7ee16e,Add doc on startup,2021-02-02 14:43:17+01:00,TRUE
112599c76fc47bb9053110502f561853373b18ce,Enable build profiles and add one to create a runtime that uses the FS Vault,2021-02-24 15:08:10+01:00,TRUE
3c78079486e31422d511ec2acf2e214b6bea3804,"Dockerize runtime and setup CI/CD (#7)

* added basic docker file

* pass vault, keystore and password as env vars

* github actions: first attempt

* refactor actions

* actions: use multiple steps, use java 11

* added checkout for the docker job

* actions: run jobs sequentially

* updated README

Co-authored-by: Paul Latzelsperger <paul.latzelsperger@beardyinc.com>",2021-03-30 10:36:11+02:00,TRUE
a2afd3acc8e09568bc5d24c8e6378cb3d7bf2775,"Refactored the build to use BOMs (#11)

* moved all demo-related dependencies into a separate distribution (=module)

* updated CI build

* split build into two jobs

* updated the checkout action of the action to v2

* cleaned up runtime build file

* updated README and improved demo distribution

* enable java code scanning

Co-authored-by: Paul Latzelsperger <paul.latzelsperger@beardyinc.com>",2021-04-01 10:32:09+02:00,TRUE
5d674d2f5c48b4b6e7da31aac8263e52efa77abc,"Feature/36 create genesis script (#37)

* initial version - provisions SP, keyvault and storage

* added role assignments, etc.

* configurable resource suffix

* fixed failing test

* updated azure vault test

* prevent @BeforeAll of integration tests from runnint when not on CI

* added AKS deployment to the genesis script

* refactored and stabilized the genesis script

* added some abort conditions

* re-deployed itest env, updated clientid for ServicePrincipal

* updated README

* nifi app reg uses client secret now

* removed compromising log lines

Co-authored-by: Paul Latzelsperger <paul.latzelsperger@beardyinc.com>",2021-04-16 17:36:18+02:00,TRUE
9409b1c76ad08733a065de9f9353fdf0ae0a52da,Remove CLA,2021-07-29 18:11:03+02:00,TRUE
0b994155db501f699cc35a138948bfee96f5449e,"Restructured code

removed empty file

updated build pipeline

fixed module names in build pipeline

fixed module names in build pipeline

introduced new annotation for integration tests

added integration test steps

re-activated atlas test

fixed setup of azure test

disabled azure vault test

restructured build

moved nifi processors to samples directory

added secret value

fixed type

fixed nifi processor paths, added docker file",2021-08-02 16:02:50+02:00,TRUE
30a6412f0114e32a6a3f407c80067005df2be87e,Updated package names to 'org.eclipse.edc',2021-08-03 09:02:38+02:00,TRUE
512dd03695fd44c02f9b86a197002be934747ff9,Update README.md,2021-08-05 18:09:07+02:00,TRUE
dd0585a69042f2ac7923efbcb19b4fd55190b977,added basic launcher,2021-08-12 15:26:51+02:00,TRUE
5dc1e1b7e7f45d36cb926747749331ea11ba9de5,added more readme,2021-08-12 15:26:51+02:00,TRUE
51ebd56d615a2baccda38d56c6bed76450b20bd8,replaced Contributing section with a reference,2021-08-12 15:26:51+02:00,FALSE
f59a0702cdb74e9fc99579aba2509db98f6dd54f,"Update README.md

Co-authored-by: MoritzKeppler <moritz.keppler@posteo.de>",2021-08-12 15:26:51+02:00,FALSE
fd119f1703d48c8b24e1d490efd759e4fd27f090,updated with PR comments,2021-08-12 15:26:51+02:00,TRUE
05deb4032b6fb32f3d3b2e7215b5ece9f31be793,updated intro and launchers section,2021-08-12 15:26:51+02:00,FALSE
e09a9546cedbeeec2febb8d6c3111f159c006c8d,"Update README.md

Co-authored-by: MoritzKeppler <moritz.keppler@posteo.de>",2021-08-12 15:26:51+02:00,FALSE
314a927bda19d1e13ae360e5757cdb9b60f24e3a,PR comments,2021-08-12 15:26:51+02:00,FALSE
963e10ef215bc55b2c98fe4ff0c783ba52b330f9,PR comments,2021-08-12 15:26:51+02:00,FALSE
05d0f26e43f03d10c48674b1e6be63f07f919078,"Update README.md

Co-authored-by: Stefan Ettl <72562218+stefan-ettl@users.noreply.github.com>",2021-08-12 15:26:51+02:00,FALSE
