sha,message,date,result
fca897a1fc31f08912a69dcaf8c900a4ee53d56b,Add readme,2010-11-29 11:49:09-05:00,False
92761af1c079401a80a7aa03f2d1185f74256cbb,"Add most basic readme possible

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2012-04-23 19:08:54+02:00,False
b45c9bbba273aca55659cbe0db97ba015eb2361a,Added stable update site url,2012-05-20 11:48:51+03:00,False
f43ab12ec24a5d8b7f3632df26b3f9c107fc728a,Update master,2012-06-11 16:35:25+03:00,True
d8b8d061abca5af967fcf46a596fc3a667f63cb1,Update master,2012-06-11 16:35:52+03:00,True
d78d758ab993a9f975e62081d4e46c6bcf7e4b4b,Link to JBoss Blog,2012-06-11 16:38:46+03:00,True
d73c646a62fcee9295503920dbaa07787be55ea8,Update master,2012-06-11 16:42:53+03:00,True
0191fe6379b365556d7533cb449d0370ee6b86bf,"Fix failing test due to decommissioned eclipse maven repo

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2013-11-26 13:15:41+01:00,True
cba9c89cdfde01375cb0e554df053fb20829b1e9,"Update readme for 1.1.0 release

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2014-06-25 16:22:18+02:00,True
2bb5eceb9abf47abf8b069396dcb6b2c359e9ce3,"Add Travis CI badge

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2016-01-24 13:46:55-05:00,True
7a9179d30eed44c3f43cc68778ee14bf4cd4cc1a,"Update README.MD

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2016-01-25 11:02:06-05:00,True
e639b97475ec8a55093e776f62e279eaeb2c4819,Update README.md,2016-02-18 12:46:27-05:00,True
915a4b8aefb15025d1ce6da6e971d2f968362d7b,Update README.md,2018-01-08 11:05:18-05:00,True
19cfccd298005bbcabbef9bd85142a372056e1d9,Update README.md,2018-04-05 10:59:00-04:00,True
bca04a4d2244efc7a6869d49cb748200ea4fb55e,Update Dev builds update site,2018-04-05 14:41:10-04:00,True
3d3d0d6e85e01e1f47625f45f2db734caf4b0abd,"Cleanup readme

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2019-11-06 11:58:25+01:00,True
95f7b402d5903658bb18770b5c35347e35bb7104,"Add m2e.apt.activation property instructions in README

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2019-11-06 12:03:31+01:00,True
61df5a5d44acc36954b5f6c1233d8c9958d96394,"Update link to snapshots p2 repo

Signed-off-by: Fred Bricon <fbricon@gmail.com>",2019-11-06 15:12:53+01:00,True
1ecf88089f6eb2bb9f2a8d240c28e3535a5fe712,"Update documentation related to GitHub migration

Signed-off-by: Mickael Istria <mistria@redhat.com>",2020-07-02 11:06:15+02:00,True
50a5edd278f7c4ea4cadcd2b4ba4aacde94c88c9,"Reference marketplace entry in README.md

Signed-off-by: Mickael Istria <mistria@redhat.com>",2020-12-08 11:04:07+01:00,True
cd91c5c42ba150e6f36001fd5a7dc0e622c3e1c6,"Some doc and release notes

Signed-off-by: Mickael Istria <mistria@redhat.com>",2021-03-02 11:52:22+01:00,True
4649315926b79148a71ad47111d0b37840f49b4b,"[Doc] Fix release date

Signed-off-by: Mickael Istria <mistria@redhat.com>",2021-03-02 11:56:44+01:00,False
17cb95c98a49f683844cde7c13957394e533b937,"[Setup] add configuration, branding-info and quick-install button (#120)

The quick-install button for Oomph contains the following URL:
https://www.eclipse.org/setups/installer/?url=https://raw.githubusercontent.com/eclipse-m2e/m2e-core/master/setup/m2eDevelopmentEnvironmentConfiguration.setup&show=true

Effectively this points to the configuration added with this commit.",2021-06-09 07:32:14+02:00,True
e52c8c1bfa71e98fcfce8f5567bce1e3dbce3254,"[Doc] improve README, CONTRIBUTING and Oomph-setup button (#264)

* [Doc] improve README, CONTRIBUTING and rendering of links as buttons

The statement about a required signed-off phrase
in the commit message of non-committer contributions is removed, because
it is not required anymore (see
https://bugs.eclipse.org/bugs/show_bug.cgi?id=558653#c30 )

Also add shields.io badges for Version, License, Build and Tests state
of m2e.

* [SQUASH] fix typo to 'about'",2021-07-04 00:56:02+02:00,True
14b62a6e666d33335d38c5a1dcb5730cf3093902,[Doc] cosmetic improvements of buttons in doc (#265),2021-07-04 16:47:59+02:00,True
fcf82996d9a19abb7608c1b45b4935e010db992a,"Replace ""drag to install"" with direct link to MPC",2021-07-19 11:43:34+02:00,True
28b108066fc6659ee2e1968e17b13cc0be13cd42,"Update Readme with the p2 snapshot info (#288)

This adds the snapshot update site to the README to make it easier to find it.",2021-07-23 14:05:43+02:00,True
bd496f898ed474ecb494cfad6546eeee7bcad197,[ReadMe] use Create-Dev-Environment badge generated by Oomph (#337),2021-09-25 14:30:11+02:00,True
