sha,message,date,result
0a4c901e10534815154bf1b67633122b66501261,Initial commit,2019-04-11 08:38:07+02:00,False
1768e0682b09c0f08a5e00fa82a916fb89a6feb4,Update README.md,2019-04-11 08:48:52+02:00,True
dc8d74568e95a8e9619a0e73a77f2e2ef3bc3d44,Copied in my first steps,2019-04-11 18:16:57+02:00,False
830e3d0736a789a74098cdbdbb323586fce6d265,"OK, outline finished",2019-04-12 07:42:33+02:00,True
c2b162091fa1812fc3ee1a72bc7aa6d7ccca193c,Simplified the example,2019-04-12 08:10:41+02:00,False
c9985b095b8a1fce3871547740ba94b23cbc9e67,Info of clearing the Groovy cache,2019-04-12 09:27:07+02:00,False
ec4bdca3f74839c063e8ed028353dd89e92dc3a1,Removed an obselete line (closes #1),2019-04-12 09:54:02+02:00,False
7e3fad137aa933ed78b3d18b69a688b59fa72414,Added a how to cite,2019-04-12 16:16:03+02:00,False
7c6c283ee6a0c61e1c9991f7f41674820038ae1c,Updated license info,2019-04-13 09:02:19+02:00,False
61d60c148b82d42a312e66cc99b23f479fbbbcae,More info.,2019-04-13 09:07:32+02:00,False
2c3b0cc4c4c60b4228082a8e4d56e657c782bb53,Update README.md,2019-04-13 09:15:11+02:00,True
d995770a14e780a554d4edc0b5bc3e68c0a9eb43,More README tuning.,2019-04-13 09:15:57+02:00,True
9ed146c9880a02d56304b0db44b8ab01f3f6515d,"First release, version 0.0.1",2019-04-13 09:46:43+02:00,True
724abfb0f898d4006b9e87b088ab7a6b98c54e35,Added the Baction 0.0.1 release DOI and update the example to use that version,2019-04-13 10:24:24+02:00,False
2c35fbfd69bd526a74b31b0d220c9adbbb228162,Updated the Zenodo badge,2019-04-14 10:05:43+02:00,False
118e75f19a5f21880839779ba6ec9256b83a9bea,Latest version,2019-04-20 14:09:29+02:00,False
16ebd50dee8fc3e4904d92955e2ed3528c602c95,Updated the Zenodo badge,2019-04-20 14:30:06+02:00,False
688fa6684d21250bb85c880b8fd2d4af1dcd493e,Updated the DOI badge.,2019-04-30 20:21:56+02:00,False
51c03a4c7c5f504c6eea4305b2d5b444c1771666,Updated.,2019-04-30 20:23:11+02:00,True
ecd82e6c5b4bc59a6bc3c0ffb93e7fe841e4634b,Hardcode the version number for now,2019-06-20 15:26:42+02:00,True
38a2e9632630a91d173245a15c4758f2093658ee,Updated the README for the new groupId,2019-06-22 13:03:37+02:00,True
1086f4e39b352579a2163030f2d9c69e96e55a8b,Updated the Zenodo link,2019-07-14 10:07:30+02:00,False
48d884750256bb74084d3fd5ecf288da30604928,Added the Maven Central badge,2019-07-17 22:46:39+02:00,False
8585f6a9872963a522d9165c563a4f5f3342bc52,Updated some metadata,2019-08-10 14:40:05+02:00,False
2de8f48a5b496ae61eac5e439345887a7f269412,Setting up Travis-CI,2019-08-25 09:56:01+02:00,False
1b6b480c129df65b5804ed03375edf8461b5e0cb,Updated the version in the example,2019-08-25 09:56:59+02:00,False
4ae4620eeb6c14309c72e0622ab2b9be30fdba49,Fixed to match the current groupId,2019-09-27 15:42:07+02:00,False
661015f9e34e62b14cc50bb881c52dc37ea6bcae,Updated for the 0.0.9 release.,2019-09-29 19:03:58+02:00,False
1f5768bb45e8786838beaf112121ac4194497119,Updated the README,2020-07-19 12:50:27+02:00,True
9b13df2b4f899b55f2457c8bb9c746b749dcd6a2,Added JavaDoc info,2020-07-19 14:24:50+02:00,False
7607da15e7904d172ab91352aa375db97bf14db7,Added mention of the preprint (submitted to JOSS),2020-08-09 11:00:04+02:00,False
b53d508aa13c68c586f9e5301dcb7271486da3ee,"Removed old code no longer in use, as now done with 'maven release'",2020-08-09 11:00:25+02:00,True
552e3e4bffbbfc40aedaecf37127ffa6cd0b3206,Bumped the version number,2020-08-09 11:00:35+02:00,False
e835bfe4123b2a0fd78b1ddbc37f2313baf826fb,The general (version-independent) DOI,2020-08-09 12:29:02+02:00,False
53365929d3d2fb495632e39daf3295c40bf7934c,Don't sign,2020-12-23 12:04:55+01:00,True
8e7e8fc82eed2cee9a181b02bbd62d21ff2b68c9,Added a short description of what Bacting is/does,2020-12-23 12:04:55+01:00,False
d7726449437fc02ba166354d6febae0edf24f2a1,Added info which Java versions are supported.,2020-12-23 12:04:55+01:00,True
304ec685911025d836e229afa1543024e0dc7739,"Clarified TNG.

As requested in https://github.com/egonw/bacting/issues/11",2020-12-23 12:04:55+01:00,False
c04f6606aaa94423944f69b4b67d31db5f1e098b,"Clarified why the README suggesting citing the second Bioclipse paper

Per question in https://github.com/egonw/bacting/issues/11",2020-12-23 12:04:55+01:00,False
c8c5fafa04a9c6a8911ddb8e1d921d6a6c256a53,Clarified the relation between Java and Groovy,2020-12-23 12:04:55+01:00,False
2c19152ceef895a7bda112e4c44ffaaf6c10227d,"Explain what the code example is doing.

As suggested in https://github.com/egonw/bacting/issues/11",2020-12-23 12:04:55+01:00,False
