sha,message,date,result
30f52c169706c9903493b9c24e2192de86bbf13b,initial commit,2015-06-29 17:57:01-07:00,False
a83357d244da0cc6277e00a5850c48e6e818a288,"Removed schedulers
Simplified recurrent API.
Updated Dox",2015-06-29 21:36:16-07:00,False
af9a92b9de4b191d86432ec866cbc118a1bea506,Various API consolodations/simplifications,2015-07-01 14:15:39-07:00,False
af5a709413203929e6934f6ff1081d5e4b434aff,Various internals work,2015-07-03 19:19:57-07:00,True
5a137ef9db4a0579d9564777e42adb798bf9c658,"Made future completion/cancellation threadsafe with scheduling
Added a bit more testing",2015-07-03 21:31:45-07:00,False
8c0eed0da0c5b914a72c61cf9b1e57e0f8048b3f,Doc fixes,2015-07-03 21:46:06-07:00,False
4309ec9f2dae7ab44ca76b8564cd366f6c8d465c,Added some javadoc links to the readme,2015-07-03 21:54:47-07:00,False
f9bd9e5266fcaa8f33185b06a308c6fc8aca4be7,"Use a circuit for tracking the state of a RecurrentFuture
Update tests to include assertions in future callbacks",2015-07-04 00:12:55-07:00,False
54f1a720232d2756ce82d5347fee89c9f93b554c,Added completion support for invocations,2015-07-04 23:36:00-07:00,False
273112101b474d4aa1d5509f8c9cddf8b53deb07,"Simplified test
Simpplified invocation completion
Doc fix",2015-07-06 15:19:29-07:00,False
7fb5c8c04a50adbace71f346a2c446448d431845,Added support for retryOn to retry policies,2015-07-06 19:13:31-07:00,False
75b83fcc36b9f7eac65d87f22347419bccd21929,Prepare for 1.6 versioned java release,2015-07-06 20:27:22-07:00,False
ff2a431a92315ba4c2e535b22d5e6c12db0f7236,Updated pom and docs for release,2015-07-06 22:34:15-07:00,False
3ac24512f334a99df87144957dac39c5ec902355,Added run() example to dox,2015-07-07 12:32:58-07:00,False
3e558579edb6303b3d5faf25ac8b03e2f6c2c3fd,"Separated invocation and retry stats tracking
Added RxJava example impl",2015-07-07 21:56:16-07:00,False
947589141b1290c6eb3bbfdf67c55a62b4972dbf,Added/improved docs around retryWhen,2015-07-09 13:15:37-07:00,False
ea1bb689ad2a75ef6a89843ab31dc881926d603a,VertX example,2015-07-09 13:16:37-07:00,False
139594f34f58bd5b4f29fb536df4447484203f72,Doc update,2015-07-09 13:20:52-07:00,False
707f8dfc63c732ecd16fe0c9d831f84ee65e6d57,Fixed build status image,2015-07-18 11:43:43-07:00,False
01405d9347a3be4295006fc53d239ab3c5be1881,Add support for retrying when an invocation result matches a policy,2015-07-24 17:16:40-07:00,False
19fc5cced20c63cc167ba7111bb3d24a9ea3e324,Add support for checking multiple retry policy conditions,2015-07-26 00:41:27-07:00,False
