sha,message,date,result
9765c79d151df4d997dd71c7e8b084b237c3069b,Initial commit,2015-03-01 01:08:16+00:00,FALSE
42a6afac646a0fbab1b0105bd97b1d0802174ff1,Update README.md,2015-03-01 20:01:38+00:00,TRUE
0653407dcd183ac840bb390f7daf8049df5815fa,Linkage,2015-03-01 20:21:19+00:00,FALSE
65a389a25f009804f230cf2da71f7756311fd554,More linkage,2015-03-01 20:22:34+00:00,FALSE
642fd617c8311c4a33a31ad11b7cb4227fbaea4b,Acknowledgements,2015-03-01 20:27:19+00:00,FALSE
4da0a25e39e126200b129df865552824f2cef4bc,backticks,2015-03-01 20:32:50+00:00,FALSE
c18e9d5536324ee018b5e88505ba5cf3cb7c1f14,Update README.md,2015-03-01 22:50:24+00:00,FALSE
e83c8fab36c4c62bfcb203e76d352ae4bc80180e,Update README.md,2015-03-01 22:54:21+00:00,FALSE
1ccd5c06c44ebc810c8b34e3bf40bdf6dd411f89,Update README.md,2015-03-01 22:55:28+00:00,FALSE
eb0df66aba5049ccaccda278b1774a8195c739a8,Update README.md,2015-03-01 22:56:24+00:00,FALSE
6cd967d43389cf656b7bfd87d29cfc541dfcc67a,Linkage,2015-03-01 23:01:42+00:00,FALSE
51497d4a5e1e32189c99891aadabf6b7ea4bb6cf,Update README.md,2015-03-02 21:30:38+00:00,FALSE
6e484497ebafa6547835a538cc1c2a8be3c7d7d2,fixes #1 using id instead of name,2015-03-07 20:45:57+00:00,FALSE
1f3b07502da0d895876ff9a41e627ad59b93a309,better wording and linkage,2015-03-09 08:36:02+00:00,FALSE
aa01671ffef64eca41211735052de97c339d07ed,Update README.md,2015-03-09 22:31:54+00:00,FALSE
3b7a8b705021825fa8c6841e46a388b6fac170de,Capitalisation,2015-03-09 22:32:49+00:00,FALSE
93057e6be206ed95ff3136758f38f5d36c5a8668,Capitalisation 2,2015-03-09 22:33:51+00:00,FALSE
c16620c55f1937f3df00a0c841262d5c34b07dbb,Update README for definitions within definitions,2015-03-16 12:24:00+11:00,FALSE
c8e799ba40748a86bd6e09d1c4d61ecb46e13019,Update README.md,2015-03-18 21:45:28+00:00,FALSE
776590545238270593e3f4907445e35a4f9710d2,now it is class based and allows multiple versions,2015-07-27 18:02:07-03:00,TRUE
c23e3b51c075219a12e37cb6cabe3f5193d112db,fix some smells,2015-07-28 17:04:17-03:00,FALSE
737e670c4bc792a79cb86f01a31e15639eec4ee3,landscape,2015-07-28 17:06:40-03:00,FALSE
653736cd7393d51bce0b04b3b001e0b5f75cf201,added demo application with swagger UI,2015-07-28 19:15:21-03:00,TRUE
25469b99576b7804c18a80cdb1232c98be32dda0,Update README.md,2015-07-28 19:50:24-03:00,FALSE
d2740b005690516e0f2635efc3a4fbec712cc97f,Update README.md,2015-07-28 19:51:23-03:00,FALSE
66d838d21f79f8ae04d253bdb2a532ac263fce8e,Update README.md,2015-07-28 19:52:47-03:00,FALSE
a433e69fb7aa3e14651074fde3c47ba3c696f9d5,Update README.md,2015-07-29 10:54:57-03:00,FALSE
bb7b901dc27de0518e8c5bee4bb337023dac533b,changed to lazy initialization,2015-07-29 11:19:52-03:00,FALSE
facd7c6d41e6e91cde607605176826e70b27bd7d,using shiftpy,2015-07-31 17:23:56-03:00,TRUE
7045cf1fbd396cfd2d3d7cdffbceccfd755cba93,Update README.md,2015-08-03 09:27:19-03:00,FALSE
71f43938ef5bd5cd7d5728cb20b4258464c8bde4,Fix #2,2015-08-04 19:52:12-03:00,FALSE
1bba6bce9d223ec71f7fc6098cfdd75ef7bb6da4,Update README.md,2015-08-05 11:58:17-03:00,FALSE
f224e24d58f35e9f996a4768ee0ea612178b6661,readme,2015-08-12 16:02:09-03:00,TRUE
0b9997ef86ff9a4dfe7143fe28537e4b400bc2c6,validate data usinf yaml defs,2015-08-31 17:36:48-03:00,FALSE
2d35ef65df236439f91ea298cde8773acd922b1f,Fix #5 allow the replace of html sanitizer,2015-08-31 17:52:24-03:00,FALSE
25d3ca8d0eae31d366ce896ea0325c56e8028a59,Fix #7 handling multiple endpoints and methods in a single function,2016-01-11 15:34:42-02:00,FALSE
e4d4e47a9fd44e2bf31ec62eb99a691ea2bad2c0,Fix readme,2016-01-11 15:37:57-02:00,FALSE
3b00afc2b6a540cc57ad46c2169d22360ec9868f,added Markdown parser,2016-01-11 20:17:29-02:00,FALSE
7854ebee388613cd67ed06b8e8363fcaf461b4f4,added info about json-schema validation,2016-02-25 16:37:00-03:00,FALSE
16f2379e294b2c415955f7b54feb404bd4ad81af,Fix typos in test API's implementation notes (#26),2016-06-29 16:30:09-03:00,TRUE
eb69ce346e0425adfb51f35bcf80f6da9e4aff2e,"Added support for dispatch request View (#34)

* added support for dispatch_request

* updated README docs for dispatch_request

* Fixed the indentation for README file

* added import statement in README

* refactored code wrt pep8 support",2016-10-11 15:40:59-03:00,TRUE
9879efd48ff3f46c9b9e38be72f938a0caec0066,"remove default cors headers (#32)

also make the config headers overwrite the existing headers",2016-10-11 15:51:55-03:00,FALSE
16aca32ca191500f83702ad41e741e64f4c1188f,add docs for definition decorator,2016-11-19 14:49:24-08:00,TRUE
f5279f3d9b2a72c77402aeb6f39c2144e1bf346b,update for changes to definition filter,2016-11-20 21:54:49-08:00,FALSE
