sha,message,date,result
d46ec12f47e75ab7a34410d37d63906c99fe3b8f,Initial commit,2014-09-03 10:38:00+02:00,FALSE
1b026d986c227544b8d058d45bd4c193a21c94a9,Add and fix readmes,2014-09-29 22:49:27+02:00,FALSE
74cf89c004f15ece368b1abbe1e3394a1a76cc66,update readme,2015-04-10 10:09:14+02:00,FALSE
536b222f4a8a61440419b5d6f39e9433a5213484,imporve readme,2015-04-15 17:25:15+02:00,TRUE
72f19e4b68361f6761cda75e5712f26a00f6982e,update readme to better communicate the WIP status.,2015-04-21 09:11:03+02:00,FALSE
6903623ca3c470464820fe647895ed09738cb0a3,"Getting flexx.ui to work, step 1",2015-04-29 23:22:45+02:00,FALSE
1681021b400a8a7e3a676afc1dec5a2fe5ede6ac,update docs: we do have one dependency.,2015-05-03 23:31:05+02:00,FALSE
ae2df219ca0d5faf9afea1cf4e4a36e353635558,improving widget and hbox/vbox,2015-05-14 23:04:43+02:00,FALSE
3eacd0b73b67f1b1811b7503843b37c84d2b4f5e,update readme,2015-05-14 23:13:03+02:00,TRUE
4a3d029fd6589fc221db4e5fdada9975ea53e1c2,Make export work and refactor clientcode.py,2015-05-19 11:46:25+02:00,FALSE
177158d4d16f162806014b2cf94486f3937d515c,update readme,2015-08-26 15:18:06+02:00,TRUE
7a079e30f9a43979510858c2af76f730c94b1d22,docs,2015-08-26 23:37:34+02:00,FALSE
345b6441060d51ffa427fdec0d69135755354ca6,mention demo server in readme,2015-08-27 01:03:14+02:00,FALSE
68f0bbb3c0843897c50347026a170ca9780075b6,docs and such,2015-08-27 01:47:03+02:00,FALSE
a338d05c57e943ea2f191d44db1f8c0af2f07ea8,Fix readme doc link,2015-08-28 22:31:53-05:00,FALSE
6a932b452f802fbc7c1f3e30c28bed43beee440a,Improve syntax highlighting of README example,2015-08-30 10:04:07+10:00,FALSE
7f79092c9cf7784ed05d02a3e5a0529888d9be51,allow pip instal to also install Tornadio. Fixes #31,2015-09-09 10:34:00+02:00,TRUE
8ccec6e32bad3a1e088ac7fb022abf2a77d7deae,Travis badge and rtd badge!,2015-10-19 12:22:10+02:00,FALSE
