sha,message,date,result
ffec81dde90a614671ba638aa3d7d39810fba510,Added README,2016-04-03 14:08:33+02:00,False
f535fb8f7450b3d6d9bc2a54820286e33ac0719f,Update libs and add discord to readme,2017-04-05 10:33:08+02:00,False
a5767bf25b69a321cc2f556b37053fc045201fe2,Add twitter,2017-04-05 10:43:56+02:00,False
b5fbaadb15a78814d24aaba8a61ea1d2754757d8,Rescale twitter logo,2017-04-05 10:46:51+02:00,False
eae5e64d2a80072b21b46edc4f62fe29e600a427,Fix twitter logo,2017-04-05 10:54:22+02:00,False
22c6c422241577a6c229acdf23a7c640aa3da37c,Add more description and a todo,2017-04-05 12:46:04+02:00,False
67531d7ffb862a0647ff756e1933709e2ffdeacc,Implemented gamemodes for now,2017-04-08 14:19:11+02:00,False
b7c5300a454e4da9e59d886fb27f30352bd3ee53,Replace invite URL,2017-05-20 20:20:49+02:00,False
084074ff65bd006d0557394df679cf310a32d313,"Merged from 1.2 into my branch and added some Generic things into the ReadMe (#15)

docs(readme): Better and fancier README.md try 1",2017-09-24 15:38:21+02:00,False
87d79803df4c249f146f2b07c7ea50e2450b7443,Rewrote the command handling system and deprecated some methods. See README for more informations. Adds parts of #247,2018-06-03 11:03:50+02:00,False
c87f95472614025c8921d236647bd34f0c4871c2,Change Pocket Edition to Bedrock Edition,2018-06-04 15:42:49-06:00,False
506718a6c09e582dfdce0c4f83deb88d270bc949,Deprecated WorldType.GOMINT,2018-07-17 21:26:01+02:00,False
00db70b888e93240320995e30e7f1a29b9560b27,Add ci link to readme (#339),2018-09-07 07:42:20+02:00,True
1672c976ded9389e5f0dc2cbee9f9a936ebd4138,"Remove deprecated world type from README (#389)

* We aren't using Anvil anymore.

* GoMint world type has been removed.",2018-10-25 07:46:10+02:00,False
94cbcaad20ea0f334db911946c6d5edb1c608310,Update README.md (#408),2018-10-31 09:39:43+01:00,False
c776d27219ee574e5af5d02b26ee7a42c6a5eaaa,Fix typo in readme (#409),2018-10-31 11:50:57+01:00,False
9155747a894032e7a38cac4871439dab3895179d,Use optimized logo due to style attr. filter,2018-12-04 21:44:43+01:00,False
28210abadb926ff6226ff345d0754f7a97795542,Use html tags instead of markdown for center,2018-12-04 21:52:26+01:00,False
e91d4d319652cfc0397f742745bc3752296763ef,Add missing image modifier for markdown src,2018-12-04 21:53:26+01:00,False
09c6918c58aad82e7a52074518a445ab8db5f2d0,Re-phrase and re-locate deprecation warning,2018-12-04 22:17:17+01:00,False
ec78be9aff2c2e3e45125c6d6e7c12f7a9b3ed26,Merge build status badge into header,2018-12-04 22:23:46+01:00,False
d9314ef0239b45a07992a6f24899252d31347d80,Tidying up readme and pom files,2018-12-04 23:15:27+01:00,True
b54725ffe512ba36cb466e977ce3411ffdf8f019,Fix  typo,2018-12-04 23:19:40+01:00,True
