sha,message,date,result
5932faf33831002920407d940477bb872db3d952,First Commit,2022-03-22 17:26:52+01:00,True
22665dde2866c84b3bb81e85dd8cf10b236858d0,Update README.md,2022-04-19 10:11:02+02:00,False
84e923a5a94e0b519428ffcd92363148c8dbafab,HTML Link was broken,2022-04-19 10:12:09+02:00,False
75e6185404a85f74a35ace3a8e3d35ff001156ef,Timeout and flock added to README,2022-04-21 19:55:16+02:00,False
17d851c4696e65e10a17e4cfd33e0de1a39cf0fb,"export statements only inline with command, not in head of crontab; PATH must be inline as variable is not accessible in crontab header",2022-04-23 23:20:47+02:00,False
3f817ce226aa857fe2faffec00bba36f70c93ce9,Update README.md,2022-05-03 16:14:06+02:00,True
fdf6922e307b77e7726f3041650b412dcaa71306,Update README.md,2022-05-04 11:59:28+02:00,True
3c5f79c5ac1c9a472e709d01d4d7de663cf5f2c1,Update README.md,2022-05-04 12:01:18+02:00,True
2a0ab920e0125d107502faca6bdf0f241029f8ec,Update README.md,2022-05-04 13:25:47+02:00,True
6b76b7aa8bb7c8409fc264bdea6a67622312ea72,Update README.md,2022-05-04 13:42:40+02:00,True
fc200a3dec62eee3d8649f19428e3d0ab0f29983,Update README.md,2022-05-23 21:29:46+02:00,True
17f0c014441d8cad135e6dd81a5ecae215402df6,Update README.md,2022-05-23 22:29:29+02:00,True
e35c653484a39c83e82fe7680fd03b31240c5f66,Update README.md,2022-05-26 14:48:19+02:00,True
530ac5501b651886f38a9b7c0be46a3cc2e15a4d,Update README.md,2022-05-26 14:57:03+02:00,True
160fd8fd19f9a2b49db1de4ea7c72200acf5da98,Added needed packages to installation,2022-05-27 19:27:44+02:00,True
9923a440d449ca38aa40e88c6847891eae0f64cf,Restructured Readme,2022-05-27 19:39:10+02:00,True
dbf9c3ec0626ea4dd3a87e1186fcd7798c669762,Renamed cron to tools; Made more notes on usage,2022-05-27 20:03:55+02:00,False
8b55cf59418127066f928c769faf09deb3bc8718,"Styling, typos and small corrections",2022-05-27 20:11:49+02:00,True
58b09d8df9c9939341bd6ed621aefb57d3ef9f21,Added images to Readme.md,2022-05-28 15:47:24+02:00,False
3a68bc9d19212113c26450909855c1f99e8f60e3,Change of URL,2022-05-30 17:31:25+02:00,False
a90b6887fb131295bdcb2842983c24c9ee58e37a,Update README.md,2022-05-31 15:02:51+02:00,False
a80ae73da7d5928521a569d3d31ceac9965da95f,Update README.md,2022-05-31 15:04:00+02:00,False
2453b3dc9cca29e8d061ff8e0aef09d16409f8c1,Removed fixed link from README. Is now accessible via overview page listing,2022-06-04 20:35:18+02:00,False
d16891407cc4c85749b3e300febb2ed3df72c2b5,URLs changed to green-coding.local; API now on api. and not on 8080 anymore; Dockerfiles reworked to allow local directory binding; API reworked to deliver projects overview page; Website now switches given on hostname to local / live URL,2022-06-05 10:40:16+02:00,False
2b4e3faab50eae9b60a7773af4229820a370bfa0,Update README.md,2022-06-23 10:18:05+02:00,True
6dcd52b2eece683bc54271b3116c3ec84d624725,Updated README to link to documentation,2022-07-01 11:26:46+02:00,True
c09ecdd1f54ae575d3cb98868cdbe45ea5b77c01,Updated README,2022-07-01 11:32:57+02:00,False
c10dfdc5024f2855e25e7b4b329388a6b768598d,Update README.md,2022-08-02 15:26:22+02:00,False
