sha,message,date,result
4c6f552a27fac1314c06af0a48661a371e00fc1b,Add very basic README.md file. Would still need to check that all defaults and parameter data types etc. are stated correctly there.,2021-10-08 14:11:32+01:00,False
7c86c1aa8bf2e992b8e04353d32d133976035be9,Capitalize title in README.md.,2021-10-08 14:17:24+01:00,False
7341b85959ce483ec5bdd13ee0669712141271cc,README.md: Expand introduction and give more information on subscribed topics.,2021-10-08 14:25:37+01:00,False
864fcbcba22c1c21f4837bb971e3b10e8400fa9e,Add more information on WMS servers to README.md file Parameters section.,2021-10-08 14:29:20+01:00,False
54a8ab0c207d60e05534831e20b4a4095893b5a3,"Add getting started instructions to README.md. Not quite finished yet. May have to consider leaving the README.md of this package much smaller and creating a separate repo for setting up the whole system. Call it Kestrel, for example.",2021-10-08 15:09:26+01:00,True
af573250364bde9d2899793c3e4cbd38816abbad,Add missing numbering to getting started sub-headers in README.md.,2021-10-08 19:20:02+01:00,True
088e170faab650fca9d65845241a5c368e05b912,Add demo image to top of README.md file. Image is roughly 700KB.,2021-10-09 21:29:44+01:00,False
345b7e8d5e6c38f63dab959fb7f6a72deda9abe2,Add instruction on how to configure the microRTPS bridge topics to README.md.,2021-10-16 14:21:52+01:00,True
e24e655ee488633f7647bb73630f98eb3a310bfa,Use VehicleGpsPosition for location and heading (this topic includes both - VehicleGlobalPosition does not have heading). Note that in VehcileGpsPosition the lat and lon are provided as integers in 1E-7 degrees. This commit also updates README.md and config.yml for relevant parts. Not yet tested.,2021-10-16 14:47:27+01:00,True
8c977049cc979569f40a246769eb8d169b4a1a42,Swap gps position for a combination of local and global position. Tested with gps position but for some reason the heading value there was NaN while it worked earlier with local position.,2021-10-16 15:22:25+01:00,True
fce6039af71aa2a70559d7caa1ae601d16547ef2,1. Rename package to python_px4_ros2_map_nav. 2. Rename node to map_nav_node. 3. Update README.md. 4. Add self.name property to reduce redundant hard coded usage.,2021-12-21 17:54:05+00:00,True
b782ac44d9af46cd231a22f9aa71770364854c73,Update README.md with new package name.,2021-12-21 18:02:42+00:00,True
41e4683e1c5057ac7c0a886a676090d64fd3d431,1. Add Sphinx documentation from docstrings. Update docstring format. 2. Update properties to use single and double leading underscores so that most of them are private as intended.,2021-12-23 09:17:31+00:00,False
fbc749b9bcf3f2bccc3d62ab9754e9c1fede653f,Increment version to v0.8.3 and update directory tree in README.md.,2021-12-23 10:02:53+00:00,False
09eddcfc99468921bdcf79bf1d4ce7c61360395b,Remove unused quotation marks. Update API documentation template. Increment version number to 0.8.4. Remove prolog string from template since the rtd template already includes the version in the side menu. Add missing requirements-dev.txt to directory tree in README.md.,2021-12-23 19:05:20+00:00,True
b7e4bad3c8d06b581c5bf82cbf9fa0f702eba240,Update README.md - missing 'xhost +' command when running docker container with graphical applications.,2022-01-03 17:56:53+00:00,True
409c5f16beba7600449df5b17268924adf99b7e8,"Update documentation: Return to Alabaster theme, put README, Indices and Tables, and API docs on their dedicated pages, and update README.md accordingly. Adds autosummary to automatically generated API docs.",2022-01-10 12:39:41+00:00,False
fc414341eabcc1deedbdea4a49975bbabff0b2e5,Fix CSS file so that headings also become sans-serif. Update README.md directory tree with missing files and folders.,2022-01-10 12:51:49+00:00,False
f5bc44247d3fe308e96d976bb6cb1044face8533,"Update README.md file title, more specific.",2022-01-10 12:54:00+00:00,True
8026faedeb4e63e663b20dfa64b44d77d53b3479,Update README.md directory tree.,2022-01-11 23:44:31+00:00,False
36cd4b5eb4ae704dfb4f7df6a594e8c3da15621b,1. Refactor initial_guess param to be a list instead of two separate parameters. 2. Get rid of the config arg for the node and use the params file like a ROS params file should be used (had to move Superglue config here too even though not ideal).,2022-01-22 20:45:40+00:00,True
e8b950a4ba8d81de5af585dbd605367cfd238159,1. Move main method to __main__.py. 2. Put matching logic into a separate submodule and create an abstract KeypointMatcher interface - makes it easier to swap matching algorithms in the future. The matching adapter is dynamically loaded based on configuration in YAML file. 3. Remove directory tree from README.md file - annoying to maintain.,2022-01-24 20:15:38+00:00,False
