sha,message,date,result
a4c3e7dccdb56763679c2d5a96d715718a94b390,Initial commit,2019-07-22 16:33:47+08:00,FALSE
3fb9525f62aa8fa18f9dc15b32a0ac8ffccabbf3,Description Project,2019-07-24 18:36:30+08:00,FALSE
0d52ba7f789cc1ee35503f4ad474fb460b4ad609,init commit,2019-08-01 09:39:39+08:00,FALSE
9908034b95ff7a151cb8d3e17e61b02d1076c2b9,add coverage,2019-08-16 19:42:04+08:00,FALSE
b8015a7cc26982ee19dc0aaa096ea7eba953f6ad,"add travis (#2)

* register and service center client refactoring, add the ability to select a registry cluster

* add travis

* 1.fix NPE; 2.fix jackson-databind.version",2019-08-19 09:56:06+08:00,FALSE
4542c8aec111f5c69a80e3849a7781fa5719e726,Add travis status,2019-08-19 09:57:45+08:00,FALSE
e346d8672446fc7543a1b628c5eb224fc6f00fcb,implement deregister and actuator,2019-08-23 14:22:20+08:00,FALSE
ee16476680e8f4a0435b6e85f744a496c4b74508,update doc,2019-08-23 16:50:01+08:00,TRUE
63daec048865481dccb46cb1c8e73e8bd2f3abea,implement get services,2019-08-24 16:31:02+08:00,FALSE
5e20bdd128f1f5ea342d886aaffea1711996d553,update doc,2019-08-27 11:38:32+08:00,TRUE
3032990056b650af4249046a2a7c75eab1f591b9,Modify project structure,2019-08-28 10:12:05+08:00,TRUE
9d0b6feab2f0e6b3c833dbe6c2438466cc64177e,Update README.md,2019-09-02 20:42:34+08:00,TRUE
8489e3032076adca71848b5d6d1701afb68486b5,update RoadMap,2019-09-11 20:59:08+08:00,FALSE
c7eddac3422310c7ef13a5e27053d7cf560566f1,update doc and example (#25),2019-09-29 16:38:35+08:00,FALSE
c3f077f67dca8463ff142e038717b951cdd0344c,implement load all config from config center (#35),2019-10-22 11:46:08+08:00,FALSE
03de42d28ebab8300a69c6af93f72d5f016000f6,update doc (#47),2019-11-05 20:32:01+08:00,FALSE
fa239ae5aed82833460855ce9b8c10fea38c9afe,"[issue #68]add new module to support swagger2 (#89)

* add new module to support swagger2

* Rollback to 0.0.3

* midify

* rename module to remove version info",2019-12-26 14:24:23+08:00,FALSE
d29cc8a43f2b1bce92e3ede88799e30946f957b3,"[issue #121] update readme (#122)

* update readme

* add link to show how to use edge service",2020-01-13 16:12:14+08:00,TRUE
af79667f90bb79ae080b43ff86f9a49b97d097a1,document update (#124),2020-01-13 16:51:08+08:00,FALSE
8992c8a7721b55ac75348e0fef52d10ec4bd82d3,add LICENSE to all source files (#125),2020-01-13 17:34:50+08:00,FALSE
0c07e0ed89f179c8e4aa473bb4b18e6c5e87e843,rewrite readme (#126),2020-01-14 09:25:41+08:00,FALSE
cfe8c30b3c9442136125a5ab50cf9f83d86ebfe2,"release 1.0.0 (#127)

* release 1.0.0

* readme update",2020-01-16 16:49:03+08:00,TRUE
fcfac9ba17f2f1f145581fb2b431fc7ac767ecda,Update README.md,2020-01-17 14:09:26+08:00,FALSE
72407025950b7dbd42e82e4b1389282746a80f8b,Update README.md,2020-01-17 14:15:05+08:00,FALSE
01d370ea3567f23f22b4d1127315e8a974964364,improve document,2020-01-17 14:50:23+08:00,FALSE
88c89f0648266aeb42bc1af0d92a133461cac65b,"fix ssl and add demo (#134)

* fix ssl do not work

* update read me

* add demo to show how to use ssl",2020-01-23 16:14:05+08:00,FALSE
5db6cd48340560f247ae0874559a93277e4acb84,fix readme bug (#160),2020-04-03 11:21:28+08:00,FALSE
c27b47c7c3d23f2686825ddc1f99c32c0082b2e0,"upgrade version and  update readme (#180)

* upgrade to 1.3.1-Greenwich

* update readme",2020-04-26 15:18:42+08:00,TRUE
2ac8bccd9d9ac6bc61f265e1a330382d0d02a1b0,"upgrade version to 1.3.2 (#192)

* upgrade version to 1.3.2

* update readme",2020-05-09 17:31:55+08:00,TRUE
ad83a653e79479aa604fafd989487d576dacd12b,update readme version to latest (#217),2020-06-04 16:03:32+08:00,TRUE
129866f1f1a96c65dbfbb597b7a1870161321b04,update readme version (#237),2020-07-23 17:13:26+08:00,TRUE
